loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.1796,-0.1676,0.0238,2.3950,0.2772,1.0465,1.0919,0.0837,0.6374
-0.0413,-0.0363,0.0376,2.3753,0.2927,1.0045,0.9889,-0.0534,1.9187
-0.1005,-0.0895,0.0295,2.5741,0.1998,0.9004,0.9214,0.0078,0.6180
-0.1377,-0.1249,0.0255,2.5566,0.2920,0.9344,0.9306,0.0120,0.5320
-0.0633,-0.0493,0.0304,2.9205,0.2301,0.9051,0.8663,-0.0134,0.5663
-0.1335,-0.1207,0.0224,2.4068,0.2881,1.1559,1.1679,0.0480,1.0960
-0.0444,-0.0424,0.0428,2.3356,0.2572,0.9987,1.0257,-0.0536,1.1672
-0.0940,-0.0990,0.0531,2.1584,0.2479,1.1875,1.1194,0.0323,1.8667
-0.1427,-0.1486,0.0552,2.1699,0.2979,1.0486,1.1136,0.0553,1.0834
-0.1836,-0.1786,0.0363,2.3157,0.3168,1.0366,1.1252,0.0870,1.7009
-0.0547,-0.0490,0.0402,2.5846,0.2228,0.9500,0.9380,-0.0603,1.3112
-0.1251,-0.1230,0.0362,2.0273,0.3237,1.1123,1.1115,0.0557,1.7060
-0.0759,-0.0784,0.0496,2.2352,0.2392,0.9218,0.9588,-0.0017,1.9170
-0.0002,-0.0079,0.0649,2.4828,0.2221,1.0114,0.9271,-0.0605,1.4779
-0.0761,-0.0721,0.0345,2.1190,0.2658,0.9543,0.9595,-0.0210,1.1141
-0.1095,-0.1031,0.0185,1.5635,0.3820,1.2066,1.2116,0.0616,2.9433
-0.1271,-0.1195,0.0275,2.1410,0.3659,1.0682,1.0779,0.0448,0.8708
-0.0536,-0.0451,0.0255,2.1259,0.2870,1.1697,1.1938,-0.0216,1.3539
0.0013,0.0085,0.0286,2.1501,0.3176,1.1116,1.0809,-0.1040,0.9971
-0.2085,-0.2128,0.0528,2.2081,0.2756,0.9455,1.0160,0.1347,0.7959
0.0228,0.0285,0.0365,2.3980,0.2479,0.9731,0.9638,-0.1123,1.6230
-0.1270,-0.1218,0.0354,2.2962,0.2528,1.0982,1.0592,0.0466,1.1164
-0.1353,-0.1454,0.0605,2.0150,0.2855,1.0604,1.1269,0.0802,1.3271
-0.0040,-0.0147,0.0563,1.7459,0.3519,1.1600,1.1863,-0.0640,0.8626
-0.1123,-0.1157,0.0535,2.3327,0.1966,0.9474,0.9322,0.0456,1.8606
0.0837,0.0608,0.0789,1.6472,0.3040,1.2176,1.1601,-0.1414,0.6936
-0.1026,-0.1039,0.0470,2.2122,0.2528,0.9297,0.9632,0.0338,1.7502
-0.1831,-0.1776,0.0261,1.8522,0.2684,1.0406,1.0705,0.1194,1.7468
-0.1137,-0.1042,0.0234,2.1291,0.2506,0.9516,0.9812,0.0075,0.8983
-0.1155,-0.1224,0.0537,1.9952,0.2396,0.9941,0.9956,0.0344,0.5899
-0.0611,-0.0843,0.0900,2.1837,0.2553,0.8725,0.8554,-0.0030,1.1399
-0.1373,-0.1449,0.0549,1.9875,0.2596,0.9808,1.0095,0.1345,4.3869
-0.0771,-0.0910,0.0634,1.7802,0.2402,1.0335,1.0276,0.0197,1.2327
0.0355,0.0308,0.0404,1.5526,0.3086,1.1265,1.1599,-0.1019,1.4325
