loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.0551,-0.0177,0.0725,7.3678,0.2765,1.0098,1.1684,0.0065,3.2293
-0.1334,-0.0891,0.0589,7.3766,0.2996,1.0636,1.2837,0.0677,5.1471
0.0359,0.0949,0.0279,7.2907,0.3003,1.0401,1.1914,-0.1079,2.7235
-0.1013,-0.0361,0.0172,7.3801,0.2542,1.0933,1.2146,0.0224,1.9926
-0.1217,-0.0617,0.0260,7.3002,0.2651,1.3788,1.2311,0.0398,2.6842
-0.0895,-0.0206,0.0065,7.2102,0.2703,1.2516,1.1851,0.0048,1.0783
-0.1337,-0.0650,0.0029,7.0262,0.3118,1.2640,1.2462,0.0484,0.5054
-0.2336,-0.1656,0.0056,7.0796,0.2428,1.2452,1.2248,0.1315,0.4807
-0.1585,-0.1249,0.0721,6.9656,0.2665,1.0008,1.2573,0.1088,3.2241
-0.0102,0.0548,0.0029,6.6421,0.2999,1.1614,1.1889,-0.0819,0.4175
-0.1950,-0.1325,0.0059,6.5460,0.2146,1.1675,1.2043,0.1118,0.7718
-0.2662,-0.2042,0.0026,6.3354,0.2577,1.2780,1.2623,0.1628,0.5171
-0.0328,0.0226,0.0073,5.9011,0.2751,1.2705,1.1968,-0.0550,1.3602
-0.1161,-0.0648,0.0033,5.2893,0.3121,1.1910,1.2136,0.0340,1.1443
-0.0084,-0.0423,0.1535,4.2872,0.2586,0.8159,0.9257,-0.0079,1.2187
-0.0221,-0.0980,0.2334,4.0812,0.1979,0.6064,0.6514,0.0631,1.0978
0.1409,0.0502,0.2572,3.7935,0.1919,0.6815,0.6569,-0.0809,0.9293
0.1301,0.0431,0.2462,3.6072,0.1591,0.6671,0.6244,-0.0633,1.3298
-0.0096,-0.0942,0.2437,3.7203,0.2245,0.7655,0.8977,0.0859,2.3352
0.1097,0.0224,0.2471,3.6337,0.2011,0.7789,0.7530,-0.0738,0.9325
0.0333,-0.0524,0.2467,3.7714,0.1537,0.6519,0.5872,0.0218,1.1504
0.0309,-0.0464,0.2206,3.3025,0.1382,0.4834,0.4746,-0.0101,1.0575
-0.1313,-0.0612,0.0049,7.2501,0.2359,1.1393,1.1789,0.0011,0.6122
-0.1348,-0.0654,0.0039,7.1314,0.2543,1.1560,1.1888,-0.0034,1.1572
