loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.2008,-0.1677,0.0070,3.6642,0.2792,1.2155,1.2003,0.0594,0.8098
-0.1375,-0.1232,0.0461,3.7357,0.2179,0.8969,0.9347,0.0274,1.1841
-0.1499,-0.1527,0.0748,3.4600,0.2382,0.8376,0.8746,0.0466,1.4187
-0.0961,-0.0952,0.0719,3.6903,0.2036,0.7944,0.8025,-0.0144,1.0035
-0.1851,-0.1612,0.0236,3.5682,0.2744,1.0780,1.1387,0.0496,1.0409
-0.1092,-0.0951,0.0411,3.4641,0.2697,1.0618,1.0517,0.0249,1.4900
-0.0736,-0.0706,0.0634,3.4707,0.2345,0.9110,0.9728,-0.0278,0.9540
-0.1787,-0.1518,0.0151,3.4538,0.2342,1.0048,1.0252,0.0578,1.4269
-0.1307,-0.1135,0.0279,3.1096,0.3202,0.9395,0.9591,0.0157,2.0157
-0.0785,-0.0637,0.0350,3.2400,0.3202,1.0913,1.0297,-0.0230,1.2883
-0.1437,-0.1164,0.0110,3.2797,0.2759,1.0457,1.0552,0.0090,0.8219
-0.1189,-0.1110,0.0445,3.0161,0.3151,1.0215,1.0743,0.0407,0.8455
-0.1204,-0.0937,0.0143,3.3777,0.2671,1.0083,1.0212,-0.0099,1.6815
-0.0850,-0.0732,0.0426,3.3092,0.2768,0.9614,0.9815,-0.0261,0.8336
-0.2114,-0.1833,0.0093,3.2849,0.3037,1.1471,1.1454,0.0536,0.6050
-0.0659,-0.0671,0.0655,3.1561,0.1968,0.8175,0.7674,-0.0385,2.1232
-0.1967,-0.1688,0.0120,3.3901,0.2844,1.0543,1.0823,0.0568,0.6620
-0.2296,-0.2044,0.0179,3.4154,0.2531,1.0384,1.0805,0.0875,1.6290
-0.1292,-0.1180,0.0385,3.0471,0.2743,0.9743,1.0243,0.0055,0.9310
-0.2151,-0.1900,0.0128,3.1512,0.2758,1.1458,1.1633,0.1037,0.8767
-0.1862,-0.1705,0.0262,2.8807,0.2466,1.0757,1.0705,0.0690,1.1800
