event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,10,0,True,True,"{2: (28, {'cpu': 18, 'gpu': 5, 'storage': 12}), 5: (10, {'cpu': 3, 'gpu': 18, 'storage': 0}), 0: (17, {'cpu': 1, 'gpu': 14, 'storage': 10}), 7: (45, {'cpu': 1, 'gpu': 7, 'storage': 19}), 8: (86, {'cpu': 14, 'gpu': 12, 'storage': 1}), 4: (83, {'cpu': 19, 'gpu': 3, 'storage': 18}), 1: (0, {'cpu': 9, 'gpu': 20, 'storage': 5}), 9: (59, {'cpu': 6, 'gpu': 11, 'storage': 15}), 3: (94, {'cpu': 0, 'gpu': 4, 'storage': 6}), 6: (87, {'cpu': 10, 'gpu': 18, 'storage': 1})}","{(5, 2): ([(10, 28)], {'bandwidth': 35}), (0, 5): ([(10, 17)], {'bandwidth': 46}), (7, 5): ([(10, 7), (7, 45)], {'bandwidth': 28}), (7, 2): ([(28, 45)], {'bandwidth': 8}), (7, 0): ([(17, 16), (16, 45)], {'bandwidth': 5}), (8, 7): ([(45, 86)], {'bandwidth': 44}), (8, 2): ([(28, 10), (10, 86)], {'bandwidth': 29}), (4, 7): ([(45, 83)], {'bandwidth': 28}), (4, 0): ([(17, 14), (14, 83)], {'bandwidth': 11}), (4, 2): ([(28, 83)], {'bandwidth': 8}), (4, 5): ([(10, 14), (14, 83)], {'bandwidth': 1}), (1, 5): ([(0, 10)], {'bandwidth': 36}), (1, 4): ([(0, 48), (48, 83)], {'bandwidth': 19}), (1, 2): ([(0, 10), (10, 28)], {'bandwidth': 7}), (1, 0): ([(0, 10), (10, 17)], {'bandwidth': 4}), (9, 0): ([(17, 65), (65, 59)], {'bandwidth': 32}), (9, 1): ([(0, 59)], {'bandwidth': 18}), (9, 8): ([(59, 0), (0, 10), (10, 86)], {'bandwidth': 16}), (3, 4): ([(83, 94)], {'bandwidth': 32}), (3, 0): ([(17, 94)], {'bandwidth': 17}), (3, 9): ([(59, 23), (23, 94)], {'bandwidth': 12}), (3, 2): ([(28, 17), (17, 94)], {'bandwidth': 6}), (3, 5): ([(10, 17), (17, 94)], {'bandwidth': 6}), (6, 2): ([(28, 17), (17, 87)], {'bandwidth': 24}), (6, 7): ([(45, 9), (9, 87)], {'bandwidth': 11}), (6, 8): ([(86, 17), (17, 87)], {'bandwidth': 4})}",144,998,767,0.7685370741482966,1,0
1,arrival,23,1,True,True,"{4: (28, {'cpu': 18, 'gpu': 19, 'storage': 20}), 5: (10, {'cpu': 2, 'gpu': 11, 'storage': 14}), 2: (17, {'cpu': 9, 'gpu': 1, 'storage': 1}), 3: (0, {'cpu': 3, 'gpu': 18, 'storage': 16}), 1: (45, {'cpu': 13, 'gpu': 13, 'storage': 7}), 0: (83, {'cpu': 11, 'gpu': 2, 'storage': 12})}","{(5, 4): ([(10, 51), (51, 28)], {'bandwidth': 49}), (2, 4): ([(17, 28)], {'bandwidth': 4}), (3, 2): ([(0, 25), (25, 3), (3, 17)], {'bandwidth': 5}), (1, 4): ([(28, 45)], {'bandwidth': 23}), (0, 1): ([(45, 83)], {'bandwidth': 18})}",262,348,289,0.8304597701149425,2,0
2,arrival,38,2,True,True,"{0: (28, {'cpu': 20, 'gpu': 3, 'storage': 6}), 1: (45, {'cpu': 19, 'gpu': 19, 'storage': 1})}","{(1, 0): ([(28, 33), (33, 45)], {'bandwidth': 50})}",243,168,118,0.7023809523809523,3,0
3,arrival,53,3,True,True,"{1: (93, {'cpu': 15, 'gpu': 9, 'storage': 20}), 3: (30, {'cpu': 6, 'gpu': 2, 'storage': 2}), 6: (90, {'cpu': 15, 'gpu': 14, 'storage': 18}), 5: (46, {'cpu': 16, 'gpu': 4, 'storage': 5}), 7: (87, {'cpu': 17, 'gpu': 7, 'storage': 0}), 8: (62, {'cpu': 7, 'gpu': 15, 'storage': 19}), 2: (59, {'cpu': 20, 'gpu': 20, 'storage': 0}), 0: (65, {'cpu': 10, 'gpu': 8, 'storage': 14}), 4: (17, {'cpu': 3, 'gpu': 16, 'storage': 3})}","{(3, 1): ([(30, 93)], {'bandwidth': 0}), (6, 1): ([(90, 30), (30, 93)], {'bandwidth': 33}), (5, 1): ([(46, 12), (12, 93)], {'bandwidth': 41}), (5, 3): ([(30, 46)], {'bandwidth': 32}), (5, 6): ([(46, 30), (30, 90)], {'bandwidth': 31}), (7, 1): ([(87, 35), (35, 93)], {'bandwidth': 41}), (7, 3): ([(30, 87)], {'bandwidth': 38}), (8, 6): ([(62, 37), (37, 90)], {'bandwidth': 49}), (8, 5): ([(46, 20), (20, 62)], {'bandwidth': 38}), (8, 3): ([(30, 16), (16, 43), (43, 62)], {'bandwidth': 36}), (2, 6): ([(59, 53), (53, 90)], {'bandwidth': 44}), (2, 1): ([(59, 12), (12, 93)], {'bandwidth': 16}), (2, 8): ([(59, 0), (0, 62)], {'bandwidth': 15}), (0, 6): ([(65, 37), (37, 90)], {'bandwidth': 44}), (0, 3): ([(30, 5), (5, 6), (6, 65)], {'bandwidth': 13}), (0, 5): ([(46, 17), (17, 65)], {'bandwidth': 4}), (4, 1): ([(17, 86), (86, 93)], {'bandwidth': 33}), (4, 7): ([(17, 87)], {'bandwidth': 11})}",1332,1291,804,0.6227730441518203,4,0
4,arrival,68,4,True,True,"{4: (77, {'cpu': 9, 'gpu': 13, 'storage': 1}), 3: (82, {'cpu': 12, 'gpu': 14, 'storage': 3}), 1: (43, {'cpu': 3, 'gpu': 5, 'storage': 17}), 5: (0, {'cpu': 20, 'gpu': 12, 'storage': 15}), 0: (59, {'cpu': 20, 'gpu': 10, 'storage': 9}), 2: (38, {'cpu': 18, 'gpu': 8, 'storage': 11}), 6: (28, {'cpu': 4, 'gpu': 18, 'storage': 4})}","{(1, 4): ([(43, 77)], {'bandwidth': 43}), (1, 3): ([(43, 82)], {'bandwidth': 18}), (5, 3): ([(0, 82)], {'bandwidth': 44}), (5, 1): ([(0, 43)], {'bandwidth': 6}), (0, 5): ([(0, 59)], {'bandwidth': 33}), (0, 1): ([(43, 12), (12, 59)], {'bandwidth': 17}), (0, 3): ([(59, 77), (77, 82)], {'bandwidth': 5}), (2, 4): ([(38, 0), (0, 77)], {'bandwidth': 35}), (2, 1): ([(38, 0), (0, 43)], {'bandwidth': 14}), (2, 3): ([(38, 82)], {'bandwidth': 12}), (6, 4): ([(28, 43), (43, 77)], {'bandwidth': 37}), (6, 2): ([(28, 5), (5, 38)], {'bandwidth': 28}), (6, 0): ([(28, 21), (21, 59)], {'bandwidth': 8})}",331,670,526,0.7850746268656716,5,0
5,arrival,83,5,True,True,"{1: (64, {'cpu': 10, 'gpu': 18, 'storage': 2}), 4: (86, {'cpu': 4, 'gpu': 0, 'storage': 3}), 0: (47, {'cpu': 2, 'gpu': 9, 'storage': 7}), 2: (44, {'cpu': 10, 'gpu': 20, 'storage': 5}), 5: (68, {'cpu': 0, 'gpu': 15, 'storage': 5}), 3: (10, {'cpu': 8, 'gpu': 15, 'storage': 3})}","{(4, 1): ([(64, 86)], {'bandwidth': 16}), (0, 4): ([(47, 86)], {'bandwidth': 39}), (0, 1): ([(47, 64)], {'bandwidth': 33}), (2, 1): ([(44, 32), (32, 42), (42, 64)], {'bandwidth': 50}), (2, 4): ([(44, 47), (47, 86)], {'bandwidth': 18}), (2, 0): ([(44, 47)], {'bandwidth': 9}), (5, 4): ([(68, 57), (57, 86)], {'bandwidth': 43}), (5, 2): ([(44, 68)], {'bandwidth': 35}), (3, 0): ([(10, 99), (99, 47)], {'bandwidth': 31}), (3, 4): ([(10, 86)], {'bandwidth': 18})}",104,620,428,0.6903225806451613,6,0
6,arrival,95,6,True,True,"{0: (45, {'cpu': 2, 'gpu': 20, 'storage': 14}), 1: (83, {'cpu': 20, 'gpu': 19, 'storage': 17})}","{(1, 0): ([(45, 83)], {'bandwidth': 14})}",240,106,106,1.0,7,0
7,arrival,107,7,True,True,"{2: (70, {'cpu': 8, 'gpu': 14, 'storage': 9}), 5: (25, {'cpu': 4, 'gpu': 17, 'storage': 2}), 1: (82, {'cpu': 16, 'gpu': 17, 'storage': 17}), 4: (18, {'cpu': 4, 'gpu': 6, 'storage': 14}), 3: (55, {'cpu': 20, 'gpu': 10, 'storage': 1}), 0: (43, {'cpu': 1, 'gpu': 16, 'storage': 18})}","{(5, 2): ([(25, 70)], {'bandwidth': 49}), (1, 2): ([(70, 82)], {'bandwidth': 50}), (4, 5): ([(18, 70), (70, 25)], {'bandwidth': 30}), (4, 1): ([(18, 82)], {'bandwidth': 18}), (3, 1): ([(55, 82)], {'bandwidth': 40}), (3, 4): ([(18, 55)], {'bandwidth': 23}), (3, 5): ([(25, 82), (82, 55)], {'bandwidth': 1}), (0, 4): ([(18, 82), (82, 43)], {'bandwidth': 35}), (0, 5): ([(25, 0), (0, 43)], {'bandwidth': 29}), (0, 2): ([(43, 70)], {'bandwidth': 22})}",79,586,491,0.8378839590443686,8,0
8,arrival,129,8,True,True,"{1: (10, {'cpu': 5, 'gpu': 9, 'storage': 0}), 0: (17, {'cpu': 1, 'gpu': 5, 'storage': 20})}","{(0, 1): ([(10, 17)], {'bandwidth': 6})}",888,46,46,1.0,9,0
9,arrival,143,9,True,True,"{0: (28, {'cpu': 0, 'gpu': 7, 'storage': 1}), 1: (17, {'cpu': 15, 'gpu': 15, 'storage': 19}), 2: (46, {'cpu': 15, 'gpu': 20, 'storage': 12}), 3: (94, {'cpu': 6, 'gpu': 19, 'storage': 0})}","{(1, 0): ([(17, 46), (46, 28)], {'bandwidth': 42}), (2, 1): ([(17, 14), (14, 21), (21, 46)], {'bandwidth': 49}), (3, 2): ([(46, 17), (17, 94)], {'bandwidth': 7})}",69,374,227,0.606951871657754,10,0
