event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,12,0,True,True,"{3: (0, {'cpu': 10, 'gpu': 7, 'storage': 5}), 2: (20, {'cpu': 10, 'gpu': 17, 'storage': 9}), 4: (14, {'cpu': 1, 'gpu': 18, 'storage': 18}), 0: (57, {'cpu': 19, 'gpu': 18, 'storage': 5}), 1: (23, {'cpu': 14, 'gpu': 3, 'storage': 15})}","{(2, 3): ([(0, 20)], {'bandwidth': 18}), (4, 3): ([(0, 14)], {'bandwidth': 48}), (0, 2): ([(20, 14), (14, 57)], {'bandwidth': 43}), (0, 3): ([(0, 14), (14, 57)], {'bandwidth': 13}), (1, 3): ([(0, 14), (14, 23)], {'bandwidth': 1})}",895,349,292,0.836676217765043,1,0
1,arrival,23,1,True,True,"{1: (0, {'cpu': 2, 'gpu': 1, 'storage': 1}), 0: (20, {'cpu': 6, 'gpu': 9, 'storage': 12})}","{(0, 1): ([(0, 20)], {'bandwidth': 37})}",572,68,68,1.0,2,0
2,arrival,31,2,True,True,"{0: (45, {'cpu': 15, 'gpu': 10, 'storage': 5}), 2: (57, {'cpu': 20, 'gpu': 8, 'storage': 11}), 1: (23, {'cpu': 2, 'gpu': 2, 'storage': 4}), 3: (22, {'cpu': 9, 'gpu': 19, 'storage': 14})}","{(2, 0): ([(45, 57)], {'bandwidth': 46}), (3, 1): ([(22, 23)], {'bandwidth': 10}), (3, 2): ([(22, 13), (13, 57)], {'bandwidth': 7}), (3, 0): ([(22, 71), (71, 45)], {'bandwidth': 5})}",323,199,187,0.9396984924623115,3,0
3,arrival,46,3,True,True,"{5: (0, {'cpu': 12, 'gpu': 12, 'storage': 14}), 6: (98, {'cpu': 16, 'gpu': 0, 'storage': 4}), 9: (78, {'cpu': 6, 'gpu': 13, 'storage': 18}), 4: (42, {'cpu': 15, 'gpu': 12, 'storage': 20}), 1: (46, {'cpu': 2, 'gpu': 3, 'storage': 6}), 8: (92, {'cpu': 12, 'gpu': 7, 'storage': 4}), 2: (40, {'cpu': 15, 'gpu': 17, 'storage': 7}), 3: (23, {'cpu': 20, 'gpu': 0, 'storage': 0}), 7: (27, {'cpu': 9, 'gpu': 19, 'storage': 4}), 0: (7, {'cpu': 5, 'gpu': 13, 'storage': 19})}","{(6, 5): ([(0, 98)], {'bandwidth': 49}), (9, 5): ([(0, 78)], {'bandwidth': 30}), (9, 6): ([(78, 98)], {'bandwidth': 5}), (4, 5): ([(0, 42)], {'bandwidth': 31}), (4, 6): ([(42, 0), (0, 67), (67, 98)], {'bandwidth': 26}), (1, 6): ([(46, 33), (33, 98)], {'bandwidth': 41}), (8, 4): ([(42, 20), (20, 92)], {'bandwidth': 33}), (8, 6): ([(92, 13), (13, 98)], {'bandwidth': 19}), (8, 5): ([(0, 92)], {'bandwidth': 16}), (2, 5): ([(0, 40)], {'bandwidth': 35}), (2, 9): ([(40, 0), (0, 78)], {'bandwidth': 28}), (2, 4): ([(40, 0), (0, 42)], {'bandwidth': 19}), (2, 6): ([(40, 67), (67, 98)], {'bandwidth': 15}), (2, 1): ([(40, 7), (7, 46)], {'bandwidth': 2}), (3, 9): ([(23, 26), (26, 78)], {'bandwidth': 46}), (3, 8): ([(23, 7), (7, 92)], {'bandwidth': 19}), (3, 1): ([(23, 46)], {'bandwidth': 5}), (3, 6): ([(23, 14), (14, 98)], {'bandwidth': 4}), (7, 5): ([(0, 50), (50, 27)], {'bandwidth': 25}), (7, 8): ([(27, 92)], {'bandwidth': 19}), (7, 1): ([(27, 23), (23, 46)], {'bandwidth': 15}), (7, 3): ([(23, 27)], {'bandwidth': 13}), (7, 2): ([(27, 40)], {'bandwidth': 3}), (0, 1): ([(7, 46)], {'bandwidth': 29}), (0, 5): ([(0, 92), (92, 7)], {'bandwidth': 19}), (0, 3): ([(7, 23)], {'bandwidth': 9}), (0, 8): ([(7, 92)], {'bandwidth': 5})}",189,1201,864,0.7194004995836802,4,0
4,arrival,64,4,True,True,"{1: (94, {'cpu': 19, 'gpu': 19, 'storage': 12}), 5: (59, {'cpu': 0, 'gpu': 20, 'storage': 13}), 3: (29, {'cpu': 0, 'gpu': 5, 'storage': 17}), 4: (85, {'cpu': 10, 'gpu': 15, 'storage': 19}), 0: (45, {'cpu': 10, 'gpu': 5, 'storage': 2}), 2: (22, {'cpu': 16, 'gpu': 19, 'storage': 9})}","{(5, 1): ([(59, 94)], {'bandwidth': 6}), (3, 1): ([(29, 2), (2, 94)], {'bandwidth': 50}), (3, 5): ([(29, 59)], {'bandwidth': 34}), (4, 1): ([(85, 45), (45, 94)], {'bandwidth': 41}), (0, 5): ([(45, 25), (25, 59)], {'bandwidth': 16}), (2, 0): ([(22, 71), (71, 45)], {'bandwidth': 3}), (2, 4): ([(22, 85)], {'bandwidth': 1}), (2, 5): ([(22, 98), (98, 59)], {'bandwidth': 0})}",75,471,361,0.7664543524416136,5,0
5,arrival,75,5,True,True,"{1: (88, {'cpu': 6, 'gpu': 1, 'storage': 9}), 7: (65, {'cpu': 8, 'gpu': 11, 'storage': 20}), 4: (57, {'cpu': 17, 'gpu': 20, 'storage': 6}), 3: (32, {'cpu': 0, 'gpu': 3, 'storage': 7}), 8: (73, {'cpu': 6, 'gpu': 3, 'storage': 20}), 5: (64, {'cpu': 4, 'gpu': 20, 'storage': 12}), 0: (23, {'cpu': 3, 'gpu': 18, 'storage': 7}), 6: (46, {'cpu': 7, 'gpu': 13, 'storage': 3}), 2: (0, {'cpu': 6, 'gpu': 8, 'storage': 4}), 9: (14, {'cpu': 18, 'gpu': 6, 'storage': 19})}","{(7, 1): ([(65, 88)], {'bandwidth': 14}), (4, 1): ([(57, 88)], {'bandwidth': 27}), (3, 4): ([(32, 57)], {'bandwidth': 30}), (3, 1): ([(32, 57), (57, 88)], {'bandwidth': 28}), (3, 7): ([(32, 6), (6, 65)], {'bandwidth': 15}), (8, 4): ([(57, 73)], {'bandwidth': 29}), (5, 7): ([(64, 57), (57, 65)], {'bandwidth': 29}), (0, 7): ([(23, 7), (7, 65)], {'bandwidth': 34}), (0, 1): ([(23, 46), (46, 88)], {'bandwidth': 23}), (0, 4): ([(23, 57)], {'bandwidth': 6}), (6, 8): ([(46, 42), (42, 73)], {'bandwidth': 30}), (6, 3): ([(32, 0), (0, 35), (35, 46)], {'bandwidth': 26}), (6, 4): ([(46, 23), (23, 57)], {'bandwidth': 4}), (2, 5): ([(0, 83), (83, 64)], {'bandwidth': 30}), (2, 4): ([(0, 32), (32, 57)], {'bandwidth': 19}), (2, 1): ([(0, 28), (28, 88)], {'bandwidth': 13}), (9, 7): ([(14, 8), (8, 11), (11, 65)], {'bandwidth': 27}), (9, 1): ([(14, 79), (79, 88)], {'bandwidth': 24}), (9, 5): ([(14, 21), (21, 64)], {'bandwidth': 2}), (9, 2): ([(0, 14)], {'bandwidth': 1})}",1309,1053,696,0.6609686609686609,6,0
6,arrival,85,6,True,True,"{2: (91, {'cpu': 5, 'gpu': 14, 'storage': 11}), 4: (76, {'cpu': 12, 'gpu': 9, 'storage': 16}), 7: (43, {'cpu': 11, 'gpu': 11, 'storage': 5}), 5: (18, {'cpu': 18, 'gpu': 17, 'storage': 0}), 1: (20, {'cpu': 20, 'gpu': 3, 'storage': 10}), 0: (85, {'cpu': 17, 'gpu': 2, 'storage': 20}), 6: (22, {'cpu': 4, 'gpu': 12, 'storage': 5}), 3: (37, {'cpu': 6, 'gpu': 8, 'storage': 19})}","{(4, 2): ([(76, 91)], {'bandwidth': 10}), (7, 2): ([(43, 91)], {'bandwidth': 49}), (7, 4): ([(43, 76)], {'bandwidth': 39}), (5, 2): ([(18, 23), (23, 22), (22, 91)], {'bandwidth': 35}), (1, 2): ([(20, 1), (1, 91)], {'bandwidth': 30}), (1, 4): ([(20, 76)], {'bandwidth': 27}), (0, 4): ([(76, 85)], {'bandwidth': 48}), (0, 1): ([(20, 22), (22, 85)], {'bandwidth': 15}), (6, 7): ([(22, 20), (20, 43)], {'bandwidth': 16}), (6, 5): ([(18, 23), (23, 22)], {'bandwidth': 9}), (3, 1): ([(20, 3), (3, 37)], {'bandwidth': 20}), (3, 5): ([(18, 85), (85, 37)], {'bandwidth': 9})}",431,731,562,0.7688098495212038,7,0
7,arrival,94,7,True,True,"{1: (58, {'cpu': 3, 'gpu': 6, 'storage': 6}), 3: (42, {'cpu': 16, 'gpu': 16, 'storage': 9}), 0: (17, {'cpu': 4, 'gpu': 18, 'storage': 1}), 2: (20, {'cpu': 17, 'gpu': 18, 'storage': 2})}","{(0, 3): ([(17, 42)], {'bandwidth': 21}), (0, 1): ([(17, 58)], {'bandwidth': 19}), (2, 1): ([(20, 42), (42, 58)], {'bandwidth': 22}), (2, 3): ([(20, 42)], {'bandwidth': 17})}",174,217,195,0.8986175115207373,8,0
8,arrival,104,8,True,True,"{4: (70, {'cpu': 12, 'gpu': 7, 'storage': 13}), 5: (66, {'cpu': 1, 'gpu': 16, 'storage': 0}), 0: (84, {'cpu': 0, 'gpu': 12, 'storage': 1}), 7: (78, {'cpu': 5, 'gpu': 11, 'storage': 1}), 2: (98, {'cpu': 7, 'gpu': 1, 'storage': 16}), 8: (65, {'cpu': 4, 'gpu': 4, 'storage': 19}), 9: (59, {'cpu': 1, 'gpu': 4, 'storage': 15}), 1: (45, {'cpu': 12, 'gpu': 19, 'storage': 8}), 6: (85, {'cpu': 10, 'gpu': 10, 'storage': 8}), 3: (23, {'cpu': 9, 'gpu': 8, 'storage': 12})}","{(5, 4): ([(66, 70)], {'bandwidth': 47}), (0, 4): ([(70, 7), (7, 84)], {'bandwidth': 32}), (0, 5): ([(66, 84)], {'bandwidth': 22}), (7, 4): ([(70, 66), (66, 78)], {'bandwidth': 29}), (7, 5): ([(66, 78)], {'bandwidth': 3}), (2, 4): ([(70, 61), (61, 98)], {'bandwidth': 43}), (2, 7): ([(78, 98)], {'bandwidth': 20}), (8, 4): ([(65, 7), (7, 10), (10, 70)], {'bandwidth': 36}), (8, 0): ([(65, 6), (6, 20), (20, 84)], {'bandwidth': 28}), (8, 5): ([(65, 72), (72, 66)], {'bandwidth': 27}), (8, 2): ([(65, 22), (22, 98)], {'bandwidth': 18}), (9, 7): ([(59, 60), (60, 78)], {'bandwidth': 32}), (9, 5): ([(59, 25), (25, 66)], {'bandwidth': 29}), (9, 2): ([(59, 98)], {'bandwidth': 15}), (1, 5): ([(45, 25), (25, 66)], {'bandwidth': 33}), (1, 0): ([(45, 71), (71, 84)], {'bandwidth': 28}), (1, 2): ([(45, 14), (14, 98)], {'bandwidth': 23}), (1, 8): ([(45, 55), (55, 65)], {'bandwidth': 3}), (1, 9): ([(45, 25), (25, 59)], {'bandwidth': 2}), (6, 7): ([(78, 66), (66, 85)], {'bandwidth': 37}), (6, 9): ([(59, 7), (7, 85)], {'bandwidth': 25}), (6, 1): ([(45, 85)], {'bandwidth': 14}), (6, 4): ([(70, 85)], {'bandwidth': 13}), (6, 5): ([(66, 85)], {'bandwidth': 4}), (3, 0): ([(23, 18), (18, 84)], {'bandwidth': 21}), (3, 4): ([(23, 14), (14, 45), (45, 70)], {'bandwidth': 11})}",155,1373,841,0.6125273124544792,9,0
9,arrival,114,9,True,True,"{1: (94, {'cpu': 2, 'gpu': 0, 'storage': 11}), 0: (76, {'cpu': 6, 'gpu': 9, 'storage': 14}), 2: (11, {'cpu': 6, 'gpu': 10, 'storage': 11}), 3: (63, {'cpu': 12, 'gpu': 2, 'storage': 10})}","{(0, 1): ([(76, 94)], {'bandwidth': 50}), (2, 0): ([(11, 76)], {'bandwidth': 33}), (2, 1): ([(11, 53), (53, 94)], {'bandwidth': 30}), (3, 1): ([(63, 47), (47, 94)], {'bandwidth': 21}), (3, 0): ([(63, 11), (11, 76)], {'bandwidth': 14})}",219,306,241,0.7875816993464052,10,0
