event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,8,0,True,True,"{2: (52, {'cpu': 12, 'gpu': 15, 'storage': 2}), 0: (14, {'cpu': 7, 'gpu': 13, 'storage': 15}), 1: (32, {'cpu': 17, 'gpu': 17, 'storage': 4})}","{(0, 2): ([(14, 52)], {'bandwidth': 44}), (1, 0): ([(14, 32)], {'bandwidth': 9})}",597,155,155,1.0,1,0
1,arrival,13,1,True,True,"{4: (52, {'cpu': 17, 'gpu': 7, 'storage': 6}), 1: (7, {'cpu': 14, 'gpu': 8, 'storage': 2}), 5: (8, {'cpu': 6, 'gpu': 8, 'storage': 12}), 2: (92, {'cpu': 13, 'gpu': 1, 'storage': 9}), 6: (12, {'cpu': 19, 'gpu': 5, 'storage': 11}), 3: (32, {'cpu': 0, 'gpu': 8, 'storage': 8}), 0: (9, {'cpu': 19, 'gpu': 20, 'storage': 9})}","{(1, 4): ([(7, 52)], {'bandwidth': 27}), (5, 1): ([(7, 8)], {'bandwidth': 38}), (5, 4): ([(8, 7), (7, 52)], {'bandwidth': 4}), (2, 4): ([(52, 7), (7, 92)], {'bandwidth': 31}), (6, 5): ([(8, 12)], {'bandwidth': 17}), (6, 2): ([(12, 92)], {'bandwidth': 2}), (3, 4): ([(32, 7), (7, 52)], {'bandwidth': 27}), (3, 6): ([(12, 32)], {'bandwidth': 15}), (3, 2): ([(32, 6), (6, 92)], {'bandwidth': 7}), (0, 4): ([(9, 37), (37, 52)], {'bandwidth': 20}), (0, 3): ([(9, 55), (55, 32)], {'bandwidth': 18})}",348,515,408,0.7922330097087379,2,0
2,arrival,20,2,True,True,"{3: (52, {'cpu': 19, 'gpu': 13, 'storage': 11}), 5: (75, {'cpu': 8, 'gpu': 14, 'storage': 15}), 6: (32, {'cpu': 2, 'gpu': 18, 'storage': 5}), 2: (12, {'cpu': 3, 'gpu': 4, 'storage': 4}), 4: (14, {'cpu': 11, 'gpu': 6, 'storage': 11}), 0: (6, {'cpu': 14, 'gpu': 9, 'storage': 14}), 7: (33, {'cpu': 0, 'gpu': 8, 'storage': 8}), 1: (92, {'cpu': 18, 'gpu': 3, 'storage': 20})}","{(6, 5): ([(32, 10), (10, 75)], {'bandwidth': 50}), (2, 3): ([(12, 40), (40, 52)], {'bandwidth': 50}), (2, 6): ([(12, 32)], {'bandwidth': 14}), (4, 5): ([(14, 52), (52, 75)], {'bandwidth': 32}), (4, 3): ([(14, 5), (5, 11), (11, 52)], {'bandwidth': 24}), (0, 6): ([(6, 32)], {'bandwidth': 25}), (0, 3): ([(6, 11), (11, 52)], {'bandwidth': 14}), (7, 4): ([(14, 33)], {'bandwidth': 44}), (7, 3): ([(33, 7), (7, 52)], {'bandwidth': 0}), (1, 3): ([(52, 68), (68, 92)], {'bandwidth': 16}), (1, 0): ([(6, 92)], {'bandwidth': 11}), (1, 4): ([(14, 92)], {'bandwidth': 4})}",144,732,522,0.7131147540983607,3,0
3,arrival,38,3,True,True,"{4: (66, {'cpu': 16, 'gpu': 1, 'storage': 1}), 3: (9, {'cpu': 11, 'gpu': 10, 'storage': 20}), 0: (8, {'cpu': 5, 'gpu': 17, 'storage': 9}), 1: (12, {'cpu': 16, 'gpu': 2, 'storage': 4}), 2: (57, {'cpu': 5, 'gpu': 0, 'storage': 2})}","{(3, 4): ([(9, 66)], {'bandwidth': 36}), (0, 4): ([(8, 9), (9, 66)], {'bandwidth': 9}), (1, 4): ([(12, 66)], {'bandwidth': 22}), (1, 0): ([(8, 12)], {'bandwidth': 4}), (2, 0): ([(8, 57)], {'bandwidth': 40})}",77,239,230,0.9623430962343096,4,0
4,arrival,45,4,True,True,"{2: (76, {'cpu': 10, 'gpu': 16, 'storage': 5}), 1: (98, {'cpu': 1, 'gpu': 11, 'storage': 6}), 0: (12, {'cpu': 2, 'gpu': 18, 'storage': 16})}","{(1, 2): ([(76, 98)], {'bandwidth': 46}), (0, 1): ([(12, 98)], {'bandwidth': 3})}",105,134,134,1.0,5,0
5,arrival,59,5,True,True,"{0: (30, {'cpu': 1, 'gpu': 10, 'storage': 12}), 1: (33, {'cpu': 1, 'gpu': 18, 'storage': 7})}","{(1, 0): ([(30, 33)], {'bandwidth': 34})}",823,83,83,1.0,6,0
6,arrival,74,6,True,True,"{4: (33, {'cpu': 17, 'gpu': 18, 'storage': 18}), 0: (66, {'cpu': 3, 'gpu': 5, 'storage': 11}), 5: (81, {'cpu': 15, 'gpu': 16, 'storage': 1}), 2: (30, {'cpu': 19, 'gpu': 3, 'storage': 20}), 3: (76, {'cpu': 3, 'gpu': 19, 'storage': 11}), 1: (98, {'cpu': 14, 'gpu': 13, 'storage': 7}), 6: (12, {'cpu': 5, 'gpu': 19, 'storage': 14})}","{(0, 4): ([(33, 66)], {'bandwidth': 43}), (5, 0): ([(66, 81)], {'bandwidth': 46}), (2, 0): ([(30, 81), (81, 66)], {'bandwidth': 37}), (2, 4): ([(30, 81), (81, 33)], {'bandwidth': 19}), (2, 5): ([(30, 81)], {'bandwidth': 5}), (3, 4): ([(33, 7), (7, 76)], {'bandwidth': 31}), (3, 0): ([(66, 76)], {'bandwidth': 25}), (3, 2): ([(30, 18), (18, 76)], {'bandwidth': 17}), (1, 4): ([(33, 27), (27, 98)], {'bandwidth': 43}), (1, 5): ([(81, 47), (47, 98)], {'bandwidth': 11}), (6, 4): ([(12, 66), (66, 33)], {'bandwidth': 17}), (6, 3): ([(12, 66), (66, 76)], {'bandwidth': 8}), (6, 1): ([(12, 98)], {'bandwidth': 4})}",223,740,557,0.7527027027027027,7,0
7,arrival,86,7,True,True,"{2: (52, {'cpu': 1, 'gpu': 3, 'storage': 17}), 1: (37, {'cpu': 15, 'gpu': 9, 'storage': 4}), 0: (23, {'cpu': 16, 'gpu': 19, 'storage': 16})}","{(1, 2): ([(37, 52)], {'bandwidth': 39}), (0, 1): ([(23, 36), (36, 37)], {'bandwidth': 9})}",441,157,148,0.9426751592356688,8,0
8,arrival,97,8,True,True,"{1: (83, {'cpu': 2, 'gpu': 19, 'storage': 18}), 0: (8, {'cpu': 0, 'gpu': 15, 'storage': 1}), 3: (30, {'cpu': 12, 'gpu': 16, 'storage': 16}), 2: (42, {'cpu': 13, 'gpu': 5, 'storage': 14})}","{(0, 1): ([(8, 83)], {'bandwidth': 38}), (3, 1): ([(30, 83)], {'bandwidth': 40}), (2, 0): ([(8, 42)], {'bandwidth': 47})}",3352,256,256,1.0,9,0
9,arrival,114,9,True,True,"{5: (57, {'cpu': 2, 'gpu': 15, 'storage': 3}), 0: (86, {'cpu': 16, 'gpu': 18, 'storage': 20}), 6: (9, {'cpu': 2, 'gpu': 17, 'storage': 12}), 3: (98, {'cpu': 12, 'gpu': 0, 'storage': 17}), 2: (66, {'cpu': 5, 'gpu': 0, 'storage': 15}), 1: (92, {'cpu': 11, 'gpu': 20, 'storage': 16}), 4: (34, {'cpu': 2, 'gpu': 16, 'storage': 9})}","{(0, 5): ([(57, 86)], {'bandwidth': 32}), (6, 5): ([(9, 59), (59, 57)], {'bandwidth': 48}), (3, 0): ([(86, 98)], {'bandwidth': 39}), (3, 6): ([(9, 86), (86, 98)], {'bandwidth': 9}), (2, 3): ([(66, 49), (49, 98)], {'bandwidth': 39}), (1, 2): ([(66, 12), (12, 92)], {'bandwidth': 13}), (4, 1): ([(34, 2), (2, 92)], {'bandwidth': 28})}",1350,573,436,0.7609075043630017,10,0
