event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,8,0,True,True,"{5: (42, {'cpu': 4, 'gpu': 20, 'storage': 5}), 6: (34, {'cpu': 16, 'gpu': 15, 'storage': 15}), 2: (81, {'cpu': 4, 'gpu': 13, 'storage': 6}), 1: (18, {'cpu': 10, 'gpu': 18, 'storage': 17}), 0: (70, {'cpu': 19, 'gpu': 13, 'storage': 13}), 7: (97, {'cpu': 19, 'gpu': 19, 'storage': 4}), 3: (61, {'cpu': 17, 'gpu': 10, 'storage': 0}), 4: (50, {'cpu': 0, 'gpu': 8, 'storage': 19}), 8: (38, {'cpu': 4, 'gpu': 18, 'storage': 1})}","{(6, 5): ([(34, 76), (76, 42)], {'bandwidth': 33}), (2, 6): ([(34, 81)], {'bandwidth': 37}), (2, 5): ([(42, 29), (29, 81)], {'bandwidth': 20}), (1, 5): ([(18, 85), (85, 42)], {'bandwidth': 39}), (1, 6): ([(18, 5), (5, 34)], {'bandwidth': 27}), (1, 2): ([(18, 50), (50, 81)], {'bandwidth': 2}), (0, 6): ([(34, 47), (47, 70)], {'bandwidth': 45}), (7, 0): ([(70, 97)], {'bandwidth': 33}), (7, 5): ([(42, 10), (10, 97)], {'bandwidth': 28}), (7, 1): ([(18, 5), (5, 56), (56, 97)], {'bandwidth': 6}), (7, 6): ([(34, 15), (15, 97)], {'bandwidth': 5}), (3, 5): ([(42, 27), (27, 61)], {'bandwidth': 39}), (3, 0): ([(61, 47), (47, 70)], {'bandwidth': 25}), (3, 1): ([(18, 11), (11, 61)], {'bandwidth': 10}), (3, 7): ([(61, 36), (36, 97)], {'bandwidth': 10}), (4, 5): ([(42, 62), (62, 50)], {'bandwidth': 39}), (4, 1): ([(18, 50)], {'bandwidth': 14}), (4, 2): ([(50, 81)], {'bandwidth': 13}), (4, 7): ([(50, 15), (15, 97)], {'bandwidth': 8}), (8, 2): ([(38, 87), (87, 81)], {'bandwidth': 50}), (8, 1): ([(18, 38)], {'bandwidth': 7})}",1215,1189,797,0.6703111858704794,1,0
1,arrival,22,1,True,True,"{5: (42, {'cpu': 4, 'gpu': 9, 'storage': 4}), 1: (31, {'cpu': 15, 'gpu': 4, 'storage': 11}), 2: (70, {'cpu': 8, 'gpu': 19, 'storage': 0}), 3: (18, {'cpu': 9, 'gpu': 7, 'storage': 11}), 4: (34, {'cpu': 12, 'gpu': 16, 'storage': 12}), 0: (5, {'cpu': 10, 'gpu': 0, 'storage': 2}), 7: (66, {'cpu': 15, 'gpu': 19, 'storage': 7}), 6: (61, {'cpu': 10, 'gpu': 10, 'storage': 12})}","{(1, 5): ([(31, 42)], {'bandwidth': 20}), (2, 5): ([(42, 31), (31, 70)], {'bandwidth': 34}), (3, 1): ([(18, 38), (38, 31)], {'bandwidth': 48}), (3, 2): ([(18, 50), (50, 70)], {'bandwidth': 10}), (4, 5): ([(34, 3), (3, 87), (87, 42)], {'bandwidth': 45}), (4, 3): ([(18, 11), (11, 34)], {'bandwidth': 35}), (0, 1): ([(5, 56), (56, 31)], {'bandwidth': 45}), (0, 5): ([(5, 35), (35, 42)], {'bandwidth': 30}), (0, 4): ([(5, 34)], {'bandwidth': 17}), (7, 2): ([(66, 2), (2, 70)], {'bandwidth': 47}), (6, 2): ([(61, 27), (27, 70)], {'bandwidth': 6})}",1,908,563,0.6200440528634361,2,0
2,leave,23,1,True,True,"{}","{}",1,0,0,0,1,0
3,arrival,37,2,True,True,"{4: (18, {'cpu': 2, 'gpu': 13, 'storage': 18}), 3: (11, {'cpu': 0, 'gpu': 12, 'storage': 3}), 1: (34, {'cpu': 8, 'gpu': 12, 'storage': 11}), 0: (5, {'cpu': 2, 'gpu': 7, 'storage': 2}), 2: (42, {'cpu': 15, 'gpu': 18, 'storage': 17})}","{(3, 4): ([(11, 18)], {'bandwidth': 48}), (1, 4): ([(18, 73), (73, 34)], {'bandwidth': 31}), (1, 3): ([(11, 34)], {'bandwidth': 7}), (0, 1): ([(5, 34)], {'bandwidth': 22}), (0, 4): ([(5, 18)], {'bandwidth': 8}), (2, 1): ([(34, 76), (76, 42)], {'bandwidth': 13}), (2, 0): ([(5, 35), (35, 42)], {'bandwidth': 11}), (2, 3): ([(11, 55), (55, 42)], {'bandwidth': 5})}",946,345,285,0.8260869565217391,2,0
4,arrival,51,3,True,True,"{5: (42, {'cpu': 7, 'gpu': 7, 'storage': 18}), 0: (31, {'cpu': 16, 'gpu': 16, 'storage': 7}), 4: (70, {'cpu': 18, 'gpu': 7, 'storage': 6}), 3: (18, {'cpu': 16, 'gpu': 7, 'storage': 19}), 2: (81, {'cpu': 6, 'gpu': 4, 'storage': 20}), 7: (34, {'cpu': 18, 'gpu': 2, 'storage': 17}), 1: (66, {'cpu': 4, 'gpu': 11, 'storage': 10}), 6: (2, {'cpu': 19, 'gpu': 5, 'storage': 10})}","{(0, 5): ([(31, 42)], {'bandwidth': 50}), (4, 0): ([(31, 70)], {'bandwidth': 43}), (4, 5): ([(42, 10), (10, 93), (93, 70)], {'bandwidth': 32}), (3, 5): ([(18, 16), (16, 29), (29, 42)], {'bandwidth': 50}), (3, 0): ([(18, 38), (38, 31)], {'bandwidth': 27}), (2, 5): ([(42, 30), (30, 81)], {'bandwidth': 50}), (7, 4): ([(34, 3), (3, 75), (75, 70)], {'bandwidth': 16}), (7, 0): ([(31, 76), (76, 34)], {'bandwidth': 10}), (1, 0): ([(31, 8), (8, 66)], {'bandwidth': 29}), (6, 7): ([(2, 6), (6, 34)], {'bandwidth': 14}), (6, 5): ([(2, 72), (72, 42)], {'bandwidth': 10}), (6, 3): ([(2, 38), (38, 18)], {'bandwidth': 0})}",55,937,601,0.6414087513340448,3,0
5,arrival,56,4,True,True,"{8: (88, {'cpu': 6, 'gpu': 18, 'storage': 14}), 1: (80, {'cpu': 2, 'gpu': 11, 'storage': 18}), 4: (70, {'cpu': 6, 'gpu': 18, 'storage': 18}), 5: (97, {'cpu': 18, 'gpu': 13, 'storage': 19}), 3: (61, {'cpu': 3, 'gpu': 2, 'storage': 4}), 2: (36, {'cpu': 1, 'gpu': 10, 'storage': 16}), 0: (81, {'cpu': 1, 'gpu': 11, 'storage': 17}), 7: (34, {'cpu': 10, 'gpu': 11, 'storage': 3}), 6: (84, {'cpu': 17, 'gpu': 20, 'storage': 0})}","{(1, 8): ([(80, 88)], {'bandwidth': 50}), (4, 8): ([(70, 37), (37, 88)], {'bandwidth': 36}), (4, 1): ([(70, 2), (2, 38), (38, 80)], {'bandwidth': 33}), (5, 8): ([(88, 56), (56, 97)], {'bandwidth': 50}), (5, 4): ([(70, 97)], {'bandwidth': 18}), (3, 8): ([(61, 62), (62, 88)], {'bandwidth': 36}), (3, 1): ([(61, 11), (11, 80)], {'bandwidth': 34}), (2, 1): ([(36, 82), (82, 80)], {'bandwidth': 46}), (2, 3): ([(36, 61)], {'bandwidth': 14}), (2, 8): ([(36, 77), (77, 88)], {'bandwidth': 5}), (2, 4): ([(36, 50), (50, 70)], {'bandwidth': 0}), (0, 4): ([(70, 50), (50, 81)], {'bandwidth': 38}), (0, 5): ([(81, 97)], {'bandwidth': 28}), (0, 1): ([(80, 11), (11, 34), (34, 81)], {'bandwidth': 0}), (7, 8): ([(34, 3), (3, 75), (75, 88)], {'bandwidth': 43}), (7, 5): ([(34, 15), (15, 97)], {'bandwidth': 34}), (6, 4): ([(70, 63), (63, 7), (7, 84)], {'bandwidth': 37}), (6, 3): ([(61, 84)], {'bandwidth': 18}), (6, 1): ([(80, 15), (15, 84)], {'bandwidth': 8})}",86,1328,815,0.6137048192771084,4,0
6,arrival,67,5,True,True,"{3: (66, {'cpu': 5, 'gpu': 17, 'storage': 10}), 4: (25, {'cpu': 15, 'gpu': 6, 'storage': 18}), 1: (4, {'cpu': 15, 'gpu': 11, 'storage': 4}), 2: (63, {'cpu': 13, 'gpu': 10, 'storage': 0}), 0: (18, {'cpu': 9, 'gpu': 7, 'storage': 19})}","{(4, 3): ([(25, 66)], {'bandwidth': 49}), (1, 3): ([(4, 25), (25, 8), (8, 66)], {'bandwidth': 47}), (2, 4): ([(25, 63)], {'bandwidth': 35}), (0, 3): ([(18, 63), (63, 66)], {'bandwidth': 14}), (0, 4): ([(18, 63), (63, 25)], {'bandwidth': 8})}",363,428,312,0.7289719626168224,5,0
7,arrival,81,6,True,True,"{3: (42, {'cpu': 12, 'gpu': 2, 'storage': 9}), 5: (72, {'cpu': 5, 'gpu': 14, 'storage': 0}), 7: (81, {'cpu': 10, 'gpu': 13, 'storage': 4}), 0: (97, {'cpu': 17, 'gpu': 5, 'storage': 8}), 2: (40, {'cpu': 3, 'gpu': 11, 'storage': 11}), 4: (43, {'cpu': 19, 'gpu': 13, 'storage': 11}), 1: (11, {'cpu': 0, 'gpu': 13, 'storage': 11}), 6: (18, {'cpu': 14, 'gpu': 9, 'storage': 7})}","{(5, 3): ([(42, 72)], {'bandwidth': 31}), (7, 3): ([(42, 72), (72, 81)], {'bandwidth': 49}), (7, 5): ([(72, 81)], {'bandwidth': 33}), (2, 0): ([(40, 26), (26, 97)], {'bandwidth': 15}), (4, 0): ([(43, 72), (72, 97)], {'bandwidth': 49}), (4, 3): ([(42, 35), (35, 43)], {'bandwidth': 18}), (1, 3): ([(11, 55), (55, 42)], {'bandwidth': 45}), (1, 7): ([(11, 34), (34, 81)], {'bandwidth': 13}), (6, 5): ([(18, 43), (43, 72)], {'bandwidth': 47}), (6, 3): ([(18, 85), (85, 42)], {'bandwidth': 11})}",196,779,532,0.6829268292682927,6,0
8,arrival,92,7,True,True,"{1: (5, {'cpu': 10, 'gpu': 10, 'storage': 16}), 9: (47, {'cpu': 17, 'gpu': 0, 'storage': 0}), 8: (58, {'cpu': 13, 'gpu': 11, 'storage': 3}), 4: (38, {'cpu': 19, 'gpu': 11, 'storage': 6}), 0: (34, {'cpu': 1, 'gpu': 20, 'storage': 6}), 5: (18, {'cpu': 8, 'gpu': 5, 'storage': 9}), 7: (2, {'cpu': 1, 'gpu': 13, 'storage': 6}), 3: (4, {'cpu': 12, 'gpu': 1, 'storage': 16}), 2: (88, {'cpu': 6, 'gpu': 6, 'storage': 10}), 6: (61, {'cpu': 18, 'gpu': 11, 'storage': 3})}","{(8, 9): ([(47, 58)], {'bandwidth': 49}), (8, 1): ([(5, 58)], {'bandwidth': 38}), (4, 1): ([(5, 28), (28, 38)], {'bandwidth': 50}), (4, 8): ([(38, 2), (2, 23), (23, 58)], {'bandwidth': 18}), (0, 4): ([(34, 47), (47, 38)], {'bandwidth': 38}), (0, 8): ([(34, 4), (4, 49), (49, 58)], {'bandwidth': 13}), (0, 9): ([(34, 4), (4, 25), (25, 47)], {'bandwidth': 7}), (5, 4): ([(18, 38)], {'bandwidth': 27}), (5, 9): ([(18, 5), (5, 47)], {'bandwidth': 20}), (5, 8): ([(18, 68), (68, 58)], {'bandwidth': 18}), (5, 1): ([(5, 1), (1, 50), (50, 18)], {'bandwidth': 12}), (7, 9): ([(2, 66), (66, 47)], {'bandwidth': 39}), (7, 0): ([(2, 6), (6, 34)], {'bandwidth': 20}), (7, 1): ([(2, 33), (33, 5)], {'bandwidth': 17}), (7, 5): ([(2, 38), (38, 18)], {'bandwidth': 5}), (3, 1): ([(4, 1), (1, 5)], {'bandwidth': 44}), (3, 5): ([(4, 68), (68, 18)], {'bandwidth': 34}), (2, 0): ([(34, 4), (4, 1), (1, 88)], {'bandwidth': 42}), (2, 9): ([(47, 5), (5, 88)], {'bandwidth': 10}), (2, 4): ([(38, 45), (45, 88)], {'bandwidth': 6}), (6, 9): ([(47, 61)], {'bandwidth': 15}), (6, 0): ([(34, 6), (6, 61)], {'bandwidth': 8}), (6, 3): ([(4, 25), (25, 47), (47, 61)], {'bandwidth': 2}), (6, 8): ([(58, 47), (47, 61)], {'bandwidth': 1})}",58,1299,801,0.6166281755196305,7,0
9,leave,106,3,True,True,"{}","{}",55,0,0,0,6,0
