event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,17,0,True,True,"{0: (17, {'cpu': 2, 'gpu': 1, 'storage': 6}), 1: (76, {'cpu': 11, 'gpu': 11, 'storage': 12})}","{(1, 0): ([(17, 76)], {'bandwidth': 46})}",914,89,89,1.0,1,0
1,arrival,29,1,True,True,"{1: (17, {'cpu': 15, 'gpu': 17, 'storage': 5}), 0: (76, {'cpu': 8, 'gpu': 8, 'storage': 6}), 2: (27, {'cpu': 6, 'gpu': 7, 'storage': 10})}","{(0, 1): ([(17, 76)], {'bandwidth': 25}), (2, 1): ([(17, 12), (12, 11), (11, 27)], {'bandwidth': 23})}",360,176,130,0.7386363636363636,2,0
2,arrival,41,2,True,True,"{2: (17, {'cpu': 14, 'gpu': 8, 'storage': 10}), 3: (76, {'cpu': 17, 'gpu': 1, 'storage': 19}), 0: (27, {'cpu': 15, 'gpu': 15, 'storage': 1}), 1: (3, {'cpu': 17, 'gpu': 13, 'storage': 10})}","{(0, 2): ([(17, 76), (76, 27)], {'bandwidth': 19}), (1, 2): ([(3, 98), (98, 17)], {'bandwidth': 20}), (1, 3): ([(3, 76)], {'bandwidth': 12})}",26,230,191,0.8304347826086956,3,0
3,arrival,60,3,True,True,"{1: (17, {'cpu': 3, 'gpu': 2, 'storage': 19}), 3: (76, {'cpu': 7, 'gpu': 2, 'storage': 12}), 2: (27, {'cpu': 4, 'gpu': 8, 'storage': 14}), 0: (3, {'cpu': 0, 'gpu': 15, 'storage': 17})}","{(3, 1): ([(17, 12), (12, 93), (93, 76)], {'bandwidth': 40}), (2, 1): ([(17, 12), (12, 11), (11, 27)], {'bandwidth': 20}), (0, 2): ([(3, 76), (76, 27)], {'bandwidth': 10}), (0, 3): ([(3, 76)], {'bandwidth': 6})}",607,309,179,0.5792880258899676,4,0
4,leave,67,2,True,True,"{}","{}",26,0,0,0,3,0
5,arrival,74,4,True,True,"{0: (17, {'cpu': 5, 'gpu': 0, 'storage': 4}), 1: (76, {'cpu': 7, 'gpu': 4, 'storage': 10})}","{(1, 0): ([(17, 76)], {'bandwidth': 9})}",213,39,39,1.0,4,0
6,arrival,89,5,True,True,"{0: (50, {'cpu': 16, 'gpu': 4, 'storage': 6}), 2: (17, {'cpu': 3, 'gpu': 5, 'storage': 5}), 1: (42, {'cpu': 18, 'gpu': 4, 'storage': 20}), 3: (53, {'cpu': 0, 'gpu': 16, 'storage': 15}), 4: (89, {'cpu': 20, 'gpu': 14, 'storage': 20})}","{(2, 0): ([(17, 53), (53, 50)], {'bandwidth': 43}), (1, 0): ([(42, 53), (53, 50)], {'bandwidth': 29}), (3, 2): ([(17, 53)], {'bandwidth': 27}), (4, 0): ([(50, 89)], {'bandwidth': 27})}",55,364,292,0.8021978021978022,5,0
7,arrival,97,6,True,False,"{3: (7, {'cpu': 15, 'gpu': 0, 'storage': 1}), 4: (58, {'cpu': 1, 'gpu': 0, 'storage': 14}), 5: (50, {'cpu': 15, 'gpu': 17, 'storage': 15}), 0: (42, {'cpu': 14, 'gpu': 14, 'storage': 9}), 1: (48, {'cpu': 13, 'gpu': 3, 'storage': 5}), 2: (97, {'cpu': 19, 'gpu': 4, 'storage': 20}), 7: (35, {'cpu': 14, 'gpu': 15, 'storage': 12}), 8: (17, {'cpu': 20, 'gpu': 5, 'storage': 18})}","{(4, 3): ([(7, 58)], {'bandwidth': 50}), (5, 4): ([(50, 43), (43, 58)], {'bandwidth': 31}), (0, 3): ([(7, 4), (4, 42)], {'bandwidth': 50}), (0, 5): ([(42, 31), (31, 15), (15, 32), (32, 50)], {'bandwidth': 44}), (1, 3): ([(7, 82), (82, 48)], {'bandwidth': 32}), (1, 0): ([(42, 53), (53, 1), (1, 48)], {'bandwidth': 24}), (1, 5): ([(48, 22), (22, 89), (89, 50)], {'bandwidth': 16}), (2, 1): ([(48, 1), (1, 53), (53, 97)], {'bandwidth': 33}), (2, 0): ([(42, 64), (64, 7), (7, 97)], {'bandwidth': 27}), (7, 4): ([(35, 47), (47, 63), (63, 58)], {'bandwidth': 46}), (7, 2): ([(35, 32), (32, 97)], {'bandwidth': 45}), (7, 1): ([(35, 78), (78, 80), (80, 85), (85, 48)], {'bandwidth': 39}), (8, 1): ([(17, 98), (98, 32), (32, 85), (85, 48)], {'bandwidth': 37}), (8, 7): ([(17, 98), (98, 32), (32, 35)], {'bandwidth': 22}), (8, 2): ([(17, 98), (98, 32), (32, 97)], {'bandwidth': 21})}",328,1676,780,0.46539379474940334,5,0
8,arrival,110,7,True,True,"{2: (42, {'cpu': 11, 'gpu': 0, 'storage': 9}), 0: (17, {'cpu': 19, 'gpu': 6, 'storage': 17}), 1: (53, {'cpu': 6, 'gpu': 8, 'storage': 13})}","{(0, 2): ([(17, 98), (98, 31), (31, 42)], {'bandwidth': 41}), (1, 2): ([(42, 53)], {'bandwidth': 0})}",72,212,130,0.6132075471698113,6,0
9,arrival,118,8,True,True,"{1: (42, {'cpu': 1, 'gpu': 2, 'storage': 8}), 0: (4, {'cpu': 17, 'gpu': 2, 'storage': 3}), 2: (31, {'cpu': 3, 'gpu': 16, 'storage': 17})}","{(0, 1): ([(4, 42)], {'bandwidth': 49}), (2, 1): ([(31, 42)], {'bandwidth': 16})}",760,134,134,1.0,7,0
10,arrival,136,9,True,True,"{5: (48, {'cpu': 16, 'gpu': 3, 'storage': 4}), 4: (85, {'cpu': 9, 'gpu': 8, 'storage': 6}), 2: (46, {'cpu': 12, 'gpu': 11, 'storage': 17}), 0: (60, {'cpu': 11, 'gpu': 13, 'storage': 18}), 1: (4, {'cpu': 14, 'gpu': 7, 'storage': 14}), 3: (42, {'cpu': 3, 'gpu': 17, 'storage': 1})}","{(4, 5): ([(48, 85)], {'bandwidth': 13}), (2, 4): ([(46, 85)], {'bandwidth': 36}), (2, 5): ([(46, 22), (22, 48)], {'bandwidth': 16}), (0, 4): ([(60, 46), (46, 85)], {'bandwidth': 40}), (0, 2): ([(46, 60)], {'bandwidth': 30}), (1, 4): ([(4, 7), (7, 33), (33, 85)], {'bandwidth': 50}), (1, 0): ([(4, 13), (13, 60)], {'bandwidth': 29}), (3, 1): ([(4, 7), (7, 64), (64, 42)], {'bandwidth': 33}), (3, 0): ([(42, 53), (53, 23), (23, 67), (67, 60)], {'bandwidth': 26}), (3, 2): ([(42, 4), (4, 46)], {'bandwidth': 9})}",121,804,466,0.5796019900497512,8,0
11,leave,144,5,True,True,"{}","{}",55,0,0,0,7,0
12,arrival,147,10,True,True,"{3: (50, {'cpu': 13, 'gpu': 10, 'storage': 3}), 4: (89, {'cpu': 4, 'gpu': 16, 'storage': 6}), 1: (53, {'cpu': 15, 'gpu': 0, 'storage': 15}), 0: (48, {'cpu': 19, 'gpu': 9, 'storage': 19}), 2: (58, {'cpu': 13, 'gpu': 8, 'storage': 16}), 5: (97, {'cpu': 13, 'gpu': 7, 'storage': 7}), 6: (41, {'cpu': 19, 'gpu': 1, 'storage': 11})}","{(1, 3): ([(50, 53)], {'bandwidth': 35}), (1, 4): ([(53, 89)], {'bandwidth': 18}), (0, 3): ([(48, 1), (1, 53), (53, 50)], {'bandwidth': 35}), (0, 4): ([(48, 22), (22, 89)], {'bandwidth': 28}), (0, 1): ([(48, 1), (1, 53)], {'bandwidth': 20}), (2, 0): ([(48, 82), (82, 7), (7, 58)], {'bandwidth': 36}), (2, 1): ([(53, 23), (23, 58)], {'bandwidth': 24}), (5, 4): ([(89, 52), (52, 97)], {'bandwidth': 41}), (5, 0): ([(48, 1), (1, 53), (53, 97)], {'bandwidth': 22}), (5, 2): ([(58, 7), (7, 97)], {'bandwidth': 5}), (6, 2): ([(41, 2), (2, 23), (23, 58)], {'bandwidth': 47}), (6, 5): ([(41, 52), (52, 97)], {'bandwidth': 17}), (6, 0): ([(41, 75), (75, 82), (82, 48)], {'bandwidth': 7})}",581,988,559,0.5657894736842105,8,0
13,arrival,166,11,True,True,"{3: (27, {'cpu': 2, 'gpu': 3, 'storage': 5}), 0: (69, {'cpu': 15, 'gpu': 18, 'storage': 9}), 4: (13, {'cpu': 2, 'gpu': 17, 'storage': 20}), 5: (18, {'cpu': 6, 'gpu': 2, 'storage': 1}), 1: (71, {'cpu': 3, 'gpu': 12, 'storage': 11}), 6: (14, {'cpu': 1, 'gpu': 17, 'storage': 10}), 2: (76, {'cpu': 19, 'gpu': 13, 'storage': 14}), 8: (17, {'cpu': 5, 'gpu': 18, 'storage': 18}), 7: (60, {'cpu': 7, 'gpu': 14, 'storage': 10})}","{(5, 4): ([(13, 69), (69, 18)], {'bandwidth': 41}), (1, 4): ([(13, 71)], {'bandwidth': 40}), (1, 0): ([(69, 13), (13, 71)], {'bandwidth': 23}), (1, 3): ([(27, 13), (13, 71)], {'bandwidth': 21}), (1, 5): ([(18, 61), (61, 71)], {'bandwidth': 20}), (6, 1): ([(14, 25), (25, 82), (82, 71)], {'bandwidth': 24}), (6, 0): ([(14, 19), (19, 6), (6, 69)], {'bandwidth': 16}), (6, 4): ([(13, 14)], {'bandwidth': 14}), (2, 5): ([(18, 76)], {'bandwidth': 40}), (2, 6): ([(14, 13), (13, 27), (27, 76)], {'bandwidth': 35}), (8, 6): ([(14, 40), (40, 98), (98, 17)], {'bandwidth': 47}), (8, 5): ([(17, 53), (53, 77), (77, 24), (24, 18)], {'bandwidth': 38}), (8, 2): ([(17, 76)], {'bandwidth': 6}), (7, 2): ([(60, 67), (67, 92), (92, 76)], {'bandwidth': 39}), (7, 1): ([(60, 39), (39, 47), (47, 71)], {'bandwidth': 32}), (7, 8): ([(17, 53), (53, 1), (1, 20), (20, 39), (39, 60)], {'bandwidth': 15}), (7, 3): ([(27, 13), (13, 60)], {'bandwidth': 7})}",306,1402,730,0.5206847360912982,9,0
