event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,11,0,True,True,"{1: (55, {'cpu': 4, 'gpu': 15, 'storage': 18}), 0: (45, {'cpu': 18, 'gpu': 7, 'storage': 13}), 5: (22, {'cpu': 4, 'gpu': 11, 'storage': 4}), 3: (33, {'cpu': 18, 'gpu': 9, 'storage': 20}), 4: (68, {'cpu': 16, 'gpu': 0, 'storage': 19}), 6: (91, {'cpu': 14, 'gpu': 4, 'storage': 10}), 2: (14, {'cpu': 14, 'gpu': 16, 'storage': 15})}","{(0, 1): ([(45, 55)], {'bandwidth': 16}), (3, 5): ([(22, 33)], {'bandwidth': 49}), (4, 1): ([(55, 29), (29, 68)], {'bandwidth': 48}), (4, 3): ([(33, 68)], {'bandwidth': 47}), (4, 5): ([(22, 33), (33, 68)], {'bandwidth': 1}), (6, 5): ([(22, 91)], {'bandwidth': 36}), (6, 0): ([(45, 33), (33, 91)], {'bandwidth': 26}), (2, 1): ([(14, 35), (35, 55)], {'bandwidth': 27})}",29,601,499,0.8302828618968386,1,0
1,arrival,15,1,True,True,"{7: (75, {'cpu': 13, 'gpu': 0, 'storage': 4}), 1: (79, {'cpu': 17, 'gpu': 2, 'storage': 15}), 2: (89, {'cpu': 4, 'gpu': 9, 'storage': 10}), 6: (76, {'cpu': 17, 'gpu': 9, 'storage': 1}), 5: (16, {'cpu': 19, 'gpu': 4, 'storage': 6}), 0: (22, {'cpu': 15, 'gpu': 4, 'storage': 17}), 3: (53, {'cpu': 10, 'gpu': 4, 'storage': 17}), 4: (99, {'cpu': 12, 'gpu': 15, 'storage': 4}), 8: (68, {'cpu': 10, 'gpu': 8, 'storage': 4})}","{(2, 1): ([(79, 89)], {'bandwidth': 36}), (6, 7): ([(75, 76)], {'bandwidth': 47}), (6, 2): ([(76, 89)], {'bandwidth': 43}), (6, 1): ([(76, 55), (55, 79)], {'bandwidth': 25}), (5, 2): ([(16, 7), (7, 89)], {'bandwidth': 43}), (0, 2): ([(22, 89)], {'bandwidth': 50}), (0, 7): ([(22, 34), (34, 75)], {'bandwidth': 30}), (0, 5): ([(16, 53), (53, 22)], {'bandwidth': 3}), (3, 0): ([(22, 53)], {'bandwidth': 44}), (3, 5): ([(16, 53)], {'bandwidth': 44}), (3, 6): ([(53, 4), (4, 46), (46, 76)], {'bandwidth': 6}), (4, 5): ([(16, 42), (42, 99)], {'bandwidth': 45}), (4, 0): ([(22, 17), (17, 99)], {'bandwidth': 0}), (8, 5): ([(16, 75), (75, 68)], {'bandwidth': 26}), (8, 4): ([(68, 99)], {'bandwidth': 24}), (8, 6): ([(68, 38), (38, 76)], {'bandwidth': 23}), (8, 3): ([(53, 14), (14, 68)], {'bandwidth': 18})}",852,982,757,0.7708757637474541,2,0
2,arrival,37,2,True,True,"{1: (20, {'cpu': 16, 'gpu': 4, 'storage': 1}), 4: (59, {'cpu': 9, 'gpu': 0, 'storage': 0}), 3: (33, {'cpu': 9, 'gpu': 6, 'storage': 14}), 0: (91, {'cpu': 10, 'gpu': 13, 'storage': 5}), 2: (6, {'cpu': 18, 'gpu': 8, 'storage': 1})}","{(4, 1): ([(20, 59)], {'bandwidth': 48}), (0, 3): ([(33, 91)], {'bandwidth': 14}), (0, 1): ([(20, 33), (33, 91)], {'bandwidth': 6}), (2, 0): ([(6, 91)], {'bandwidth': 27}), (2, 3): ([(6, 33)], {'bandwidth': 3}), (2, 4): ([(6, 54), (54, 59)], {'bandwidth': 0})}",547,218,212,0.9724770642201835,3,0
3,leave,40,0,True,True,"{}","{}",29,0,0,0,2,0
4,arrival,50,3,True,True,"{1: (55, {'cpu': 17, 'gpu': 16, 'storage': 0}), 4: (45, {'cpu': 0, 'gpu': 17, 'storage': 8}), 0: (3, {'cpu': 6, 'gpu': 18, 'storage': 0}), 2: (22, {'cpu': 12, 'gpu': 9, 'storage': 10}), 3: (33, {'cpu': 19, 'gpu': 1, 'storage': 14})}","{(4, 1): ([(45, 55)], {'bandwidth': 33}), (0, 4): ([(3, 45)], {'bandwidth': 39}), (0, 1): ([(3, 55)], {'bandwidth': 26}), (2, 0): ([(3, 60), (60, 22)], {'bandwidth': 38}), (2, 4): ([(22, 33), (33, 45)], {'bandwidth': 37}), (2, 1): ([(22, 27), (27, 55)], {'bandwidth': 5}), (3, 1): ([(33, 45), (45, 55)], {'bandwidth': 24})}",112,453,349,0.7704194260485652,3,0
5,arrival,63,4,True,True,"{1: (68, {'cpu': 16, 'gpu': 4, 'storage': 2}), 0: (14, {'cpu': 19, 'gpu': 2, 'storage': 2})}","{(0, 1): ([(14, 68)], {'bandwidth': 29})}",83,74,74,1.0,4,0
6,arrival,69,5,True,True,"{4: (91, {'cpu': 12, 'gpu': 5, 'storage': 6}), 0: (57, {'cpu': 16, 'gpu': 9, 'storage': 4}), 2: (13, {'cpu': 19, 'gpu': 1, 'storage': 5}), 5: (22, {'cpu': 1, 'gpu': 13, 'storage': 7}), 1: (33, {'cpu': 2, 'gpu': 1, 'storage': 13}), 3: (14, {'cpu': 20, 'gpu': 4, 'storage': 19})}","{(0, 4): ([(57, 91)], {'bandwidth': 35}), (2, 4): ([(13, 91)], {'bandwidth': 37}), (5, 2): ([(13, 27), (27, 22)], {'bandwidth': 33}), (5, 0): ([(22, 17), (17, 57)], {'bandwidth': 19}), (1, 4): ([(33, 91)], {'bandwidth': 30}), (3, 0): ([(14, 2), (2, 57)], {'bandwidth': 32}), (3, 2): ([(13, 91), (91, 14)], {'bandwidth': 12})}",4,451,355,0.7871396895787139,5,0
7,leave,73,5,True,True,"{}","{}",4,0,0,0,4,0
8,arrival,81,6,True,True,"{6: (13, {'cpu': 18, 'gpu': 1, 'storage': 20}), 1: (94, {'cpu': 9, 'gpu': 14, 'storage': 4}), 2: (4, {'cpu': 14, 'gpu': 4, 'storage': 0}), 3: (24, {'cpu': 13, 'gpu': 18, 'storage': 17}), 7: (91, {'cpu': 20, 'gpu': 6, 'storage': 0}), 4: (99, {'cpu': 14, 'gpu': 5, 'storage': 6}), 5: (68, {'cpu': 19, 'gpu': 2, 'storage': 3}), 0: (33, {'cpu': 16, 'gpu': 13, 'storage': 9})}","{(2, 6): ([(4, 94), (94, 13)], {'bandwidth': 49}), (2, 1): ([(4, 94)], {'bandwidth': 27}), (3, 6): ([(13, 30), (30, 24)], {'bandwidth': 45}), (3, 2): ([(4, 24)], {'bandwidth': 15}), (7, 1): ([(91, 22), (22, 94)], {'bandwidth': 31}), (7, 2): ([(4, 24), (24, 91)], {'bandwidth': 23}), (4, 7): ([(91, 99)], {'bandwidth': 28}), (4, 3): ([(24, 99)], {'bandwidth': 20}), (4, 2): ([(4, 24), (24, 99)], {'bandwidth': 1}), (5, 4): ([(68, 99)], {'bandwidth': 26}), (5, 2): ([(4, 20), (20, 68)], {'bandwidth': 14}), (5, 3): ([(24, 68)], {'bandwidth': 12}), (5, 7): ([(68, 14), (14, 91)], {'bandwidth': 11}), (0, 6): ([(13, 91), (91, 33)], {'bandwidth': 9}), (0, 3): ([(24, 39), (39, 33)], {'bandwidth': 8}), (0, 7): ([(33, 91)], {'bandwidth': 5})}",303,760,569,0.7486842105263158,5,0
9,arrival,96,7,True,True,"{4: (11, {'cpu': 5, 'gpu': 3, 'storage': 4}), 3: (36, {'cpu': 2, 'gpu': 18, 'storage': 4}), 8: (57, {'cpu': 5, 'gpu': 4, 'storage': 9}), 1: (2, {'cpu': 12, 'gpu': 15, 'storage': 11}), 7: (78, {'cpu': 5, 'gpu': 1, 'storage': 20}), 9: (75, {'cpu': 17, 'gpu': 6, 'storage': 4}), 0: (14, {'cpu': 9, 'gpu': 6, 'storage': 19}), 6: (55, {'cpu': 16, 'gpu': 7, 'storage': 13}), 2: (68, {'cpu': 16, 'gpu': 3, 'storage': 16}), 5: (22, {'cpu': 12, 'gpu': 15, 'storage': 7})}","{(8, 3): ([(36, 17), (17, 57)], {'bandwidth': 20}), (8, 4): ([(11, 60), (60, 57)], {'bandwidth': 13}), (1, 3): ([(2, 27), (27, 36)], {'bandwidth': 29}), (1, 4): ([(2, 45), (45, 11)], {'bandwidth': 25}), (7, 1): ([(2, 45), (45, 78)], {'bandwidth': 22}), (7, 3): ([(36, 11), (11, 78)], {'bandwidth': 10}), (7, 8): ([(57, 81), (81, 78)], {'bandwidth': 1}), (9, 8): ([(57, 19), (19, 75)], {'bandwidth': 50}), (9, 7): ([(75, 58), (58, 78)], {'bandwidth': 33}), (0, 7): ([(14, 81), (81, 78)], {'bandwidth': 42}), (0, 9): ([(14, 75)], {'bandwidth': 35}), (0, 1): ([(2, 14)], {'bandwidth': 11}), (6, 7): ([(55, 27), (27, 31), (31, 78)], {'bandwidth': 45}), (6, 9): ([(55, 28), (28, 75)], {'bandwidth': 27}), (2, 0): ([(14, 32), (32, 68)], {'bandwidth': 38}), (2, 1): ([(2, 21), (21, 68)], {'bandwidth': 33}), (2, 6): ([(55, 29), (29, 68)], {'bandwidth': 32}), (5, 0): ([(14, 91), (91, 22)], {'bandwidth': 26}), (5, 8): ([(22, 17), (17, 57)], {'bandwidth': 16}), (5, 9): ([(22, 34), (34, 75)], {'bandwidth': 16}), (5, 7): ([(22, 26), (26, 78)], {'bandwidth': 8})}",298,1347,816,0.6057906458797327,6,0
