event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,10,0,True,True,"{4: (74, {'cpu': 18, 'gpu': 8, 'ram': 1}), 3: (74, {'cpu': 3, 'gpu': 11, 'ram': 18}), 0: (74, {'cpu': 5, 'gpu': 2, 'ram': 0}), 1: (74, {'cpu': 6, 'gpu': 16, 'ram': 10}), 2: (74, {'cpu': 8, 'gpu': 2, 'ram': 20})}","{(3, 4): ([(74, 74)], {'bandwidth': 47}), (0, 4): ([(74, 74)], {'bandwidth': 43}), (0, 3): ([(74, 74)], {'bandwidth': 37}), (1, 3): ([(74, 74)], {'bandwidth': 24}), (1, 4): ([(74, 74)], {'bandwidth': 16}), (2, 4): ([(74, 74)], {'bandwidth': 23})}",128,318,2.484375,1,0
1,arrival,20,1,True,True,"{2: (4, {'cpu': 10, 'gpu': 10, 'ram': 15}), 3: (4, {'cpu': 2, 'gpu': 6, 'ram': 17}), 0: (4, {'cpu': 3, 'gpu': 16, 'ram': 10}), 1: (4, {'cpu': 13, 'gpu': 14, 'ram': 12})}","{(3, 2): ([(4, 4)], {'bandwidth': 38}), (0, 2): ([(4, 4)], {'bandwidth': 39}), (0, 3): ([(4, 4)], {'bandwidth': 19}), (1, 3): ([(4, 4)], {'bandwidth': 33}), (1, 2): ([(4, 4)], {'bandwidth': 28})}",128,285,2.2265625,2,0
2,arrival,31,2,True,True,"{1: (54, {'cpu': 0, 'gpu': 3, 'ram': 12}), 0: (54, {'cpu': 12, 'gpu': 4, 'ram': 14})}","{(0, 1): ([(54, 54)], {'bandwidth': 38})}",45,83,1.8444444444444446,3,0
3,arrival,43,3,True,True,"{1: (88, {'cpu': 7, 'gpu': 13, 'ram': 17}), 0: (88, {'cpu': 0, 'gpu': 6, 'ram': 2}), 2: (88, {'cpu': 18, 'gpu': 4, 'ram': 10})}","{(0, 1): ([(88, 88)], {'bandwidth': 50}), (2, 1): ([(88, 88)], {'bandwidth': 30})}",77,157,2.038961038961039,4,0
4,arrival,53,4,True,True,"{2: (70, {'cpu': 7, 'gpu': 7, 'ram': 9}), 0: (70, {'cpu': 1, 'gpu': 5, 'ram': 17}), 3: (70, {'cpu': 15, 'gpu': 0, 'ram': 4}), 1: (70, {'cpu': 5, 'gpu': 19, 'ram': 8})}","{(0, 2): ([(70, 70)], {'bandwidth': 40}), (3, 2): ([(70, 70)], {'bandwidth': 44}), (1, 0): ([(70, 70)], {'bandwidth': 22}), (1, 2): ([(70, 70)], {'bandwidth': 4})}",97,207,2.134020618556701,5,0
5,arrival,65,5,True,True,"{0: (42, {'cpu': 16, 'gpu': 4, 'ram': 19}), 1: (42, {'cpu': 10, 'gpu': 14, 'ram': 11}), 2: (42, {'cpu': 19, 'gpu': 17, 'ram': 19}), 3: (42, {'cpu': 11, 'gpu': 17, 'ram': 14})}","{(1, 0): ([(42, 42)], {'bandwidth': 22}), (2, 0): ([(42, 42)], {'bandwidth': 20}), (3, 1): ([(42, 42)], {'bandwidth': 12})}",171,225,1.3157894736842106,6,0
6,arrival,81,6,True,True,"{2: (16, {'cpu': 8, 'gpu': 6, 'ram': 5}), 3: (16, {'cpu': 3, 'gpu': 3, 'ram': 16}), 0: (16, {'cpu': 11, 'gpu': 11, 'ram': 12}), 4: (16, {'cpu': 15, 'gpu': 13, 'ram': 9}), 1: (16, {'cpu': 3, 'gpu': 2, 'ram': 19})}","{(3, 2): ([(16, 16)], {'bandwidth': 24}), (0, 2): ([(16, 16)], {'bandwidth': 34}), (0, 3): ([(16, 16)], {'bandwidth': 28}), (4, 2): ([(16, 16)], {'bandwidth': 46}), (4, 0): ([(16, 16)], {'bandwidth': 28}), (4, 3): ([(16, 16)], {'bandwidth': 6}), (1, 3): ([(16, 16)], {'bandwidth': 49}), (1, 2): ([(16, 16)], {'bandwidth': 2})}",136,353,2.5955882352941178,7,0
7,arrival,96,7,True,True,"{0: (8, {'cpu': 3, 'gpu': 8, 'ram': 13}), 4: (8, {'cpu': 13, 'gpu': 13, 'ram': 19}), 2: (8, {'cpu': 17, 'gpu': 6, 'ram': 5}), 7: (8, {'cpu': 19, 'gpu': 6, 'ram': 4}), 8: (8, {'cpu': 18, 'gpu': 6, 'ram': 20}), 5: (8, {'cpu': 15, 'gpu': 2, 'ram': 13}), 3: (8, {'cpu': 7, 'gpu': 14, 'ram': 4}), 6: (64, {'cpu': 6, 'gpu': 0, 'ram': 20}), 1: (50, {'cpu': 1, 'gpu': 2, 'ram': 19})}","{(4, 0): ([(8, 8)], {'bandwidth': 1}), (2, 0): ([(8, 8)], {'bandwidth': 34}), (2, 4): ([(8, 8)], {'bandwidth': 23}), (7, 4): ([(8, 8)], {'bandwidth': 46}), (7, 2): ([(8, 8)], {'bandwidth': 31}), (7, 0): ([(8, 8)], {'bandwidth': 2}), (8, 0): ([(8, 8)], {'bandwidth': 39}), (8, 2): ([(8, 8)], {'bandwidth': 28}), (8, 4): ([(8, 8)], {'bandwidth': 23}), (5, 8): ([(8, 8)], {'bandwidth': 34}), (5, 0): ([(8, 8)], {'bandwidth': 27}), (5, 7): ([(8, 8)], {'bandwidth': 16}), (5, 2): ([(8, 8)], {'bandwidth': 10}), (5, 4): ([(8, 8)], {'bandwidth': 9}), (3, 4): ([(8, 8)], {'bandwidth': 36}), (3, 8): ([(8, 8)], {'bandwidth': 34}), (3, 0): ([(8, 8)], {'bandwidth': 32}), (3, 2): ([(8, 8)], {'bandwidth': 13}), (6, 7): ([(8, 64)], {'bandwidth': 45}), (6, 5): ([(8, 64)], {'bandwidth': 28}), (6, 0): ([(8, 25), (25, 64)], {'bandwidth': 13}), (1, 0): ([(8, 50)], {'bandwidth': 35}), (1, 4): ([(8, 93), (93, 50)], {'bandwidth': 28}), (1, 6): ([(50, 69), (69, 64)], {'bandwidth': 18}), (1, 5): ([(8, 50)], {'bandwidth': 4})}",503,882,1.753479125248509,8,0
8,arrival,108,8,True,True,"{2: (11, {'cpu': 17, 'gpu': 7, 'ram': 7}), 6: (11, {'cpu': 14, 'gpu': 2, 'ram': 15}), 3: (11, {'cpu': 4, 'gpu': 5, 'ram': 4}), 5: (11, {'cpu': 7, 'gpu': 3, 'ram': 4}), 4: (11, {'cpu': 16, 'gpu': 17, 'ram': 9}), 1: (74, {'cpu': 6, 'gpu': 10, 'ram': 4}), 0: (11, {'cpu': 15, 'gpu': 19, 'ram': 5})}","{(6, 2): ([(11, 11)], {'bandwidth': 49}), (3, 2): ([(11, 11)], {'bandwidth': 23}), (3, 6): ([(11, 11)], {'bandwidth': 6}), (5, 6): ([(11, 11)], {'bandwidth': 48}), (5, 2): ([(11, 11)], {'bandwidth': 8}), (4, 3): ([(11, 11)], {'bandwidth': 38}), (1, 2): ([(11, 74)], {'bandwidth': 22}), (0, 2): ([(11, 11)], {'bandwidth': 24}), (0, 6): ([(11, 11)], {'bandwidth': 18}), (0, 3): ([(11, 11)], {'bandwidth': 4})}",212,430,2.0283018867924527,9,0
9,arrival,128,9,True,True,"{4: (68, {'cpu': 3, 'gpu': 18, 'ram': 7}), 3: (68, {'cpu': 16, 'gpu': 9, 'ram': 11}), 2: (68, {'cpu': 19, 'gpu': 0, 'ram': 2}), 1: (68, {'cpu': 11, 'gpu': 5, 'ram': 4}), 0: (68, {'cpu': 4, 'gpu': 6, 'ram': 12})}","{(3, 4): ([(68, 68)], {'bandwidth': 30}), (2, 3): ([(68, 68)], {'bandwidth': 43}), (1, 4): ([(68, 68)], {'bandwidth': 50}), (0, 2): ([(68, 68)], {'bandwidth': 29}), (0, 3): ([(68, 68)], {'bandwidth': 20}), (0, 4): ([(68, 68)], {'bandwidth': 10})}",127,309,2.4330708661417324,10,0
