event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,4,0,True,True,"{8: (79, {'cpu': 3, 'gpu': 14, 'ram': 1}), 5: (79, {'cpu': 19, 'gpu': 17, 'ram': 11}), 7: (79, {'cpu': 13, 'gpu': 18, 'ram': 3}), 4: (79, {'cpu': 0, 'gpu': 12, 'ram': 4}), 1: (79, {'cpu': 20, 'gpu': 15, 'ram': 1}), 2: (79, {'cpu': 13, 'gpu': 19, 'ram': 16}), 6: (10, {'cpu': 0, 'gpu': 12, 'ram': 8}), 0: (10, {'cpu': 14, 'gpu': 4, 'ram': 4}), 3: (10, {'cpu': 20, 'gpu': 4, 'ram': 20})}","{(5, 8): ([(79, 79)], {'bandwidth': 30}), (7, 5): ([(79, 79)], {'bandwidth': 47}), (7, 8): ([(79, 79)], {'bandwidth': 34}), (4, 5): ([(79, 79)], {'bandwidth': 34}), (4, 8): ([(79, 79)], {'bandwidth': 27}), (1, 8): ([(79, 79)], {'bandwidth': 50}), (1, 5): ([(79, 79)], {'bandwidth': 28}), (2, 7): ([(79, 79)], {'bandwidth': 46}), (2, 4): ([(79, 79)], {'bandwidth': 22}), (2, 8): ([(79, 79)], {'bandwidth': 17}), (6, 4): ([(10, 79)], {'bandwidth': 25}), (6, 5): ([(10, 79)], {'bandwidth': 17}), (6, 7): ([(10, 79)], {'bandwidth': 11}), (0, 1): ([(10, 79)], {'bandwidth': 22}), (0, 2): ([(10, 161), (161, 79)], {'bandwidth': 22}), (0, 4): ([(10, 161), (161, 79)], {'bandwidth': 17}), (0, 7): ([(10, 79)], {'bandwidth': 2}), (3, 5): ([(10, 5), (5, 50), (50, 79)], {'bandwidth': 28}), (3, 6): ([(10, 10)], {'bandwidth': 19}), (3, 1): ([(10, 161), (161, 79)], {'bandwidth': 17}), (3, 2): ([(10, 5), (5, 50), (50, 79)], {'bandwidth': 14})}",600,814,1.3566666666666667,1,0
1,arrival,9,1,True,True,"{2: (146, {'cpu': 3, 'gpu': 19, 'ram': 5}), 3: (63, {'cpu': 15, 'gpu': 0, 'ram': 20}), 1: (63, {'cpu': 1, 'gpu': 9, 'ram': 13}), 0: (63, {'cpu': 5, 'gpu': 8, 'ram': 17})}","{(3, 2): ([(63, 146)], {'bandwidth': 42}), (1, 3): ([(63, 63)], {'bandwidth': 27}), (0, 3): ([(63, 63)], {'bandwidth': 28}), (0, 1): ([(63, 63)], {'bandwidth': 4})}",157,216,1.375796178343949,2,0
2,arrival,12,2,True,True,"{4: (35, {'cpu': 17, 'gpu': 16, 'ram': 15}), 2: (169, {'cpu': 11, 'gpu': 7, 'ram': 19}), 5: (35, {'cpu': 3, 'gpu': 4, 'ram': 12}), 7: (169, {'cpu': 18, 'gpu': 0, 'ram': 12}), 0: (169, {'cpu': 8, 'gpu': 2, 'ram': 3}), 3: (169, {'cpu': 0, 'gpu': 19, 'ram': 11}), 6: (169, {'cpu': 19, 'gpu': 8, 'ram': 20}), 1: (169, {'cpu': 20, 'gpu': 18, 'ram': 10})}","{(2, 4): ([(35, 169)], {'bandwidth': 46}), (5, 4): ([(35, 35)], {'bandwidth': 38}), (5, 2): ([(35, 169)], {'bandwidth': 36}), (7, 2): ([(169, 169)], {'bandwidth': 35}), (0, 5): ([(35, 23), (23, 153), (153, 169)], {'bandwidth': 21}), (0, 7): ([(169, 169)], {'bandwidth': 20}), (3, 0): ([(169, 169)], {'bandwidth': 6}), (6, 5): ([(35, 29), (29, 134), (134, 169)], {'bandwidth': 38}), (6, 7): ([(169, 169)], {'bandwidth': 20}), (1, 6): ([(169, 169)], {'bandwidth': 3})}",531,535,1.0075329566854991,3,0
3,arrival,16,3,True,True,"{2: (62, {'cpu': 5, 'gpu': 8, 'ram': 17}), 0: (39, {'cpu': 17, 'gpu': 17, 'ram': 11}), 1: (39, {'cpu': 1, 'gpu': 20, 'ram': 7})}","{(0, 2): ([(39, 62)], {'bandwidth': 46}), (1, 0): ([(39, 39)], {'bandwidth': 35})}",149,184,1.2348993288590604,4,0
4,arrival,21,4,True,True,"{2: (74, {'cpu': 1, 'gpu': 15, 'ram': 8}), 1: (74, {'cpu': 17, 'gpu': 1, 'ram': 19}), 0: (74, {'cpu': 14, 'gpu': 11, 'ram': 16})}","{(0, 2): ([(74, 74)], {'bandwidth': 31}), (0, 1): ([(74, 74)], {'bandwidth': 15})}",102,148,1.4509803921568627,5,0
5,arrival,24,5,True,True,"{3: (159, {'cpu': 18, 'gpu': 19, 'ram': 9}), 0: (14, {'cpu': 16, 'gpu': 17, 'ram': 14}), 1: (14, {'cpu': 4, 'gpu': 15, 'ram': 13}), 2: (14, {'cpu': 14, 'gpu': 17, 'ram': 7})}","{(0, 3): ([(14, 159)], {'bandwidth': 35}), (1, 0): ([(14, 14)], {'bandwidth': 41}), (1, 3): ([(14, 159)], {'bandwidth': 32}), (2, 1): ([(14, 14)], {'bandwidth': 6})}",230,277,1.2043478260869565,6,0
6,arrival,28,6,True,True,"{6: (103, {'cpu': 12, 'gpu': 6, 'ram': 20}), 8: (103, {'cpu': 13, 'gpu': 17, 'ram': 4}), 4: (103, {'cpu': 20, 'gpu': 13, 'ram': 18}), 7: (103, {'cpu': 20, 'gpu': 16, 'ram': 9}), 2: (103, {'cpu': 7, 'gpu': 0, 'ram': 11}), 3: (36, {'cpu': 17, 'gpu': 11, 'ram': 16}), 9: (69, {'cpu': 11, 'gpu': 19, 'ram': 17}), 5: (142, {'cpu': 5, 'gpu': 19, 'ram': 16}), 1: (103, {'cpu': 13, 'gpu': 13, 'ram': 10}), 0: (14, {'cpu': 12, 'gpu': 16, 'ram': 1})}","{(8, 6): ([(103, 103)], {'bandwidth': 29}), (4, 8): ([(103, 103)], {'bandwidth': 45}), (4, 6): ([(103, 103)], {'bandwidth': 39}), (7, 6): ([(103, 103)], {'bandwidth': 41}), (2, 4): ([(103, 103)], {'bandwidth': 22}), (2, 7): ([(103, 103)], {'bandwidth': 22}), (3, 6): ([(36, 103)], {'bandwidth': 50}), (3, 8): ([(36, 14), (14, 103)], {'bandwidth': 33}), (3, 7): ([(36, 14), (14, 103)], {'bandwidth': 32}), (9, 2): ([(69, 103)], {'bandwidth': 31}), (9, 6): ([(69, 103)], {'bandwidth': 30}), (9, 8): ([(69, 61), (61, 103)], {'bandwidth': 28}), (9, 3): ([(36, 91), (91, 69)], {'bandwidth': 9}), (9, 4): ([(69, 103)], {'bandwidth': 4}), (5, 3): ([(36, 25), (25, 11), (11, 142)], {'bandwidth': 44}), (5, 4): ([(103, 142)], {'bandwidth': 44}), (5, 7): ([(103, 142)], {'bandwidth': 23}), (5, 8): ([(103, 21), (21, 142)], {'bandwidth': 16}), (5, 2): ([(103, 142)], {'bandwidth': 13}), (1, 9): ([(69, 61), (61, 103)], {'bandwidth': 42}), (1, 2): ([(103, 103)], {'bandwidth': 35}), (1, 7): ([(103, 103)], {'bandwidth': 32}), (1, 8): ([(103, 103)], {'bandwidth': 0}), (0, 2): ([(14, 17), (17, 40), (40, 103)], {'bandwidth': 36}), (0, 1): ([(14, 103)], {'bandwidth': 22}), (0, 4): ([(14, 17), (17, 40), (40, 103)], {'bandwidth': 21}), (0, 7): ([(14, 17), (17, 69), (69, 103)], {'bandwidth': 8})}",1246,1133,0.9093097913322632,7,0
7,arrival,32,7,True,True,"{0: (114, {'cpu': 14, 'gpu': 6, 'ram': 6}), 4: (114, {'cpu': 4, 'gpu': 19, 'ram': 13}), 5: (114, {'cpu': 18, 'gpu': 7, 'ram': 5}), 2: (114, {'cpu': 17, 'gpu': 18, 'ram': 2}), 1: (114, {'cpu': 15, 'gpu': 18, 'ram': 1}), 3: (114, {'cpu': 8, 'gpu': 12, 'ram': 20})}","{(4, 0): ([(114, 114)], {'bandwidth': 45}), (5, 0): ([(114, 114)], {'bandwidth': 26}), (5, 4): ([(114, 114)], {'bandwidth': 16}), (2, 5): ([(114, 114)], {'bandwidth': 36}), (1, 5): ([(114, 114)], {'bandwidth': 21}), (1, 2): ([(114, 114)], {'bandwidth': 12}), (1, 0): ([(114, 114)], {'bandwidth': 2}), (3, 4): ([(114, 114)], {'bandwidth': 41}), (3, 2): ([(114, 114)], {'bandwidth': 10})}",203,412,2.0295566502463056,8,0
8,arrival,32,8,True,True,"{0: (99, {'cpu': 12, 'gpu': 9, 'ram': 3}), 4: (99, {'cpu': 3, 'gpu': 6, 'ram': 18}), 1: (99, {'cpu': 11, 'gpu': 4, 'ram': 15}), 2: (99, {'cpu': 7, 'gpu': 1, 'ram': 10}), 3: (99, {'cpu': 11, 'gpu': 3, 'ram': 3}), 5: (99, {'cpu': 11, 'gpu': 18, 'ram': 12})}","{(4, 0): ([(99, 99)], {'bandwidth': 50}), (1, 0): ([(99, 99)], {'bandwidth': 15}), (2, 4): ([(99, 99)], {'bandwidth': 48}), (2, 1): ([(99, 99)], {'bandwidth': 27}), (3, 2): ([(99, 99)], {'bandwidth': 22}), (5, 3): ([(99, 99)], {'bandwidth': 25}), (5, 2): ([(99, 99)], {'bandwidth': 18})}",157,362,2.305732484076433,9,0
9,arrival,37,9,True,True,"{7: (145, {'cpu': 3, 'gpu': 5, 'ram': 1}), 6: (45, {'cpu': 4, 'gpu': 9, 'ram': 2}), 5: (45, {'cpu': 3, 'gpu': 3, 'ram': 16}), 1: (45, {'cpu': 4, 'gpu': 13, 'ram': 19}), 4: (45, {'cpu': 10, 'gpu': 17, 'ram': 19}), 3: (45, {'cpu': 17, 'gpu': 9, 'ram': 6}), 0: (45, {'cpu': 13, 'gpu': 15, 'ram': 16}), 8: (45, {'cpu': 18, 'gpu': 4, 'ram': 17}), 2: (38, {'cpu': 15, 'gpu': 15, 'ram': 1})}","{(5, 6): ([(45, 45)], {'bandwidth': 31}), (5, 7): ([(45, 145)], {'bandwidth': 23}), (1, 6): ([(45, 45)], {'bandwidth': 46}), (4, 7): ([(45, 145)], {'bandwidth': 13}), (4, 5): ([(45, 45)], {'bandwidth': 12}), (4, 1): ([(45, 45)], {'bandwidth': 10}), (3, 4): ([(45, 45)], {'bandwidth': 27}), (3, 1): ([(45, 45)], {'bandwidth': 25}), (0, 3): ([(45, 45)], {'bandwidth': 34}), (8, 0): ([(45, 45)], {'bandwidth': 20}), (8, 1): ([(45, 45)], {'bandwidth': 13}), (8, 6): ([(45, 45)], {'bandwidth': 13}), (2, 6): ([(38, 29), (29, 45)], {'bandwidth': 28}), (2, 0): ([(38, 29), (29, 45)], {'bandwidth': 0})}",366,569,1.5546448087431695,10,0
10,arrival,44,10,True,True,"{0: (6, {'cpu': 1, 'gpu': 8, 'ram': 10}), 1: (6, {'cpu': 3, 'gpu': 1, 'ram': 1}), 2: (6, {'cpu': 5, 'gpu': 2, 'ram': 3}), 3: (6, {'cpu': 11, 'gpu': 13, 'ram': 20})}","{(1, 0): ([(6, 6)], {'bandwidth': 37}), (2, 1): ([(6, 6)], {'bandwidth': 48}), (3, 2): ([(6, 6)], {'bandwidth': 38})}",78,201,2.576923076923077,11,0
11,arrival,51,11,True,True,"{1: (82, {'cpu': 17, 'gpu': 15, 'ram': 2}), 0: (82, {'cpu': 15, 'gpu': 13, 'ram': 19})}","{(0, 1): ([(82, 82)], {'bandwidth': 28})}",81,109,1.345679012345679,12,0
12,arrival,54,12,True,True,"{1: (75, {'cpu': 7, 'gpu': 14, 'ram': 19}), 3: (75, {'cpu': 7, 'gpu': 2, 'ram': 15}), 2: (75, {'cpu': 5, 'gpu': 12, 'ram': 19}), 0: (75, {'cpu': 2, 'gpu': 14, 'ram': 18})}","{(3, 1): ([(75, 75)], {'bandwidth': 37}), (2, 3): ([(75, 75)], {'bandwidth': 9}), (0, 2): ([(75, 75)], {'bandwidth': 21})}",134,201,1.5,13,0
13,arrival,59,13,True,True,"{0: (73, {'cpu': 18, 'gpu': 5, 'ram': 13}), 1: (73, {'cpu': 18, 'gpu': 8, 'ram': 6}), 2: (73, {'cpu': 19, 'gpu': 1, 'ram': 17}), 5: (73, {'cpu': 4, 'gpu': 8, 'ram': 3}), 4: (73, {'cpu': 20, 'gpu': 1, 'ram': 20}), 3: (73, {'cpu': 16, 'gpu': 1, 'ram': 1})}","{(1, 0): ([(73, 73)], {'bandwidth': 28}), (2, 1): ([(73, 73)], {'bandwidth': 36}), (2, 0): ([(73, 73)], {'bandwidth': 12}), (5, 2): ([(73, 73)], {'bandwidth': 49}), (4, 5): ([(73, 73)], {'bandwidth': 41}), (4, 1): ([(73, 73)], {'bandwidth': 35}), (3, 4): ([(73, 73)], {'bandwidth': 12}), (3, 5): ([(73, 73)], {'bandwidth': 11})}",179,403,2.2513966480446927,14,0
14,arrival,68,14,True,True,"{0: (112, {'cpu': 5, 'gpu': 13, 'ram': 10}), 8: (112, {'cpu': 11, 'gpu': 19, 'ram': 15}), 3: (37, {'cpu': 17, 'gpu': 13, 'ram': 6}), 5: (112, {'cpu': 19, 'gpu': 4, 'ram': 1}), 7: (112, {'cpu': 11, 'gpu': 12, 'ram': 2}), 6: (112, {'cpu': 7, 'gpu': 13, 'ram': 2}), 2: (112, {'cpu': 5, 'gpu': 4, 'ram': 14}), 4: (112, {'cpu': 5, 'gpu': 7, 'ram': 5}), 1: (39, {'cpu': 19, 'gpu': 2, 'ram': 19})}","{(8, 0): ([(112, 112)], {'bandwidth': 15}), (3, 8): ([(37, 112)], {'bandwidth': 37}), (3, 0): ([(37, 112)], {'bandwidth': 36}), (5, 8): ([(112, 112)], {'bandwidth': 37}), (5, 3): ([(37, 34), (34, 112)], {'bandwidth': 26}), (5, 0): ([(112, 112)], {'bandwidth': 21}), (7, 8): ([(112, 112)], {'bandwidth': 49}), (7, 5): ([(112, 112)], {'bandwidth': 47}), (7, 0): ([(112, 112)], {'bandwidth': 22}), (7, 3): ([(37, 112)], {'bandwidth': 14}), (6, 0): ([(112, 112)], {'bandwidth': 49}), (6, 3): ([(37, 34), (34, 112)], {'bandwidth': 17}), (6, 7): ([(112, 112)], {'bandwidth': 2}), (2, 8): ([(112, 112)], {'bandwidth': 42}), (2, 0): ([(112, 112)], {'bandwidth': 40}), (2, 5): ([(112, 112)], {'bandwidth': 21}), (2, 3): ([(37, 112)], {'bandwidth': 3}), (4, 6): ([(112, 112)], {'bandwidth': 44}), (4, 7): ([(112, 112)], {'bandwidth': 2}), (4, 3): ([(37, 112)], {'bandwidth': 1}), (1, 4): ([(39, 112)], {'bandwidth': 48}), (1, 5): ([(39, 112)], {'bandwidth': 3})}",488,836,1.7131147540983607,15,0
15,arrival,75,15,True,True,"{0: (43, {'cpu': 17, 'gpu': 11, 'ram': 1}), 1: (164, {'cpu': 8, 'gpu': 7, 'ram': 7})}","{(1, 0): ([(43, 85), (85, 164)], {'bandwidth': 23})}",97,74,0.7628865979381443,16,0
