event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,3,0,True,True,"{0: (68, {'cpu': 17, 'gpu': 6, 'ram': 9}), 1: (68, {'cpu': 11, 'gpu': 19, 'ram': 14})}","{(1, 0): ([(68, 68)], {'bandwidth': 19})}",76,95,1.25,1,0
1,arrival,7,1,True,True,"{1: (109, {'cpu': 12, 'gpu': 13, 'ram': 5}), 2: (109, {'cpu': 19, 'gpu': 18, 'ram': 15}), 0: (109, {'cpu': 0, 'gpu': 14, 'ram': 12})}","{(0, 1): ([(109, 109)], {'bandwidth': 28}), (0, 2): ([(109, 109)], {'bandwidth': 0})}",108,136,1.2592592592592593,2,0
2,arrival,14,2,True,True,"{0: (27, {'cpu': 12, 'gpu': 16, 'ram': 11}), 2: (27, {'cpu': 8, 'gpu': 19, 'ram': 1}), 9: (27, {'cpu': 6, 'gpu': 16, 'ram': 17}), 3: (27, {'cpu': 15, 'gpu': 0, 'ram': 18}), 7: (27, {'cpu': 18, 'gpu': 20, 'ram': 4}), 8: (27, {'cpu': 7, 'gpu': 18, 'ram': 5}), 4: (27, {'cpu': 14, 'gpu': 1, 'ram': 12}), 6: (78, {'cpu': 2, 'gpu': 11, 'ram': 11}), 1: (78, {'cpu': 20, 'gpu': 7, 'ram': 3}), 5: (78, {'cpu': 15, 'gpu': 14, 'ram': 17})}","{(2, 0): ([(27, 27)], {'bandwidth': 8}), (9, 2): ([(27, 27)], {'bandwidth': 49}), (9, 0): ([(27, 27)], {'bandwidth': 32}), (3, 2): ([(27, 27)], {'bandwidth': 50}), (7, 0): ([(27, 27)], {'bandwidth': 46}), (7, 3): ([(27, 27)], {'bandwidth': 27}), (7, 2): ([(27, 27)], {'bandwidth': 5}), (8, 2): ([(27, 27)], {'bandwidth': 47}), (4, 3): ([(27, 27)], {'bandwidth': 38}), (4, 8): ([(27, 27)], {'bandwidth': 13}), (4, 9): ([(27, 27)], {'bandwidth': 10}), (4, 7): ([(27, 27)], {'bandwidth': 9}), (6, 4): ([(27, 78)], {'bandwidth': 22}), (6, 3): ([(27, 78)], {'bandwidth': 13}), (6, 7): ([(27, 78)], {'bandwidth': 13}), (6, 8): ([(27, 78)], {'bandwidth': 11}), (1, 8): ([(27, 78)], {'bandwidth': 40}), (5, 4): ([(27, 96), (96, 78)], {'bandwidth': 16})}",469,787,1.6780383795309168,3,0
3,arrival,19,3,True,True,"{0: (111, {'cpu': 12, 'gpu': 1, 'ram': 13}), 5: (111, {'cpu': 19, 'gpu': 9, 'ram': 14}), 2: (111, {'cpu': 15, 'gpu': 9, 'ram': 13}), 4: (111, {'cpu': 2, 'gpu': 20, 'ram': 9}), 1: (111, {'cpu': 2, 'gpu': 5, 'ram': 1}), 3: (111, {'cpu': 19, 'gpu': 7, 'ram': 19}), 6: (111, {'cpu': 20, 'gpu': 8, 'ram': 4})}","{(5, 0): ([(111, 111)], {'bandwidth': 48}), (2, 5): ([(111, 111)], {'bandwidth': 38}), (2, 0): ([(111, 111)], {'bandwidth': 27}), (4, 0): ([(111, 111)], {'bandwidth': 42}), (4, 5): ([(111, 111)], {'bandwidth': 22}), (4, 2): ([(111, 111)], {'bandwidth': 7}), (1, 0): ([(111, 111)], {'bandwidth': 25}), (1, 2): ([(111, 111)], {'bandwidth': 22}), (1, 5): ([(111, 111)], {'bandwidth': 10}), (3, 2): ([(111, 111)], {'bandwidth': 16}), (3, 1): ([(111, 111)], {'bandwidth': 7}), (3, 4): ([(111, 111)], {'bandwidth': 4}), (6, 3): ([(111, 111)], {'bandwidth': 14}), (6, 4): ([(111, 111)], {'bandwidth': 7}), (6, 1): ([(111, 111)], {'bandwidth': 4})}",221,514,2.32579185520362,4,0
4,arrival,30,4,True,True,"{1: (26, {'cpu': 1, 'gpu': 2, 'ram': 15}), 0: (26, {'cpu': 10, 'gpu': 9, 'ram': 3}), 3: (26, {'cpu': 9, 'gpu': 11, 'ram': 6}), 2: (26, {'cpu': 18, 'gpu': 12, 'ram': 13})}","{(3, 0): ([(26, 26)], {'bandwidth': 12}), (2, 0): ([(26, 26)], {'bandwidth': 24}), (2, 1): ([(26, 26)], {'bandwidth': 24}), (2, 3): ([(26, 26)], {'bandwidth': 1})}",109,170,1.5596330275229358,5,0
5,arrival,42,5,True,True,"{2: (89, {'cpu': 19, 'gpu': 13, 'ram': 17}), 0: (89, {'cpu': 7, 'gpu': 15, 'ram': 13}), 3: (89, {'cpu': 16, 'gpu': 0, 'ram': 14}), 6: (130, {'cpu': 0, 'gpu': 20, 'ram': 18}), 8: (130, {'cpu': 4, 'gpu': 0, 'ram': 15}), 9: (130, {'cpu': 17, 'gpu': 4, 'ram': 3}), 7: (130, {'cpu': 19, 'gpu': 4, 'ram': 14}), 5: (130, {'cpu': 5, 'gpu': 19, 'ram': 9}), 4: (130, {'cpu': 6, 'gpu': 18, 'ram': 5}), 1: (115, {'cpu': 7, 'gpu': 7, 'ram': 6})}","{(3, 0): ([(89, 89)], {'bandwidth': 35}), (3, 2): ([(89, 89)], {'bandwidth': 33}), (6, 3): ([(89, 130)], {'bandwidth': 30}), (6, 0): ([(89, 130)], {'bandwidth': 20}), (8, 3): ([(89, 130)], {'bandwidth': 42}), (8, 6): ([(130, 130)], {'bandwidth': 21}), (8, 0): ([(89, 8), (8, 130)], {'bandwidth': 17}), (9, 2): ([(89, 8), (8, 130)], {'bandwidth': 47}), (9, 8): ([(130, 130)], {'bandwidth': 9}), (7, 6): ([(130, 130)], {'bandwidth': 30}), (7, 8): ([(130, 130)], {'bandwidth': 28}), (7, 9): ([(130, 130)], {'bandwidth': 3}), (5, 3): ([(89, 8), (8, 130)], {'bandwidth': 6}), (4, 5): ([(130, 130)], {'bandwidth': 28}), (4, 3): ([(89, 72), (72, 130)], {'bandwidth': 26}), (1, 4): ([(115, 130)], {'bandwidth': 3})}",601,692,1.151414309484193,6,0
6,arrival,50,6,True,True,"{1: (79, {'cpu': 19, 'gpu': 3, 'ram': 13}), 0: (79, {'cpu': 20, 'gpu': 18, 'ram': 9})}","{(0, 1): ([(79, 79)], {'bandwidth': 29})}",82,111,1.353658536585366,7,0
7,arrival,55,7,True,True,"{2: (127, {'cpu': 4, 'gpu': 17, 'ram': 15}), 5: (127, {'cpu': 18, 'gpu': 1, 'ram': 4}), 3: (127, {'cpu': 4, 'gpu': 16, 'ram': 13}), 0: (127, {'cpu': 9, 'gpu': 14, 'ram': 6}), 1: (127, {'cpu': 16, 'gpu': 16, 'ram': 1}), 6: (127, {'cpu': 10, 'gpu': 0, 'ram': 9}), 4: (127, {'cpu': 7, 'gpu': 20, 'ram': 18})}","{(3, 2): ([(127, 127)], {'bandwidth': 44}), (3, 5): ([(127, 127)], {'bandwidth': 42}), (0, 2): ([(127, 127)], {'bandwidth': 39}), (1, 5): ([(127, 127)], {'bandwidth': 40}), (1, 0): ([(127, 127)], {'bandwidth': 6}), (6, 0): ([(127, 127)], {'bandwidth': 32}), (6, 1): ([(127, 127)], {'bandwidth': 22}), (6, 3): ([(127, 127)], {'bandwidth': 2}), (4, 3): ([(127, 127)], {'bandwidth': 26})}",218,471,2.1605504587155964,8,0
8,arrival,63,8,True,True,"{0: (124, {'cpu': 19, 'gpu': 1, 'ram': 20}), 2: (124, {'cpu': 2, 'gpu': 1, 'ram': 15}), 1: (124, {'cpu': 5, 'gpu': 9, 'ram': 5})}","{(2, 0): ([(124, 124)], {'bandwidth': 49}), (1, 2): ([(124, 124)], {'bandwidth': 4})}",77,130,1.6883116883116882,9,0
9,arrival,67,9,True,True,"{4: (99, {'cpu': 11, 'gpu': 15, 'ram': 6}), 2: (99, {'cpu': 7, 'gpu': 13, 'ram': 4}), 5: (99, {'cpu': 9, 'gpu': 7, 'ram': 11}), 6: (99, {'cpu': 10, 'gpu': 9, 'ram': 20}), 1: (99, {'cpu': 2, 'gpu': 8, 'ram': 16}), 0: (99, {'cpu': 5, 'gpu': 10, 'ram': 1}), 3: (99, {'cpu': 2, 'gpu': 8, 'ram': 8})}","{(2, 4): ([(99, 99)], {'bandwidth': 47}), (5, 2): ([(99, 99)], {'bandwidth': 22}), (6, 4): ([(99, 99)], {'bandwidth': 14}), (6, 2): ([(99, 99)], {'bandwidth': 11}), (6, 5): ([(99, 99)], {'bandwidth': 6}), (1, 5): ([(99, 99)], {'bandwidth': 32}), (1, 2): ([(99, 99)], {'bandwidth': 22}), (1, 6): ([(99, 99)], {'bandwidth': 1}), (0, 6): ([(99, 99)], {'bandwidth': 40}), (0, 1): ([(99, 99)], {'bandwidth': 14}), (3, 0): ([(99, 99)], {'bandwidth': 35})}",182,426,2.340659340659341,10,0
