event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,3,0,True,True,"{1: (186, {'cpu': 16, 'gpu': 17, 'ram': 2}), 0: (186, {'cpu': 0, 'gpu': 17, 'ram': 16})}","{(0, 1): ([(186, 186)], {'bandwidth': 13})}",68,81,1.1911764705882353,1,0
1,arrival,7,1,True,True,"{2: (102, {'cpu': 7, 'gpu': 7, 'ram': 11}), 3: (102, {'cpu': 10, 'gpu': 8, 'ram': 8}), 1: (102, {'cpu': 18, 'gpu': 13, 'ram': 18}), 0: (102, {'cpu': 1, 'gpu': 16, 'ram': 13})}","{(3, 2): ([(102, 102)], {'bandwidth': 32}), (1, 2): ([(102, 102)], {'bandwidth': 38}), (1, 3): ([(102, 102)], {'bandwidth': 17}), (0, 1): ([(102, 102)], {'bandwidth': 23})}",130,240,1.8461538461538463,2,0
2,arrival,10,2,True,True,"{5: (149, {'cpu': 11, 'gpu': 17, 'ram': 4}), 6: (149, {'cpu': 20, 'gpu': 17, 'ram': 6}), 2: (149, {'cpu': 0, 'gpu': 17, 'ram': 9}), 1: (149, {'cpu': 9, 'gpu': 0, 'ram': 13}), 7: (149, {'cpu': 20, 'gpu': 16, 'ram': 18}), 3: (21, {'cpu': 20, 'gpu': 17, 'ram': 13}), 0: (163, {'cpu': 17, 'gpu': 10, 'ram': 16}), 4: (92, {'cpu': 6, 'gpu': 0, 'ram': 14})}","{(6, 5): ([(149, 149)], {'bandwidth': 24}), (2, 5): ([(149, 149)], {'bandwidth': 50}), (2, 6): ([(149, 149)], {'bandwidth': 36}), (1, 6): ([(149, 149)], {'bandwidth': 41}), (1, 5): ([(149, 149)], {'bandwidth': 4}), (7, 5): ([(149, 149)], {'bandwidth': 36}), (3, 7): ([(21, 149)], {'bandwidth': 44}), (3, 2): ([(21, 149)], {'bandwidth': 30}), (3, 1): ([(21, 69), (69, 149)], {'bandwidth': 27}), (3, 6): ([(21, 69), (69, 149)], {'bandwidth': 27}), (0, 7): ([(149, 163)], {'bandwidth': 25}), (0, 1): ([(149, 163)], {'bandwidth': 9}), (0, 2): ([(149, 163)], {'bandwidth': 8}), (4, 3): ([(21, 92)], {'bandwidth': 0})}",514,651,1.2665369649805447,3,0
3,arrival,11,3,True,True,"{0: (121, {'cpu': 10, 'gpu': 1, 'ram': 15}), 2: (121, {'cpu': 2, 'gpu': 16, 'ram': 16}), 8: (121, {'cpu': 15, 'gpu': 20, 'ram': 11}), 1: (121, {'cpu': 16, 'gpu': 6, 'ram': 10}), 7: (181, {'cpu': 6, 'gpu': 14, 'ram': 8}), 4: (121, {'cpu': 17, 'gpu': 14, 'ram': 4}), 3: (181, {'cpu': 17, 'gpu': 7, 'ram': 10}), 5: (210, {'cpu': 3, 'gpu': 6, 'ram': 20}), 6: (237, {'cpu': 2, 'gpu': 11, 'ram': 2})}","{(2, 0): ([(121, 121)], {'bandwidth': 13}), (8, 0): ([(121, 121)], {'bandwidth': 45}), (8, 2): ([(121, 121)], {'bandwidth': 42}), (1, 0): ([(121, 121)], {'bandwidth': 29}), (1, 2): ([(121, 121)], {'bandwidth': 20}), (7, 1): ([(121, 181)], {'bandwidth': 44}), (7, 2): ([(121, 181)], {'bandwidth': 41}), (4, 0): ([(121, 121)], {'bandwidth': 41}), (4, 8): ([(121, 121)], {'bandwidth': 33}), (4, 7): ([(121, 56), (56, 181)], {'bandwidth': 28}), (3, 8): ([(121, 76), (76, 181)], {'bandwidth': 41}), (5, 7): ([(181, 76), (76, 210)], {'bandwidth': 16}), (5, 3): ([(181, 76), (76, 210)], {'bandwidth': 11}), (6, 4): ([(121, 56), (56, 237)], {'bandwidth': 10})}",576,693,1.203125,4,0
4,arrival,13,4,True,True,"{3: (6, {'cpu': 1, 'gpu': 18, 'ram': 17}), 0: (6, {'cpu': 3, 'gpu': 5, 'ram': 8}), 1: (6, {'cpu': 6, 'gpu': 18, 'ram': 14}), 2: (6, {'cpu': 15, 'gpu': 1, 'ram': 3})}","{(0, 3): ([(6, 6)], {'bandwidth': 38}), (1, 0): ([(6, 6)], {'bandwidth': 42}), (2, 1): ([(6, 6)], {'bandwidth': 22})}",109,211,1.9357798165137614,5,0
5,arrival,15,5,True,True,"{7: (217, {'cpu': 3, 'gpu': 19, 'ram': 3}), 1: (217, {'cpu': 4, 'gpu': 13, 'ram': 14}), 6: (217, {'cpu': 7, 'gpu': 2, 'ram': 18}), 5: (217, {'cpu': 5, 'gpu': 12, 'ram': 3}), 3: (149, {'cpu': 1, 'gpu': 4, 'ram': 2}), 4: (89, {'cpu': 11, 'gpu': 3, 'ram': 15}), 2: (209, {'cpu': 15, 'gpu': 7, 'ram': 15}), 0: (5, {'cpu': 8, 'gpu': 2, 'ram': 19})}","{(1, 7): ([(217, 217)], {'bandwidth': 41}), (6, 7): ([(217, 217)], {'bandwidth': 48}), (6, 1): ([(217, 217)], {'bandwidth': 20}), (3, 7): ([(149, 217)], {'bandwidth': 30}), (3, 1): ([(149, 217)], {'bandwidth': 22}), (4, 1): ([(89, 22), (22, 217)], {'bandwidth': 36}), (4, 5): ([(89, 22), (22, 217)], {'bandwidth': 16}), (4, 7): ([(89, 22), (22, 217)], {'bandwidth': 8}), (2, 5): ([(209, 217)], {'bandwidth': 33}), (2, 1): ([(209, 217)], {'bandwidth': 13}), (2, 4): ([(89, 86), (86, 209)], {'bandwidth': 10}), (0, 5): ([(5, 109), (109, 217)], {'bandwidth': 38}), (0, 7): ([(5, 109), (109, 217)], {'bandwidth': 15})}",549,535,0.9744990892531876,6,0
6,arrival,20,6,True,True,"{1: (127, {'cpu': 1, 'gpu': 17, 'ram': 8}), 0: (127, {'cpu': 11, 'gpu': 1, 'ram': 17}), 4: (127, {'cpu': 8, 'gpu': 18, 'ram': 1}), 3: (127, {'cpu': 15, 'gpu': 20, 'ram': 10}), 2: (130, {'cpu': 2, 'gpu': 10, 'ram': 8})}","{(0, 1): ([(127, 127)], {'bandwidth': 43}), (4, 1): ([(127, 127)], {'bandwidth': 8}), (3, 4): ([(127, 127)], {'bandwidth': 24}), (3, 0): ([(127, 127)], {'bandwidth': 9}), (2, 3): ([(127, 130)], {'bandwidth': 1})}",148,232,1.5675675675675675,7,0
7,arrival,22,7,True,True,"{2: (82, {'cpu': 9, 'gpu': 0, 'ram': 3}), 1: (82, {'cpu': 17, 'gpu': 0, 'ram': 7}), 3: (82, {'cpu': 9, 'gpu': 1, 'ram': 4}), 4: (82, {'cpu': 3, 'gpu': 12, 'ram': 4}), 0: (82, {'cpu': 0, 'gpu': 10, 'ram': 9}), 5: (171, {'cpu': 4, 'gpu': 1, 'ram': 16}), 6: (107, {'cpu': 2, 'gpu': 0, 'ram': 19})}","{(1, 2): ([(82, 82)], {'bandwidth': 33}), (3, 2): ([(82, 82)], {'bandwidth': 44}), (3, 1): ([(82, 82)], {'bandwidth': 35}), (4, 1): ([(82, 82)], {'bandwidth': 37}), (4, 2): ([(82, 82)], {'bandwidth': 30}), (0, 3): ([(82, 82)], {'bandwidth': 22}), (0, 1): ([(82, 82)], {'bandwidth': 20}), (5, 3): ([(82, 171)], {'bandwidth': 37}), (5, 1): ([(82, 171)], {'bandwidth': 15}), (5, 0): ([(82, 171)], {'bandwidth': 9}), (6, 5): ([(107, 82), (82, 171)], {'bandwidth': 26})}",243,438,1.8024691358024691,8,0
8,arrival,25,8,True,True,"{1: (47, {'cpu': 3, 'gpu': 20, 'ram': 8}), 5: (47, {'cpu': 10, 'gpu': 7, 'ram': 16}), 0: (47, {'cpu': 13, 'gpu': 11, 'ram': 7}), 6: (47, {'cpu': 20, 'gpu': 6, 'ram': 8}), 4: (47, {'cpu': 5, 'gpu': 5, 'ram': 12}), 2: (47, {'cpu': 12, 'gpu': 20, 'ram': 4}), 7: (47, {'cpu': 11, 'gpu': 10, 'ram': 8}), 3: (129, {'cpu': 15, 'gpu': 11, 'ram': 0}), 8: (202, {'cpu': 14, 'gpu': 15, 'ram': 17})}","{(5, 1): ([(47, 47)], {'bandwidth': 31}), (0, 1): ([(47, 47)], {'bandwidth': 50}), (0, 5): ([(47, 47)], {'bandwidth': 36}), (6, 5): ([(47, 47)], {'bandwidth': 50}), (6, 1): ([(47, 47)], {'bandwidth': 47}), (4, 1): ([(47, 47)], {'bandwidth': 31}), (4, 0): ([(47, 47)], {'bandwidth': 23}), (2, 5): ([(47, 47)], {'bandwidth': 48}), (2, 0): ([(47, 47)], {'bandwidth': 21}), (2, 6): ([(47, 47)], {'bandwidth': 16}), (7, 1): ([(47, 47)], {'bandwidth': 44}), (7, 4): ([(47, 47)], {'bandwidth': 21}), (3, 5): ([(47, 129)], {'bandwidth': 36}), (3, 7): ([(47, 129)], {'bandwidth': 24}), (3, 4): ([(47, 129)], {'bandwidth': 15}), (8, 1): ([(47, 0), (0, 202)], {'bandwidth': 31}), (8, 5): ([(47, 0), (0, 202)], {'bandwidth': 14})}",453,826,1.8233995584988962,9,0
9,arrival,29,9,True,True,"{0: (197, {'cpu': 14, 'gpu': 20, 'ram': 14}), 2: (197, {'cpu': 8, 'gpu': 20, 'ram': 16}), 3: (197, {'cpu': 13, 'gpu': 0, 'ram': 20}), 1: (197, {'cpu': 15, 'gpu': 14, 'ram': 17})}","{(1, 0): ([(197, 197)], {'bandwidth': 34}), (1, 2): ([(197, 197)], {'bandwidth': 32}), (1, 3): ([(197, 197)], {'bandwidth': 24})}",171,261,1.5263157894736843,10,0
