event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,2,0,True,True,"{4: (44, {'cpu': 11, 'gpu': 20, 'ram': 2}), 0: (44, {'cpu': 4, 'gpu': 0, 'ram': 3}), 8: (238, {'cpu': 20, 'gpu': 8, 'ram': 11}), 1: (238, {'cpu': 9, 'gpu': 16, 'ram': 17}), 5: (189, {'cpu': 3, 'gpu': 2, 'ram': 0}), 3: (189, {'cpu': 15, 'gpu': 6, 'ram': 18}), 2: (189, {'cpu': 13, 'gpu': 11, 'ram': 17}), 7: (131, {'cpu': 18, 'gpu': 9, 'ram': 2}), 9: (107, {'cpu': 6, 'gpu': 4, 'ram': 15}), 6: (100, {'cpu': 12, 'gpu': 17, 'ram': 17})}","{(8, 0): ([(44, 238)], {'bandwidth': 48}), (8, 4): ([(44, 16), (16, 238)], {'bandwidth': 21}), (1, 0): ([(44, 16), (16, 238)], {'bandwidth': 25}), (5, 8): ([(189, 238)], {'bandwidth': 44}), (5, 1): ([(189, 238)], {'bandwidth': 8}), (3, 1): ([(189, 19), (19, 238)], {'bandwidth': 43}), (3, 5): ([(189, 189)], {'bandwidth': 40}), (3, 8): ([(189, 49), (49, 238)], {'bandwidth': 37}), (3, 4): ([(44, 189)], {'bandwidth': 3}), (2, 3): ([(189, 189)], {'bandwidth': 34}), (2, 8): ([(189, 238)], {'bandwidth': 31}), (2, 0): ([(44, 189)], {'bandwidth': 30}), (2, 5): ([(189, 189)], {'bandwidth': 19}), (2, 1): ([(189, 19), (19, 238)], {'bandwidth': 13}), (7, 8): ([(131, 56), (56, 238)], {'bandwidth': 34}), (7, 1): ([(131, 56), (56, 238)], {'bandwidth': 32}), (7, 5): ([(131, 189)], {'bandwidth': 7}), (7, 2): ([(131, 189)], {'bandwidth': 6}), (7, 3): ([(131, 189)], {'bandwidth': 6}), (9, 5): ([(107, 189)], {'bandwidth': 43}), (9, 0): ([(44, 28), (28, 107)], {'bandwidth': 32}), (9, 7): ([(107, 131)], {'bandwidth': 32}), (9, 8): ([(107, 20), (20, 238)], {'bandwidth': 24}), (9, 3): ([(107, 189)], {'bandwidth': 5}), (6, 1): ([(100, 82), (82, 238)], {'bandwidth': 46}), (6, 2): ([(100, 189)], {'bandwidth': 33}), (6, 5): ([(100, 189)], {'bandwidth': 20}), (6, 7): ([(100, 107), (107, 131)], {'bandwidth': 16}), (6, 3): ([(100, 21), (21, 189)], {'bandwidth': 14}), (6, 9): ([(100, 107)], {'bandwidth': 8})}",1304,1060,0.8128834355828221,1,0
1,arrival,4,1,True,True,"{0: (149, {'cpu': 1, 'gpu': 8, 'ram': 3}), 1: (149, {'cpu': 18, 'gpu': 2, 'ram': 12})}","{(1, 0): ([(149, 149)], {'bandwidth': 49})}",44,93,2.1136363636363638,2,0
2,arrival,5,2,True,True,"{3: (113, {'cpu': 4, 'gpu': 3, 'ram': 20}), 4: (113, {'cpu': 20, 'gpu': 13, 'ram': 6}), 1: (113, {'cpu': 13, 'gpu': 6, 'ram': 14}), 0: (113, {'cpu': 19, 'gpu': 20, 'ram': 10}), 2: (164, {'cpu': 0, 'gpu': 8, 'ram': 18})}","{(1, 4): ([(113, 113)], {'bandwidth': 5}), (0, 4): ([(113, 113)], {'bandwidth': 48}), (0, 1): ([(113, 113)], {'bandwidth': 47}), (2, 3): ([(113, 164)], {'bandwidth': 46}), (2, 0): ([(113, 52), (52, 164)], {'bandwidth': 22})}",264,342,1.2954545454545454,3,0
3,arrival,9,3,True,True,"{2: (275, {'cpu': 13, 'gpu': 17, 'ram': 7}), 1: (275, {'cpu': 1, 'gpu': 7, 'ram': 8}), 0: (275, {'cpu': 4, 'gpu': 18, 'ram': 17}), 5: (73, {'cpu': 18, 'gpu': 13, 'ram': 5}), 3: (275, {'cpu': 20, 'gpu': 8, 'ram': 0}), 4: (275, {'cpu': 3, 'gpu': 11, 'ram': 13})}","{(1, 2): ([(275, 275)], {'bandwidth': 15}), (0, 2): ([(275, 275)], {'bandwidth': 48}), (3, 0): ([(275, 275)], {'bandwidth': 37}), (3, 5): ([(73, 275)], {'bandwidth': 23}), (4, 1): ([(275, 275)], {'bandwidth': 32}), (4, 3): ([(275, 275)], {'bandwidth': 30}), (4, 0): ([(275, 275)], {'bandwidth': 8})}",206,376,1.825242718446602,4,0
4,arrival,9,4,True,True,"{2: (15, {'cpu': 13, 'gpu': 2, 'ram': 0}), 4: (15, {'cpu': 12, 'gpu': 5, 'ram': 3}), 5: (15, {'cpu': 3, 'gpu': 8, 'ram': 1}), 0: (218, {'cpu': 17, 'gpu': 5, 'ram': 9}), 3: (15, {'cpu': 10, 'gpu': 7, 'ram': 18}), 7: (15, {'cpu': 9, 'gpu': 13, 'ram': 18}), 6: (218, {'cpu': 14, 'gpu': 10, 'ram': 13}), 1: (115, {'cpu': 11, 'gpu': 9, 'ram': 11})}","{(4, 2): ([(15, 15)], {'bandwidth': 45}), (0, 2): ([(15, 218)], {'bandwidth': 17}), (7, 5): ([(15, 15)], {'bandwidth': 13}), (6, 4): ([(15, 218)], {'bandwidth': 30}), (6, 0): ([(218, 218)], {'bandwidth': 16}), (6, 3): ([(15, 218)], {'bandwidth': 9}), (1, 5): ([(15, 115)], {'bandwidth': 23}), (1, 4): ([(15, 115)], {'bandwidth': 19}), (1, 7): ([(15, 115)], {'bandwidth': 9}), (1, 0): ([(115, 218)], {'bandwidth': 2}), (1, 2): ([(15, 115)], {'bandwidth': 1})}",331,405,1.2235649546827794,5,0
5,arrival,9,5,True,True,"{6: (145, {'cpu': 9, 'gpu': 16, 'ram': 14}), 1: (145, {'cpu': 17, 'gpu': 0, 'ram': 4}), 4: (145, {'cpu': 12, 'gpu': 20, 'ram': 3}), 3: (87, {'cpu': 5, 'gpu': 13, 'ram': 4}), 2: (145, {'cpu': 19, 'gpu': 18, 'ram': 16}), 5: (141, {'cpu': 6, 'gpu': 12, 'ram': 19}), 0: (141, {'cpu': 13, 'gpu': 0, 'ram': 19})}","{(1, 6): ([(145, 145)], {'bandwidth': 12}), (3, 6): ([(87, 145)], {'bandwidth': 34}), (3, 4): ([(87, 145)], {'bandwidth': 22}), (3, 1): ([(87, 145)], {'bandwidth': 5}), (2, 6): ([(145, 145)], {'bandwidth': 44}), (2, 1): ([(145, 145)], {'bandwidth': 34}), (2, 3): ([(87, 145)], {'bandwidth': 9}), (0, 4): ([(141, 145)], {'bandwidth': 42}), (0, 2): ([(141, 145)], {'bandwidth': 15}), (0, 5): ([(141, 141)], {'bandwidth': 6})}",366,462,1.2622950819672132,6,0
6,arrival,9,6,True,True,"{4: (222, {'cpu': 20, 'gpu': 15, 'ram': 15}), 3: (223, {'cpu': 17, 'gpu': 10, 'ram': 7}), 5: (223, {'cpu': 7, 'gpu': 20, 'ram': 7}), 1: (109, {'cpu': 3, 'gpu': 1, 'ram': 20}), 2: (212, {'cpu': 6, 'gpu': 11, 'ram': 11}), 0: (272, {'cpu': 15, 'gpu': 14, 'ram': 20})}","{(3, 4): ([(222, 223)], {'bandwidth': 43}), (5, 4): ([(222, 223)], {'bandwidth': 21}), (0, 3): ([(223, 20), (20, 272)], {'bandwidth': 23}), (0, 1): ([(109, 6), (6, 272)], {'bandwidth': 12}), (0, 5): ([(223, 20), (20, 272)], {'bandwidth': 3}), (0, 2): ([(212, 20), (20, 272)], {'bandwidth': 0})}",359,321,0.8941504178272981,7,0
7,arrival,11,7,True,True,"{0: (168, {'cpu': 9, 'gpu': 14, 'ram': 17}), 1: (168, {'cpu': 4, 'gpu': 1, 'ram': 19})}","{(1, 0): ([(168, 168)], {'bandwidth': 25})}",64,89,1.390625,8,0
8,arrival,12,8,True,True,"{1: (199, {'cpu': 13, 'gpu': 12, 'ram': 13}), 3: (98, {'cpu': 4, 'gpu': 14, 'ram': 19}), 2: (166, {'cpu': 0, 'gpu': 11, 'ram': 8}), 0: (98, {'cpu': 15, 'gpu': 13, 'ram': 12})}","{(3, 1): ([(98, 8), (8, 199)], {'bandwidth': 46}), (2, 3): ([(98, 166)], {'bandwidth': 33}), (2, 1): ([(166, 199)], {'bandwidth': 26}), (0, 2): ([(98, 166)], {'bandwidth': 21}), (0, 1): ([(98, 8), (8, 199)], {'bandwidth': 13}), (0, 3): ([(98, 98)], {'bandwidth': 9})}",332,282,0.8493975903614458,9,0
9,arrival,15,9,True,True,"{1: (183, {'cpu': 4, 'gpu': 10, 'ram': 15}), 0: (183, {'cpu': 19, 'gpu': 1, 'ram': 10}), 2: (183, {'cpu': 7, 'gpu': 0, 'ram': 1})}","{(2, 1): ([(183, 183)], {'bandwidth': 41}), (2, 0): ([(183, 183)], {'bandwidth': 33})}",67,141,2.1044776119402986,10,0
10,arrival,17,10,True,True,"{2: (18, {'cpu': 20, 'gpu': 17, 'ram': 5}), 4: (18, {'cpu': 15, 'gpu': 3, 'ram': 0}), 1: (18, {'cpu': 4, 'gpu': 8, 'ram': 14}), 6: (117, {'cpu': 1, 'gpu': 20, 'ram': 7}), 5: (18, {'cpu': 16, 'gpu': 16, 'ram': 1}), 8: (2, {'cpu': 18, 'gpu': 3, 'ram': 10}), 0: (2, {'cpu': 9, 'gpu': 10, 'ram': 15}), 3: (2, {'cpu': 17, 'gpu': 13, 'ram': 3}), 7: (51, {'cpu': 4, 'gpu': 10, 'ram': 11})}","{(4, 2): ([(18, 18)], {'bandwidth': 13}), (1, 4): ([(18, 18)], {'bandwidth': 33}), (6, 4): ([(18, 117)], {'bandwidth': 40}), (6, 1): ([(18, 117)], {'bandwidth': 33}), (6, 2): ([(18, 117)], {'bandwidth': 16}), (5, 2): ([(18, 18)], {'bandwidth': 44}), (5, 6): ([(18, 148), (148, 117)], {'bandwidth': 28}), (5, 1): ([(18, 18)], {'bandwidth': 9}), (8, 5): ([(2, 18)], {'bandwidth': 42}), (8, 4): ([(2, 51), (51, 18)], {'bandwidth': 15}), (0, 8): ([(2, 2)], {'bandwidth': 37}), (0, 6): ([(2, 17), (17, 117)], {'bandwidth': 30}), (0, 1): ([(2, 18)], {'bandwidth': 2}), (3, 6): ([(2, 17), (17, 117)], {'bandwidth': 31}), (3, 8): ([(2, 2)], {'bandwidth': 10}), (7, 3): ([(2, 51)], {'bandwidth': 21}), (7, 5): ([(18, 51)], {'bandwidth': 11}), (7, 0): ([(2, 51)], {'bandwidth': 10})}",653,695,1.0643185298621747,11,0
11,arrival,19,11,True,True,"{1: (179, {'cpu': 9, 'gpu': 19, 'ram': 16}), 2: (39, {'cpu': 2, 'gpu': 2, 'ram': 2}), 0: (39, {'cpu': 14, 'gpu': 20, 'ram': 6})}","{(0, 1): ([(39, 179)], {'bandwidth': 46}), (0, 2): ([(39, 39)], {'bandwidth': 4})}",136,140,1.0294117647058822,12,0
12,arrival,21,12,True,True,"{3: (90, {'cpu': 7, 'gpu': 1, 'ram': 12}), 6: (90, {'cpu': 1, 'gpu': 10, 'ram': 18}), 2: (143, {'cpu': 4, 'gpu': 17, 'ram': 14}), 9: (25, {'cpu': 6, 'gpu': 1, 'ram': 9}), 0: (25, {'cpu': 17, 'gpu': 17, 'ram': 0}), 8: (90, {'cpu': 16, 'gpu': 19, 'ram': 2}), 1: (25, {'cpu': 11, 'gpu': 1, 'ram': 4}), 7: (27, {'cpu': 20, 'gpu': 12, 'ram': 2}), 4: (90, {'cpu': 10, 'gpu': 3, 'ram': 15}), 5: (228, {'cpu': 5, 'gpu': 10, 'ram': 11})}","{(6, 3): ([(90, 90)], {'bandwidth': 11}), (9, 3): ([(25, 90)], {'bandwidth': 47}), (9, 6): ([(25, 90)], {'bandwidth': 38}), (9, 2): ([(25, 139), (139, 143)], {'bandwidth': 28}), (0, 2): ([(25, 139), (139, 143)], {'bandwidth': 42}), (0, 6): ([(25, 21), (21, 158), (158, 90)], {'bandwidth': 12}), (8, 2): ([(90, 143)], {'bandwidth': 26}), (8, 9): ([(25, 139), (139, 90)], {'bandwidth': 11}), (1, 8): ([(25, 21), (21, 158), (158, 90)], {'bandwidth': 43}), (1, 0): ([(25, 25)], {'bandwidth': 35}), (7, 3): ([(27, 90)], {'bandwidth': 39}), (7, 0): ([(25, 21), (21, 67), (67, 27)], {'bandwidth': 18}), (7, 1): ([(25, 21), (21, 67), (67, 27)], {'bandwidth': 11}), (7, 9): ([(25, 90), (90, 27)], {'bandwidth': 1}), (4, 9): ([(25, 26), (26, 34), (34, 90)], {'bandwidth': 37}), (4, 0): ([(25, 26), (26, 34), (34, 90)], {'bandwidth': 15}), (4, 1): ([(25, 63), (63, 89), (89, 90)], {'bandwidth': 14}), (5, 9): ([(25, 111), (111, 228)], {'bandwidth': 25}), (5, 4): ([(90, 228)], {'bandwidth': 11}), (5, 8): ([(90, 228)], {'bandwidth': 7}), (5, 1): ([(25, 111), (111, 228)], {'bandwidth': 2})}",1111,748,0.6732673267326733,13,0
13,arrival,22,13,True,True,"{4: (194, {'cpu': 8, 'gpu': 6, 'ram': 3}), 0: (194, {'cpu': 12, 'gpu': 18, 'ram': 16}), 1: (34, {'cpu': 2, 'gpu': 15, 'ram': 13}), 3: (265, {'cpu': 7, 'gpu': 10, 'ram': 6}), 2: (12, {'cpu': 17, 'gpu': 0, 'ram': 13})}","{(3, 4): ([(194, 265)], {'bandwidth': 31}), (2, 3): ([(12, 265)], {'bandwidth': 20}), (2, 0): ([(12, 194)], {'bandwidth': 15}), (2, 1): ([(12, 49), (49, 34)], {'bandwidth': 1})}",214,213,0.9953271028037384,14,0
