event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,3,0,True,True,"{3: (6, {'cpu': 12, 'gpu': 4, 'ram': 10}), 5: (6, {'cpu': 9, 'gpu': 7, 'ram': 11}), 0: (6, {'cpu': 15, 'gpu': 2, 'ram': 4}), 1: (6, {'cpu': 1, 'gpu': 19, 'ram': 10}), 7: (6, {'cpu': 18, 'gpu': 17, 'ram': 1}), 6: (6, {'cpu': 4, 'gpu': 8, 'ram': 0}), 4: (6, {'cpu': 3, 'gpu': 17, 'ram': 11}), 2: (6, {'cpu': 2, 'gpu': 19, 'ram': 14})}","{(5, 3): ([(6, 6)], {'bandwidth': 39}), (0, 3): ([(6, 6)], {'bandwidth': 48}), (1, 0): ([(6, 6)], {'bandwidth': 15}), (1, 5): ([(6, 6)], {'bandwidth': 11}), (7, 3): ([(6, 6)], {'bandwidth': 49}), (6, 5): ([(6, 6)], {'bandwidth': 21}), (4, 1): ([(6, 6)], {'bandwidth': 43}), (4, 3): ([(6, 6)], {'bandwidth': 16}), (4, 5): ([(6, 6)], {'bandwidth': 15}), (2, 0): ([(6, 6)], {'bandwidth': 33}), (2, 6): ([(6, 6)], {'bandwidth': 26}), (2, 5): ([(6, 6)], {'bandwidth': 4})}",218,538,2.467889908256881,1,0
1,arrival,4,1,True,True,"{0: (31, {'cpu': 0, 'gpu': 10, 'ram': 19}), 1: (31, {'cpu': 9, 'gpu': 9, 'ram': 9}), 2: (31, {'cpu': 10, 'gpu': 17, 'ram': 16}), 3: (69, {'cpu': 1, 'gpu': 18, 'ram': 19})}","{(1, 0): ([(31, 31)], {'bandwidth': 20}), (2, 0): ([(31, 31)], {'bandwidth': 24}), (3, 1): ([(31, 69)], {'bandwidth': 8})}",145,189,1.303448275862069,2,0
2,arrival,6,2,True,True,"{1: (61, {'cpu': 12, 'gpu': 15, 'ram': 2}), 0: (61, {'cpu': 9, 'gpu': 16, 'ram': 3}), 2: (61, {'cpu': 5, 'gpu': 19, 'ram': 15})}","{(0, 1): ([(61, 61)], {'bandwidth': 47}), (2, 1): ([(61, 61)], {'bandwidth': 29})}",96,172,1.7916666666666667,3,0
3,arrival,15,3,True,True,"{1: (172, {'cpu': 13, 'gpu': 9, 'ram': 18}), 0: (172, {'cpu': 5, 'gpu': 20, 'ram': 18}), 2: (172, {'cpu': 10, 'gpu': 0, 'ram': 9})}","{(0, 1): ([(172, 172)], {'bandwidth': 42}), (2, 1): ([(172, 172)], {'bandwidth': 32})}",102,176,1.7254901960784315,4,0
4,arrival,17,4,True,True,"{4: (104, {'cpu': 13, 'gpu': 18, 'ram': 0}), 3: (104, {'cpu': 2, 'gpu': 16, 'ram': 14}), 1: (104, {'cpu': 7, 'gpu': 17, 'ram': 1}), 2: (104, {'cpu': 10, 'gpu': 9, 'ram': 1}), 0: (104, {'cpu': 17, 'gpu': 6, 'ram': 10}), 5: (8, {'cpu': 7, 'gpu': 4, 'ram': 19})}","{(1, 3): ([(104, 104)], {'bandwidth': 32}), (2, 4): ([(104, 104)], {'bandwidth': 34}), (0, 1): ([(104, 104)], {'bandwidth': 19}), (0, 3): ([(104, 104)], {'bandwidth': 15}), (0, 4): ([(104, 104)], {'bandwidth': 9}), (5, 4): ([(8, 104)], {'bandwidth': 15}), (5, 3): ([(8, 104)], {'bandwidth': 11}), (5, 0): ([(8, 104)], {'bandwidth': 2})}",199,308,1.5477386934673367,5,0
5,arrival,19,5,True,True,"{1: (65, {'cpu': 11, 'gpu': 12, 'ram': 4}), 3: (65, {'cpu': 6, 'gpu': 20, 'ram': 12}), 5: (80, {'cpu': 16, 'gpu': 2, 'ram': 17}), 4: (65, {'cpu': 2, 'gpu': 1, 'ram': 7}), 2: (65, {'cpu': 6, 'gpu': 0, 'ram': 2}), 0: (65, {'cpu': 16, 'gpu': 8, 'ram': 9})}","{(3, 1): ([(65, 65)], {'bandwidth': 49}), (5, 3): ([(65, 80)], {'bandwidth': 49}), (5, 1): ([(65, 122), (122, 80)], {'bandwidth': 47}), (4, 1): ([(65, 65)], {'bandwidth': 0}), (2, 3): ([(65, 65)], {'bandwidth': 24}), (2, 1): ([(65, 65)], {'bandwidth': 4}), (0, 4): ([(65, 65)], {'bandwidth': 18})}",294,342,1.163265306122449,6,0
6,arrival,25,6,True,True,"{0: (63, {'cpu': 10, 'gpu': 5, 'ram': 4}), 1: (63, {'cpu': 14, 'gpu': 0, 'ram': 10}), 2: (63, {'cpu': 8, 'gpu': 19, 'ram': 4})}","{(1, 0): ([(63, 63)], {'bandwidth': 30}), (2, 0): ([(63, 63)], {'bandwidth': 11})}",74,115,1.554054054054054,7,0
7,arrival,31,7,True,True,"{8: (130, {'cpu': 10, 'gpu': 12, 'ram': 8}), 9: (130, {'cpu': 2, 'gpu': 7, 'ram': 18}), 0: (130, {'cpu': 6, 'gpu': 20, 'ram': 17}), 7: (148, {'cpu': 19, 'gpu': 15, 'ram': 19}), 5: (130, {'cpu': 4, 'gpu': 2, 'ram': 20}), 6: (130, {'cpu': 2, 'gpu': 20, 'ram': 15}), 4: (130, {'cpu': 5, 'gpu': 7, 'ram': 8}), 1: (84, {'cpu': 16, 'gpu': 10, 'ram': 15}), 3: (130, {'cpu': 9, 'gpu': 4, 'ram': 1}), 2: (179, {'cpu': 20, 'gpu': 14, 'ram': 18})}","{(9, 8): ([(130, 130)], {'bandwidth': 13}), (0, 9): ([(130, 130)], {'bandwidth': 22}), (0, 8): ([(130, 130)], {'bandwidth': 12}), (7, 8): ([(130, 148)], {'bandwidth': 47}), (7, 9): ([(130, 64), (64, 148)], {'bandwidth': 44}), (7, 0): ([(130, 17), (17, 16), (16, 148)], {'bandwidth': 43}), (5, 8): ([(130, 130)], {'bandwidth': 42}), (5, 9): ([(130, 130)], {'bandwidth': 9}), (6, 8): ([(130, 130)], {'bandwidth': 28}), (6, 9): ([(130, 130)], {'bandwidth': 26}), (6, 7): ([(130, 148)], {'bandwidth': 13}), (6, 0): ([(130, 130)], {'bandwidth': 6}), (4, 6): ([(130, 130)], {'bandwidth': 40}), (4, 0): ([(130, 130)], {'bandwidth': 38}), (4, 8): ([(130, 130)], {'bandwidth': 13}), (1, 5): ([(84, 130)], {'bandwidth': 27}), (3, 5): ([(130, 130)], {'bandwidth': 27}), (3, 9): ([(130, 130)], {'bandwidth': 15}), (3, 6): ([(130, 130)], {'bandwidth': 10}), (2, 0): ([(130, 179)], {'bandwidth': 30}), (2, 1): ([(84, 2), (2, 179)], {'bandwidth': 23}), (2, 8): ([(130, 179)], {'bandwidth': 19}), (2, 7): ([(148, 49), (49, 179)], {'bandwidth': 8}), (2, 9): ([(130, 179)], {'bandwidth': 5}), (2, 4): ([(130, 179)], {'bandwidth': 1})}",764,904,1.1832460732984293,8,0
8,leave,33,2,True,True,"{}","{}",0,0,0,7,0
9,arrival,34,8,True,True,"{1: (61, {'cpu': 6, 'gpu': 19, 'ram': 20}), 3: (61, {'cpu': 2, 'gpu': 15, 'ram': 18}), 0: (61, {'cpu': 7, 'gpu': 10, 'ram': 18}), 2: (61, {'cpu': 15, 'gpu': 11, 'ram': 17})}","{(3, 1): ([(61, 61)], {'bandwidth': 35}), (0, 1): ([(61, 61)], {'bandwidth': 19}), (0, 3): ([(61, 61)], {'bandwidth': 16}), (2, 1): ([(61, 61)], {'bandwidth': 6})}",158,234,1.481012658227848,8,0
10,arrival,39,9,True,True,"{0: (123, {'cpu': 4, 'gpu': 5, 'ram': 11}), 1: (123, {'cpu': 0, 'gpu': 4, 'ram': 19})}","{(1, 0): ([(123, 123)], {'bandwidth': 45})}",43,88,2.046511627906977,9,0
11,arrival,43,10,True,True,"{4: (139, {'cpu': 4, 'gpu': 0, 'ram': 14}), 1: (139, {'cpu': 1, 'gpu': 14, 'ram': 7}), 0: (139, {'cpu': 18, 'gpu': 1, 'ram': 12}), 3: (139, {'cpu': 11, 'gpu': 12, 'ram': 7}), 2: (139, {'cpu': 6, 'gpu': 20, 'ram': 15})}","{(0, 1): ([(139, 139)], {'bandwidth': 33}), (0, 4): ([(139, 139)], {'bandwidth': 8}), (3, 4): ([(139, 139)], {'bandwidth': 12}), (2, 4): ([(139, 139)], {'bandwidth': 18}), (2, 1): ([(139, 139)], {'bandwidth': 10})}",142,223,1.5704225352112675,10,0
12,arrival,44,11,True,True,"{0: (152, {'cpu': 6, 'gpu': 19, 'ram': 13}), 2: (152, {'cpu': 3, 'gpu': 11, 'ram': 5}), 1: (152, {'cpu': 13, 'gpu': 12, 'ram': 0})}","{(2, 0): ([(152, 152)], {'bandwidth': 19}), (1, 0): ([(152, 152)], {'bandwidth': 9})}",82,110,1.3414634146341464,11,0
13,arrival,51,12,True,True,"{1: (98, {'cpu': 0, 'gpu': 11, 'ram': 4}), 3: (98, {'cpu': 1, 'gpu': 15, 'ram': 0}), 0: (98, {'cpu': 18, 'gpu': 4, 'ram': 13}), 2: (98, {'cpu': 1, 'gpu': 9, 'ram': 5}), 4: (98, {'cpu': 14, 'gpu': 14, 'ram': 19})}","{(0, 1): ([(98, 98)], {'bandwidth': 48}), (2, 3): ([(98, 98)], {'bandwidth': 28}), (4, 3): ([(98, 98)], {'bandwidth': 16}), (4, 1): ([(98, 98)], {'bandwidth': 11})}",128,231,1.8046875,12,0
14,arrival,56,13,True,True,"{0: (151, {'cpu': 16, 'gpu': 18, 'ram': 5}), 1: (151, {'cpu': 17, 'gpu': 15, 'ram': 7})}","{(1, 0): ([(151, 151)], {'bandwidth': 23})}",78,101,1.294871794871795,13,0
15,arrival,58,14,True,True,"{0: (100, {'cpu': 7, 'gpu': 8, 'ram': 2}), 3: (100, {'cpu': 3, 'gpu': 6, 'ram': 19}), 2: (100, {'cpu': 1, 'gpu': 17, 'ram': 2}), 1: (100, {'cpu': 0, 'gpu': 14, 'ram': 1}), 4: (100, {'cpu': 10, 'gpu': 11, 'ram': 8})}","{(3, 0): ([(100, 100)], {'bandwidth': 49}), (2, 0): ([(100, 100)], {'bandwidth': 24}), (2, 3): ([(100, 100)], {'bandwidth': 23}), (1, 3): ([(100, 100)], {'bandwidth': 7}), (1, 0): ([(100, 100)], {'bandwidth': 4}), (4, 0): ([(100, 100)], {'bandwidth': 3}), (4, 1): ([(100, 100)], {'bandwidth': 3})}",109,222,2.036697247706422,14,0
16,arrival,62,15,True,True,"{1: (101, {'cpu': 4, 'gpu': 17, 'ram': 4}), 0: (101, {'cpu': 0, 'gpu': 1, 'ram': 12})}","{(0, 1): ([(101, 101)], {'bandwidth': 16})}",38,54,1.4210526315789473,15,0
17,arrival,65,16,True,True,"{3: (163, {'cpu': 4, 'gpu': 16, 'ram': 9}), 2: (163, {'cpu': 11, 'gpu': 8, 'ram': 18}), 5: (45, {'cpu': 18, 'gpu': 12, 'ram': 20}), 4: (163, {'cpu': 10, 'gpu': 20, 'ram': 2}), 1: (163, {'cpu': 11, 'gpu': 15, 'ram': 14}), 0: (35, {'cpu': 5, 'gpu': 3, 'ram': 15})}","{(2, 3): ([(163, 163)], {'bandwidth': 50}), (5, 2): ([(45, 163)], {'bandwidth': 49}), (5, 3): ([(45, 163)], {'bandwidth': 2}), (4, 5): ([(45, 15), (15, 80), (80, 163)], {'bandwidth': 29}), (4, 3): ([(163, 163)], {'bandwidth': 14}), (1, 2): ([(163, 163)], {'bandwidth': 41}), (1, 4): ([(163, 163)], {'bandwidth': 35}), (0, 3): ([(35, 163)], {'bandwidth': 37}), (0, 5): ([(35, 96), (96, 45)], {'bandwidth': 33}), (0, 1): ([(35, 163)], {'bandwidth': 8})}",460,509,1.1065217391304347,16,0
18,arrival,66,17,True,True,"{0: (38, {'cpu': 13, 'gpu': 4, 'ram': 8}), 4: (38, {'cpu': 19, 'gpu': 13, 'ram': 1}), 3: (38, {'cpu': 10, 'gpu': 1, 'ram': 7}), 1: (38, {'cpu': 0, 'gpu': 0, 'ram': 4}), 2: (38, {'cpu': 0, 'gpu': 4, 'ram': 17})}","{(4, 0): ([(38, 38)], {'bandwidth': 49}), (3, 4): ([(38, 38)], {'bandwidth': 49}), (3, 0): ([(38, 38)], {'bandwidth': 23}), (1, 0): ([(38, 38)], {'bandwidth': 31}), (2, 0): ([(38, 38)], {'bandwidth': 39}), (2, 4): ([(38, 38)], {'bandwidth': 9})}",101,301,2.98019801980198,17,0
19,arrival,72,18,True,True,"{2: (82, {'cpu': 4, 'gpu': 9, 'ram': 18}), 3: (82, {'cpu': 6, 'gpu': 19, 'ram': 8}), 6: (82, {'cpu': 11, 'gpu': 18, 'ram': 11}), 1: (82, {'cpu': 9, 'gpu': 11, 'ram': 16}), 4: (35, {'cpu': 12, 'gpu': 6, 'ram': 3}), 5: (35, {'cpu': 10, 'gpu': 11, 'ram': 20}), 0: (35, {'cpu': 16, 'gpu': 11, 'ram': 2})}","{(3, 2): ([(82, 82)], {'bandwidth': 50}), (1, 2): ([(82, 82)], {'bandwidth': 29}), (1, 6): ([(82, 82)], {'bandwidth': 13}), (4, 6): ([(35, 82)], {'bandwidth': 12}), (5, 4): ([(35, 35)], {'bandwidth': 21}), (5, 3): ([(35, 82)], {'bandwidth': 12}), (5, 6): ([(35, 82)], {'bandwidth': 3}), (0, 2): ([(35, 82)], {'bandwidth': 15}), (0, 1): ([(35, 9), (9, 82)], {'bandwidth': 10}), (0, 6): ([(35, 82)], {'bandwidth': 0})}",293,396,1.3515358361774743,18,0
20,arrival,78,19,True,True,"{2: (87, {'cpu': 18, 'gpu': 17, 'ram': 17}), 5: (87, {'cpu': 13, 'gpu': 6, 'ram': 14}), 1: (87, {'cpu': 2, 'gpu': 10, 'ram': 5}), 3: (87, {'cpu': 16, 'gpu': 19, 'ram': 15}), 4: (87, {'cpu': 7, 'gpu': 5, 'ram': 6}), 0: (50, {'cpu': 16, 'gpu': 17, 'ram': 11})}","{(5, 2): ([(87, 87)], {'bandwidth': 44}), (1, 2): ([(87, 87)], {'bandwidth': 35}), (4, 5): ([(87, 87)], {'bandwidth': 25}), (4, 1): ([(87, 87)], {'bandwidth': 7}), (0, 3): ([(50, 87)], {'bandwidth': 18}), (0, 2): ([(50, 87)], {'bandwidth': 9})}",241,352,1.4605809128630705,19,0
21,arrival,80,20,True,True,"{8: (48, {'cpu': 10, 'gpu': 5, 'ram': 2}), 3: (48, {'cpu': 4, 'gpu': 1, 'ram': 4}), 0: (48, {'cpu': 10, 'gpu': 20, 'ram': 2}), 6: (48, {'cpu': 2, 'gpu': 1, 'ram': 7}), 7: (48, {'cpu': 18, 'gpu': 10, 'ram': 19}), 4: (48, {'cpu': 4, 'gpu': 4, 'ram': 3}), 1: (48, {'cpu': 16, 'gpu': 18, 'ram': 12}), 2: (48, {'cpu': 15, 'gpu': 6, 'ram': 5}), 5: (7, {'cpu': 14, 'gpu': 7, 'ram': 0})}","{(3, 8): ([(48, 48)], {'bandwidth': 26}), (0, 8): ([(48, 48)], {'bandwidth': 38}), (0, 3): ([(48, 48)], {'bandwidth': 28}), (6, 8): ([(48, 48)], {'bandwidth': 13}), (7, 3): ([(48, 48)], {'bandwidth': 45}), (7, 8): ([(48, 48)], {'bandwidth': 41}), (4, 3): ([(48, 48)], {'bandwidth': 39}), (4, 0): ([(48, 48)], {'bandwidth': 37}), (4, 8): ([(48, 48)], {'bandwidth': 17}), (1, 8): ([(48, 48)], {'bandwidth': 39}), (1, 3): ([(48, 48)], {'bandwidth': 32}), (1, 6): ([(48, 48)], {'bandwidth': 16}), (2, 6): ([(48, 48)], {'bandwidth': 49}), (2, 0): ([(48, 48)], {'bandwidth': 12}), (2, 1): ([(48, 48)], {'bandwidth': 9}), (5, 4): ([(7, 48)], {'bandwidth': 5}), (5, 2): ([(7, 48)], {'bandwidth': 3}), (5, 6): ([(7, 48)], {'bandwidth': 2})}",229,670,2.925764192139738,20,0
