event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,0,0,True,True,"{2: (159, {'cpu': 2, 'gpu': 10, 'ram': 17}), 0: (159, {'cpu': 12, 'gpu': 12, 'ram': 9}), 1: (159, {'cpu': 4, 'gpu': 1, 'ram': 9}), 4: (159, {'cpu': 10, 'gpu': 8, 'ram': 5}), 3: (159, {'cpu': 6, 'gpu': 12, 'ram': 17})}","{(0, 2): ([(159, 159)], {'bandwidth': 28}), (1, 2): ([(159, 159)], {'bandwidth': 29}), (1, 0): ([(159, 159)], {'bandwidth': 20}), (4, 0): ([(159, 159)], {'bandwidth': 20}), (4, 2): ([(159, 159)], {'bandwidth': 4}), (3, 2): ([(159, 159)], {'bandwidth': 20})}",134,255,1.9029850746268657,1,0
1,arrival,1,1,True,True,"{5: (136, {'cpu': 9, 'gpu': 11, 'ram': 19}), 4: (136, {'cpu': 20, 'gpu': 20, 'ram': 17}), 2: (136, {'cpu': 4, 'gpu': 3, 'ram': 10}), 7: (26, {'cpu': 9, 'gpu': 15, 'ram': 0}), 3: (26, {'cpu': 8, 'gpu': 7, 'ram': 19}), 0: (26, {'cpu': 17, 'gpu': 1, 'ram': 17}), 6: (26, {'cpu': 20, 'gpu': 4, 'ram': 10}), 8: (26, {'cpu': 3, 'gpu': 16, 'ram': 0}), 1: (325, {'cpu': 15, 'gpu': 7, 'ram': 4})}","{(4, 5): ([(136, 136)], {'bandwidth': 50}), (2, 4): ([(136, 136)], {'bandwidth': 47}), (7, 5): ([(26, 136)], {'bandwidth': 39}), (7, 2): ([(26, 136)], {'bandwidth': 10}), (3, 5): ([(26, 136)], {'bandwidth': 39}), (0, 5): ([(26, 29), (29, 136)], {'bandwidth': 11}), (6, 0): ([(26, 26)], {'bandwidth': 33}), (6, 7): ([(26, 26)], {'bandwidth': 8}), (8, 2): ([(26, 136)], {'bandwidth': 8}), (1, 4): ([(136, 325)], {'bandwidth': 37}), (1, 0): ([(26, 325)], {'bandwidth': 5}), (1, 2): ([(136, 325)], {'bandwidth': 3}), (1, 8): ([(26, 325)], {'bandwidth': 1}), (1, 6): ([(26, 325)], {'bandwidth': 0})}",449,576,1.2828507795100224,2,0
2,arrival,4,2,True,True,"{1: (170, {'cpu': 12, 'gpu': 0, 'ram': 12}), 0: (170, {'cpu': 10, 'gpu': 3, 'ram': 9}), 2: (170, {'cpu': 20, 'gpu': 8, 'ram': 5})}","{(0, 1): ([(170, 170)], {'bandwidth': 40}), (2, 1): ([(170, 170)], {'bandwidth': 6})}",79,125,1.5822784810126582,3,0
3,arrival,6,3,True,True,"{6: (63, {'cpu': 3, 'gpu': 4, 'ram': 2}), 4: (63, {'cpu': 20, 'gpu': 20, 'ram': 13}), 5: (63, {'cpu': 8, 'gpu': 9, 'ram': 9}), 0: (305, {'cpu': 2, 'gpu': 16, 'ram': 11}), 3: (63, {'cpu': 15, 'gpu': 0, 'ram': 2}), 2: (305, {'cpu': 14, 'gpu': 18, 'ram': 8}), 1: (305, {'cpu': 19, 'gpu': 8, 'ram': 3})}","{(4, 6): ([(63, 63)], {'bandwidth': 19}), (5, 6): ([(63, 63)], {'bandwidth': 44}), (5, 4): ([(63, 63)], {'bandwidth': 20}), (0, 6): ([(63, 305)], {'bandwidth': 39}), (0, 4): ([(63, 16), (16, 305)], {'bandwidth': 38}), (3, 6): ([(63, 63)], {'bandwidth': 27}), (2, 5): ([(63, 92), (92, 305)], {'bandwidth': 45}), (2, 3): ([(63, 305)], {'bandwidth': 11}), (1, 2): ([(305, 305)], {'bandwidth': 10})}",420,457,1.088095238095238,4,0
4,arrival,7,4,True,True,"{2: (200, {'cpu': 7, 'gpu': 12, 'ram': 11}), 1: (4, {'cpu': 7, 'gpu': 6, 'ram': 14}), 0: (310, {'cpu': 20, 'gpu': 11, 'ram': 3})}","{(1, 2): ([(4, 200)], {'bandwidth': 2}), (0, 2): ([(200, 310)], {'bandwidth': 2})}",95,95,1.0,5,0
5,arrival,8,5,True,True,"{3: (167, {'cpu': 0, 'gpu': 0, 'ram': 11}), 1: (167, {'cpu': 15, 'gpu': 13, 'ram': 3}), 0: (167, {'cpu': 16, 'gpu': 5, 'ram': 15}), 9: (224, {'cpu': 19, 'gpu': 16, 'ram': 5}), 6: (167, {'cpu': 17, 'gpu': 10, 'ram': 10}), 8: (167, {'cpu': 17, 'gpu': 11, 'ram': 20}), 4: (167, {'cpu': 9, 'gpu': 20, 'ram': 0}), 5: (127, {'cpu': 16, 'gpu': 7, 'ram': 11}), 2: (300, {'cpu': 10, 'gpu': 10, 'ram': 10}), 7: (167, {'cpu': 9, 'gpu': 15, 'ram': 13})}","{(1, 3): ([(167, 167)], {'bandwidth': 41}), (0, 3): ([(167, 167)], {'bandwidth': 34}), (0, 1): ([(167, 167)], {'bandwidth': 21}), (9, 3): ([(167, 224)], {'bandwidth': 49}), (9, 1): ([(167, 224)], {'bandwidth': 35}), (6, 0): ([(167, 167)], {'bandwidth': 45}), (6, 3): ([(167, 167)], {'bandwidth': 19}), (6, 9): ([(167, 182), (182, 224)], {'bandwidth': 16}), (8, 0): ([(167, 167)], {'bandwidth': 32}), (8, 6): ([(167, 167)], {'bandwidth': 29}), (4, 1): ([(167, 167)], {'bandwidth': 42}), (4, 8): ([(167, 167)], {'bandwidth': 23}), (4, 9): ([(167, 182), (182, 224)], {'bandwidth': 22}), (4, 3): ([(167, 167)], {'bandwidth': 9}), (5, 8): ([(127, 167)], {'bandwidth': 24}), (5, 1): ([(127, 167)], {'bandwidth': 12}), (5, 0): ([(127, 167)], {'bandwidth': 9}), (2, 5): ([(127, 57), (57, 300)], {'bandwidth': 50}), (7, 2): ([(167, 300)], {'bandwidth': 17}), (7, 1): ([(167, 167)], {'bandwidth': 9}), (7, 8): ([(167, 167)], {'bandwidth': 3})}",655,874,1.334351145038168,6,0
6,arrival,9,6,True,True,"{6: (86, {'cpu': 11, 'gpu': 12, 'ram': 5}), 2: (86, {'cpu': 9, 'gpu': 19, 'ram': 3}), 8: (86, {'cpu': 17, 'gpu': 18, 'ram': 17}), 3: (197, {'cpu': 19, 'gpu': 18, 'ram': 10}), 0: (197, {'cpu': 4, 'gpu': 13, 'ram': 17}), 5: (197, {'cpu': 0, 'gpu': 6, 'ram': 9}), 4: (86, {'cpu': 19, 'gpu': 20, 'ram': 14}), 7: (197, {'cpu': 10, 'gpu': 5, 'ram': 4}), 1: (197, {'cpu': 20, 'gpu': 15, 'ram': 7})}","{(8, 6): ([(86, 86)], {'bandwidth': 44}), (8, 2): ([(86, 86)], {'bandwidth': 20}), (3, 6): ([(86, 197)], {'bandwidth': 10}), (3, 8): ([(86, 197)], {'bandwidth': 9}), (3, 2): ([(86, 197)], {'bandwidth': 8}), (0, 2): ([(86, 197)], {'bandwidth': 24}), (0, 8): ([(86, 7), (7, 197)], {'bandwidth': 17}), (5, 0): ([(197, 197)], {'bandwidth': 30}), (5, 6): ([(86, 197)], {'bandwidth': 0}), (4, 2): ([(86, 86)], {'bandwidth': 15}), (7, 6): ([(86, 7), (7, 197)], {'bandwidth': 22}), (7, 3): ([(197, 197)], {'bandwidth': 8}), (7, 2): ([(86, 197)], {'bandwidth': 5}), (1, 2): ([(86, 32), (32, 197)], {'bandwidth': 25}), (1, 6): ([(86, 7), (7, 197)], {'bandwidth': 20}), (1, 5): ([(197, 197)], {'bandwidth': 7}), (1, 3): ([(197, 197)], {'bandwidth': 6})}",545,591,1.0844036697247705,7,0
7,arrival,9,7,True,True,"{2: (169, {'cpu': 3, 'gpu': 12, 'ram': 11}), 6: (192, {'cpu': 3, 'gpu': 4, 'ram': 15}), 7: (192, {'cpu': 19, 'gpu': 19, 'ram': 6}), 1: (192, {'cpu': 11, 'gpu': 20, 'ram': 17}), 4: (192, {'cpu': 2, 'gpu': 8, 'ram': 1}), 3: (192, {'cpu': 19, 'gpu': 14, 'ram': 1}), 0: (192, {'cpu': 4, 'gpu': 12, 'ram': 8}), 5: (277, {'cpu': 6, 'gpu': 9, 'ram': 13})}","{(6, 2): ([(169, 192)], {'bandwidth': 38}), (7, 6): ([(192, 192)], {'bandwidth': 47}), (7, 2): ([(169, 16), (16, 192)], {'bandwidth': 32}), (1, 7): ([(192, 192)], {'bandwidth': 43}), (1, 2): ([(169, 23), (23, 192)], {'bandwidth': 36}), (1, 6): ([(192, 192)], {'bandwidth': 3}), (4, 6): ([(192, 192)], {'bandwidth': 33}), (3, 2): ([(169, 79), (79, 192)], {'bandwidth': 48}), (0, 4): ([(192, 192)], {'bandwidth': 33}), (0, 7): ([(192, 192)], {'bandwidth': 27}), (0, 6): ([(192, 192)], {'bandwidth': 23}), (5, 0): ([(192, 277)], {'bandwidth': 3})}",510,603,1.1823529411764706,8,0
8,arrival,10,8,True,True,"{1: (347, {'cpu': 2, 'gpu': 8, 'ram': 12}), 3: (347, {'cpu': 0, 'gpu': 5, 'ram': 15}), 0: (347, {'cpu': 9, 'gpu': 2, 'ram': 8}), 7: (347, {'cpu': 14, 'gpu': 0, 'ram': 18}), 4: (347, {'cpu': 15, 'gpu': 11, 'ram': 1}), 6: (347, {'cpu': 8, 'gpu': 11, 'ram': 0}), 2: (347, {'cpu': 8, 'gpu': 5, 'ram': 16}), 5: (300, {'cpu': 16, 'gpu': 15, 'ram': 18})}","{(3, 1): ([(347, 347)], {'bandwidth': 49}), (0, 1): ([(347, 347)], {'bandwidth': 35}), (0, 3): ([(347, 347)], {'bandwidth': 12}), (7, 1): ([(347, 347)], {'bandwidth': 25}), (7, 3): ([(347, 347)], {'bandwidth': 16}), (4, 3): ([(347, 347)], {'bandwidth': 46}), (6, 1): ([(347, 347)], {'bandwidth': 50}), (6, 0): ([(347, 347)], {'bandwidth': 15}), (2, 7): ([(347, 347)], {'bandwidth': 33}), (2, 4): ([(347, 347)], {'bandwidth': 6}), (5, 6): ([(300, 347)], {'bandwidth': 2})}",219,506,2.310502283105023,9,0
9,arrival,10,9,True,True,"{4: (262, {'cpu': 11, 'gpu': 10, 'ram': 9}), 0: (262, {'cpu': 17, 'gpu': 6, 'ram': 16}), 3: (262, {'cpu': 12, 'gpu': 1, 'ram': 11}), 5: (262, {'cpu': 17, 'gpu': 6, 'ram': 13}), 2: (262, {'cpu': 16, 'gpu': 2, 'ram': 16}), 1: (192, {'cpu': 18, 'gpu': 4, 'ram': 8}), 6: (262, {'cpu': 17, 'gpu': 12, 'ram': 4})}","{(0, 4): ([(262, 262)], {'bandwidth': 49}), (3, 4): ([(262, 262)], {'bandwidth': 46}), (3, 0): ([(262, 262)], {'bandwidth': 21}), (5, 0): ([(262, 262)], {'bandwidth': 49}), (5, 3): ([(262, 262)], {'bandwidth': 35}), (2, 0): ([(262, 262)], {'bandwidth': 39}), (2, 4): ([(262, 262)], {'bandwidth': 13}), (2, 3): ([(262, 262)], {'bandwidth': 3}), (2, 5): ([(262, 262)], {'bandwidth': 2}), (1, 3): ([(192, 262)], {'bandwidth': 27}), (1, 4): ([(192, 262)], {'bandwidth': 23}), (1, 5): ([(192, 262)], {'bandwidth': 17}), (6, 4): ([(262, 262)], {'bandwidth': 18}), (6, 5): ([(262, 262)], {'bandwidth': 16}), (6, 0): ([(262, 262)], {'bandwidth': 5})}",293,589,2.0102389078498293,10,0
