event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,67,0,True,True,"{4: (22, {'cpu': 11, 'gpu': 12, 'ram': 1}), 0: (22, {'cpu': 1, 'gpu': 14, 'ram': 2}), 3: (22, {'cpu': 17, 'gpu': 7, 'ram': 19}), 5: (22, {'cpu': 2, 'gpu': 0, 'ram': 14}), 1: (22, {'cpu': 18, 'gpu': 17, 'ram': 16}), 2: (22, {'cpu': 13, 'gpu': 8, 'ram': 17})}","{(0, 4): ([(22, 22)], {'bandwidth': 38}), (3, 0): ([(22, 22)], {'bandwidth': 49}), (3, 4): ([(22, 22)], {'bandwidth': 15}), (5, 0): ([(22, 22)], {'bandwidth': 44}), (5, 4): ([(22, 22)], {'bandwidth': 33}), (1, 3): ([(22, 22)], {'bandwidth': 45}), (1, 5): ([(22, 22)], {'bandwidth': 32}), (1, 4): ([(22, 22)], {'bandwidth': 8}), (2, 1): ([(22, 22)], {'bandwidth': 21}), (2, 3): ([(22, 22)], {'bandwidth': 18}), (2, 4): ([(22, 22)], {'bandwidth': 9})}",189,501,2.6507936507936507,1,0
1,arrival,147,1,True,True,"{0: (11, {'cpu': 5, 'gpu': 6, 'ram': 16}), 1: (11, {'cpu': 12, 'gpu': 3, 'ram': 15})}","{(1, 0): ([(11, 11)], {'bandwidth': 35})}",57,92,1.6140350877192982,2,0
2,arrival,223,2,True,True,"{0: (30, {'cpu': 6, 'gpu': 8, 'ram': 12}), 1: (30, {'cpu': 0, 'gpu': 15, 'ram': 13})}","{(1, 0): ([(30, 30)], {'bandwidth': 12})}",54,66,1.2222222222222223,3,0
3,arrival,302,3,True,True,"{0: (3, {'cpu': 3, 'gpu': 15, 'ram': 15}), 1: (3, {'cpu': 14, 'gpu': 2, 'ram': 7}), 2: (3, {'cpu': 7, 'gpu': 8, 'ram': 18})}","{(1, 0): ([(3, 3)], {'bandwidth': 32}), (2, 0): ([(3, 3)], {'bandwidth': 7})}",89,128,1.4382022471910112,4,0
4,arrival,372,4,True,True,"{1: (39, {'cpu': 5, 'gpu': 12, 'ram': 7}), 6: (39, {'cpu': 13, 'gpu': 3, 'ram': 10}), 5: (39, {'cpu': 14, 'gpu': 9, 'ram': 10}), 3: (39, {'cpu': 13, 'gpu': 9, 'ram': 12}), 0: (39, {'cpu': 14, 'gpu': 20, 'ram': 8}), 4: (39, {'cpu': 6, 'gpu': 1, 'ram': 3}), 8: (39, {'cpu': 10, 'gpu': 7, 'ram': 3}), 7: (5, {'cpu': 1, 'gpu': 19, 'ram': 14}), 2: (5, {'cpu': 18, 'gpu': 15, 'ram': 9})}","{(6, 1): ([(39, 39)], {'bandwidth': 37}), (3, 1): ([(39, 39)], {'bandwidth': 30}), (3, 5): ([(39, 39)], {'bandwidth': 29}), (3, 6): ([(39, 39)], {'bandwidth': 17}), (0, 3): ([(39, 39)], {'bandwidth': 44}), (0, 1): ([(39, 39)], {'bandwidth': 23}), (0, 6): ([(39, 39)], {'bandwidth': 16}), (4, 1): ([(39, 39)], {'bandwidth': 40}), (4, 5): ([(39, 39)], {'bandwidth': 15}), (8, 5): ([(39, 39)], {'bandwidth': 41}), (8, 0): ([(39, 39)], {'bandwidth': 25}), (7, 6): ([(5, 39)], {'bandwidth': 42}), (7, 5): ([(5, 39)], {'bandwidth': 25}), (2, 0): ([(5, 27), (27, 39)], {'bandwidth': 16})}",364,665,1.8269230769230769,5,0
5,leave,404,2,True,True,"{}","{}",0,0,0,4,0
6,leave,436,4,True,True,"{}","{}",0,0,0,3,0
7,arrival,448,5,True,True,"{1: (39, {'cpu': 14, 'gpu': 1, 'ram': 12}), 0: (39, {'cpu': 11, 'gpu': 8, 'ram': 17})}","{(0, 1): ([(39, 39)], {'bandwidth': 47})}",63,110,1.746031746031746,4,0
8,leave,460,5,True,True,"{}","{}",0,0,0,3,0
9,arrival,516,6,True,True,"{4: (6, {'cpu': 3, 'gpu': 12, 'ram': 3}), 1: (6, {'cpu': 13, 'gpu': 5, 'ram': 7}), 3: (6, {'cpu': 15, 'gpu': 9, 'ram': 8}), 2: (6, {'cpu': 8, 'gpu': 10, 'ram': 11}), 6: (6, {'cpu': 11, 'gpu': 8, 'ram': 9}), 0: (6, {'cpu': 11, 'gpu': 9, 'ram': 18}), 5: (6, {'cpu': 12, 'gpu': 9, 'ram': 8})}","{(3, 4): ([(6, 6)], {'bandwidth': 47}), (3, 1): ([(6, 6)], {'bandwidth': 19}), (2, 1): ([(6, 6)], {'bandwidth': 45}), (6, 1): ([(6, 6)], {'bandwidth': 24}), (6, 4): ([(6, 6)], {'bandwidth': 20}), (6, 3): ([(6, 6)], {'bandwidth': 7}), (0, 2): ([(6, 6)], {'bandwidth': 41}), (0, 4): ([(6, 6)], {'bandwidth': 34}), (5, 2): ([(6, 6)], {'bandwidth': 10}), (5, 0): ([(6, 6)], {'bandwidth': 6})}",199,452,2.271356783919598,4,0
