event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,6,0,True,True,"{1: (139, {'cpu': 4, 'gpu': 10, 'ram': 8}), 5: (139, {'cpu': 0, 'gpu': 11, 'ram': 10}), 0: (139, {'cpu': 2, 'gpu': 12, 'ram': 1}), 2: (139, {'cpu': 6, 'gpu': 0, 'ram': 6}), 4: (139, {'cpu': 11, 'gpu': 16, 'ram': 18}), 3: (139, {'cpu': 11, 'gpu': 8, 'ram': 16})}","{(5, 1): ([(139, 139)], {'bandwidth': 47}), (0, 1): ([(139, 139)], {'bandwidth': 42}), (0, 5): ([(139, 139)], {'bandwidth': 18}), (2, 5): ([(139, 139)], {'bandwidth': 32}), (2, 0): ([(139, 139)], {'bandwidth': 22}), (4, 1): ([(139, 139)], {'bandwidth': 38}), (4, 5): ([(139, 139)], {'bandwidth': 5}), (4, 2): ([(139, 139)], {'bandwidth': 2}), (3, 4): ([(139, 139)], {'bandwidth': 21})}",150,377,2.513333333333333,1,0
1,arrival,19,1,True,True,"{0: (17, {'cpu': 13, 'gpu': 17, 'ram': 3}), 1: (17, {'cpu': 18, 'gpu': 18, 'ram': 16}), 2: (17, {'cpu': 3, 'gpu': 12, 'ram': 3})}","{(1, 0): ([(17, 17)], {'bandwidth': 41}), (2, 0): ([(17, 17)], {'bandwidth': 15}), (2, 1): ([(17, 17)], {'bandwidth': 14})}",103,173,1.6796116504854368,2,0
2,arrival,27,2,True,True,"{0: (20, {'cpu': 0, 'gpu': 12, 'ram': 4}), 1: (20, {'cpu': 3, 'gpu': 16, 'ram': 10}), 2: (20, {'cpu': 17, 'gpu': 0, 'ram': 8}), 3: (20, {'cpu': 8, 'gpu': 5, 'ram': 7})}","{(1, 0): ([(20, 20)], {'bandwidth': 43}), (2, 0): ([(20, 20)], {'bandwidth': 35}), (3, 0): ([(20, 20)], {'bandwidth': 32})}",90,200,2.2222222222222223,3,0
3,arrival,32,3,True,True,"{0: (86, {'cpu': 16, 'gpu': 4, 'ram': 13}), 1: (86, {'cpu': 15, 'gpu': 16, 'ram': 10})}","{(1, 0): ([(86, 86)], {'bandwidth': 42})}",74,116,1.5675675675675675,4,0
4,arrival,40,4,True,True,"{4: (24, {'cpu': 16, 'gpu': 19, 'ram': 10}), 2: (24, {'cpu': 2, 'gpu': 17, 'ram': 20}), 1: (24, {'cpu': 10, 'gpu': 15, 'ram': 5}), 3: (24, {'cpu': 13, 'gpu': 7, 'ram': 9}), 0: (63, {'cpu': 3, 'gpu': 3, 'ram': 7})}","{(2, 4): ([(24, 24)], {'bandwidth': 25}), (1, 2): ([(24, 24)], {'bandwidth': 21}), (1, 4): ([(24, 24)], {'bandwidth': 18}), (3, 4): ([(24, 24)], {'bandwidth': 28}), (0, 2): ([(24, 63)], {'bandwidth': 1})}",157,249,1.585987261146497,5,0
5,arrival,44,5,True,True,"{2: (61, {'cpu': 4, 'gpu': 4, 'ram': 0}), 1: (61, {'cpu': 18, 'gpu': 15, 'ram': 0}), 0: (61, {'cpu': 8, 'gpu': 14, 'ram': 2}), 3: (61, {'cpu': 10, 'gpu': 12, 'ram': 1})}","{(1, 2): ([(61, 61)], {'bandwidth': 30}), (0, 1): ([(61, 61)], {'bandwidth': 19}), (3, 2): ([(61, 61)], {'bandwidth': 7})}",88,144,1.6363636363636365,6,0
6,arrival,50,6,True,True,"{2: (84, {'cpu': 3, 'gpu': 12, 'ram': 10}), 5: (84, {'cpu': 8, 'gpu': 7, 'ram': 12}), 3: (84, {'cpu': 14, 'gpu': 8, 'ram': 18}), 9: (90, {'cpu': 2, 'gpu': 12, 'ram': 7}), 6: (84, {'cpu': 9, 'gpu': 15, 'ram': 20}), 8: (138, {'cpu': 12, 'gpu': 17, 'ram': 0}), 1: (89, {'cpu': 8, 'gpu': 14, 'ram': 20}), 7: (138, {'cpu': 13, 'gpu': 17, 'ram': 16}), 0: (30, {'cpu': 1, 'gpu': 1, 'ram': 8}), 4: (21, {'cpu': 10, 'gpu': 10, 'ram': 0})}","{(5, 2): ([(84, 84)], {'bandwidth': 22}), (3, 5): ([(84, 84)], {'bandwidth': 24}), (9, 2): ([(84, 90)], {'bandwidth': 50}), (9, 5): ([(84, 21), (21, 90)], {'bandwidth': 26}), (6, 3): ([(84, 84)], {'bandwidth': 43}), (6, 5): ([(84, 84)], {'bandwidth': 29}), (8, 3): ([(84, 138)], {'bandwidth': 34}), (8, 6): ([(84, 138)], {'bandwidth': 28}), (8, 9): ([(90, 17), (17, 59), (59, 138)], {'bandwidth': 14}), (1, 5): ([(84, 122), (122, 89)], {'bandwidth': 46}), (1, 8): ([(89, 59), (59, 138)], {'bandwidth': 40}), (1, 2): ([(84, 126), (126, 89)], {'bandwidth': 29}), (7, 2): ([(84, 21), (21, 120), (120, 138)], {'bandwidth': 38}), (7, 6): ([(84, 46), (46, 40), (40, 138)], {'bandwidth': 38}), (7, 3): ([(84, 74), (74, 13), (13, 138)], {'bandwidth': 34}), (0, 9): ([(30, 90)], {'bandwidth': 32}), (0, 2): ([(30, 84)], {'bandwidth': 27}), (4, 3): ([(21, 7), (7, 77), (77, 84)], {'bandwidth': 35}), (4, 5): ([(21, 7), (7, 77), (77, 84)], {'bandwidth': 22}), (4, 8): ([(21, 84), (84, 138)], {'bandwidth': 3})}",1306,918,0.7029096477794793,7,0
7,arrival,57,7,True,True,"{1: (65, {'cpu': 16, 'gpu': 2, 'ram': 19}), 9: (65, {'cpu': 12, 'gpu': 9, 'ram': 0}), 8: (47, {'cpu': 10, 'gpu': 12, 'ram': 7}), 0: (105, {'cpu': 11, 'gpu': 9, 'ram': 4}), 3: (96, {'cpu': 2, 'gpu': 4, 'ram': 6}), 6: (115, {'cpu': 7, 'gpu': 19, 'ram': 20}), 7: (65, {'cpu': 0, 'gpu': 20, 'ram': 5}), 4: (4, {'cpu': 10, 'gpu': 5, 'ram': 10}), 5: (96, {'cpu': 11, 'gpu': 0, 'ram': 7}), 2: (108, {'cpu': 14, 'gpu': 7, 'ram': 15})}","{(9, 1): ([(65, 65)], {'bandwidth': 19}), (8, 9): ([(47, 65)], {'bandwidth': 39}), (8, 1): ([(47, 90), (90, 65)], {'bandwidth': 36}), (0, 1): ([(65, 105)], {'bandwidth': 41}), (0, 8): ([(47, 26), (26, 105)], {'bandwidth': 38}), (0, 9): ([(65, 105)], {'bandwidth': 19}), (3, 1): ([(65, 96)], {'bandwidth': 48}), (3, 9): ([(65, 4), (4, 102), (102, 96)], {'bandwidth': 23}), (3, 8): ([(47, 33), (33, 96)], {'bandwidth': 12}), (6, 0): ([(105, 65), (65, 115)], {'bandwidth': 35}), (6, 3): ([(96, 0), (0, 115)], {'bandwidth': 32}), (6, 9): ([(65, 115)], {'bandwidth': 28}), (6, 8): ([(47, 33), (33, 115)], {'bandwidth': 19}), (7, 1): ([(65, 65)], {'bandwidth': 49}), (7, 9): ([(65, 65)], {'bandwidth': 26}), (4, 0): ([(4, 64), (64, 105)], {'bandwidth': 35}), (4, 8): ([(4, 46), (46, 47)], {'bandwidth': 15}), (4, 9): ([(4, 65)], {'bandwidth': 10}), (4, 3): ([(4, 65), (65, 96)], {'bandwidth': 2}), (4, 7): ([(4, 65)], {'bandwidth': 2}), (5, 4): ([(4, 102), (102, 96)], {'bandwidth': 34}), (5, 9): ([(65, 12), (12, 59), (59, 96)], {'bandwidth': 33}), (5, 7): ([(65, 96)], {'bandwidth': 6}), (5, 3): ([(96, 96)], {'bandwidth': 4}), (5, 6): ([(96, 0), (0, 115)], {'bandwidth': 3}), (2, 8): ([(47, 26), (26, 108)], {'bandwidth': 34}), (2, 1): ([(65, 12), (12, 108)], {'bandwidth': 23}), (2, 0): ([(105, 12), (12, 108)], {'bandwidth': 7}), (2, 3): ([(96, 107), (107, 108)], {'bandwidth': 1})}",1286,946,0.7356143079315708,8,0
8,arrival,60,8,True,True,"{0: (5, {'cpu': 7, 'gpu': 3, 'ram': 18}), 6: (5, {'cpu': 2, 'gpu': 2, 'ram': 15}), 5: (5, {'cpu': 17, 'gpu': 8, 'ram': 11}), 2: (5, {'cpu': 18, 'gpu': 1, 'ram': 1}), 4: (5, {'cpu': 1, 'gpu': 15, 'ram': 18}), 3: (5, {'cpu': 4, 'gpu': 19, 'ram': 3}), 1: (5, {'cpu': 20, 'gpu': 8, 'ram': 14})}","{(6, 0): ([(5, 5)], {'bandwidth': 17}), (5, 0): ([(5, 5)], {'bandwidth': 42}), (2, 6): ([(5, 5)], {'bandwidth': 33}), (2, 0): ([(5, 5)], {'bandwidth': 13}), (4, 0): ([(5, 5)], {'bandwidth': 25}), (4, 5): ([(5, 5)], {'bandwidth': 9}), (4, 6): ([(5, 5)], {'bandwidth': 2}), (3, 6): ([(5, 5)], {'bandwidth': 27}), (3, 2): ([(5, 5)], {'bandwidth': 4}), (1, 4): ([(5, 5)], {'bandwidth': 20}), (1, 5): ([(5, 5)], {'bandwidth': 10}), (1, 6): ([(5, 5)], {'bandwidth': 10})}",205,417,2.0341463414634147,9,0
9,arrival,64,9,True,True,"{1: (60, {'cpu': 2, 'gpu': 14, 'ram': 4}), 3: (60, {'cpu': 6, 'gpu': 15, 'ram': 16}), 2: (60, {'cpu': 10, 'gpu': 4, 'ram': 19}), 0: (60, {'cpu': 16, 'gpu': 10, 'ram': 2})}","{(3, 1): ([(60, 60)], {'bandwidth': 26}), (2, 1): ([(60, 60)], {'bandwidth': 20}), (2, 3): ([(60, 60)], {'bandwidth': 4}), (0, 2): ([(60, 60)], {'bandwidth': 13}), (0, 3): ([(60, 60)], {'bandwidth': 5})}",118,186,1.576271186440678,10,0
