event_id,event_type,event_time,v_net_id,place_result,route_result,node_mapping,link_mapping,lifetime,cost,revenue,r2c_ratio,running_request,elapsed_time
0,arrival,0,0,True,True,"{1: (487, {'cpu': 10, 'gpu': 15, 'storage': 16}), 4: (344, {'cpu': 17, 'gpu': 16, 'storage': 3}), 5: (370, {'cpu': 3, 'gpu': 7, 'storage': 15}), 6: (298, {'cpu': 3, 'gpu': 17, 'storage': 3}), 7: (355, {'cpu': 16, 'gpu': 2, 'storage': 13}), 3: (438, {'cpu': 7, 'gpu': 0, 'storage': 14}), 2: (460, {'cpu': 16, 'gpu': 16, 'storage': 9}), 0: (189, {'cpu': 11, 'gpu': 17, 'storage': 10}), 8: (216, {'cpu': 7, 'gpu': 16, 'storage': 7})}","{(4, 1): ([(344, 487)], {'bandwidth': 19}), (5, 4): ([(344, 370)], {'bandwidth': 4}), (6, 4): ([(298, 344)], {'bandwidth': 35}), (6, 5): ([(298, 370)], {'bandwidth': 35}), (6, 1): ([(298, 487)], {'bandwidth': 1}), (7, 4): ([(344, 67), (67, 355)], {'bandwidth': 20}), (7, 1): ([(355, 487)], {'bandwidth': 12}), (7, 5): ([(355, 370)], {'bandwidth': 9}), (3, 7): ([(355, 438)], {'bandwidth': 34}), (3, 1): ([(438, 487)], {'bandwidth': 31}), (3, 6): ([(298, 438)], {'bandwidth': 24}), (3, 5): ([(370, 33), (33, 438)], {'bandwidth': 19}), (2, 5): ([(370, 77), (77, 460)], {'bandwidth': 44}), (2, 4): ([(344, 460)], {'bandwidth': 31}), (2, 1): ([(460, 487)], {'bandwidth': 30}), (0, 7): ([(189, 226), (226, 355)], {'bandwidth': 39}), (0, 6): ([(189, 298)], {'bandwidth': 32}), (0, 4): ([(189, 298), (298, 344)], {'bandwidth': 1}), (8, 1): ([(216, 103), (103, 487)], {'bandwidth': 28}), (8, 2): ([(216, 52), (52, 460)], {'bandwidth': 24}), (8, 3): ([(216, 5), (5, 438)], {'bandwidth': 13})}",791,959,771,0.8039624608967675,1,0
1,arrival,1,1,True,True,"{5: (164, {'cpu': 7, 'gpu': 12, 'storage': 1}), 0: (474, {'cpu': 15, 'gpu': 1, 'storage': 14}), 2: (480, {'cpu': 11, 'gpu': 19, 'storage': 5}), 1: (479, {'cpu': 18, 'gpu': 4, 'storage': 6}), 4: (57, {'cpu': 17, 'gpu': 4, 'storage': 13}), 3: (335, {'cpu': 10, 'gpu': 6, 'storage': 2})}","{(2, 5): ([(164, 480)], {'bandwidth': 47}), (1, 2): ([(479, 480)], {'bandwidth': 10}), (1, 0): ([(474, 479)], {'bandwidth': 5}), (4, 0): ([(57, 474)], {'bandwidth': 47}), (4, 1): ([(57, 73), (73, 479)], {'bandwidth': 33}), (4, 5): ([(57, 2), (2, 164)], {'bandwidth': 30}), (3, 4): ([(57, 335)], {'bandwidth': 3})}",204,403,340,0.8436724565756824,2,0
2,arrival,2,2,True,True,"{1: (242, {'cpu': 3, 'gpu': 6, 'storage': 14}), 0: (436, {'cpu': 19, 'gpu': 5, 'storage': 19}), 5: (52, {'cpu': 14, 'gpu': 17, 'storage': 16}), 2: (433, {'cpu': 19, 'gpu': 9, 'storage': 4}), 4: (376, {'cpu': 0, 'gpu': 19, 'storage': 5}), 3: (159, {'cpu': 9, 'gpu': 3, 'storage': 12})}","{(0, 1): ([(242, 436)], {'bandwidth': 32}), (5, 1): ([(52, 242)], {'bandwidth': 50}), (2, 0): ([(433, 436)], {'bandwidth': 33}), (2, 1): ([(242, 433)], {'bandwidth': 26}), (2, 5): ([(52, 17), (17, 433)], {'bandwidth': 12}), (4, 5): ([(52, 376)], {'bandwidth': 37}), (3, 5): ([(52, 159)], {'bandwidth': 24}), (3, 4): ([(159, 376)], {'bandwidth': 18})}",106,437,425,0.9725400457665904,3,0
3,arrival,2,3,True,True,"{1: (491, {'cpu': 13, 'gpu': 12, 'storage': 9}), 0: (486, {'cpu': 5, 'gpu': 13, 'storage': 6})}","{(0, 1): ([(486, 491)], {'bandwidth': 46})}",868,104,104,1.0,4,0
4,arrival,2,4,True,True,"{3: (487, {'cpu': 4, 'gpu': 8, 'storage': 3}), 2: (358, {'cpu': 0, 'gpu': 17, 'storage': 13}), 0: (47, {'cpu': 17, 'gpu': 17, 'storage': 19}), 6: (146, {'cpu': 8, 'gpu': 12, 'storage': 15}), 5: (235, {'cpu': 8, 'gpu': 19, 'storage': 19}), 4: (74, {'cpu': 14, 'gpu': 4, 'storage': 12}), 1: (45, {'cpu': 19, 'gpu': 13, 'storage': 9})}","{(2, 3): ([(358, 487)], {'bandwidth': 47}), (0, 2): ([(47, 358)], {'bandwidth': 21}), (6, 3): ([(146, 487)], {'bandwidth': 27}), (6, 0): ([(47, 146)], {'bandwidth': 20}), (5, 6): ([(146, 235)], {'bandwidth': 19}), (5, 2): ([(235, 47), (47, 358)], {'bandwidth': 15}), (5, 3): ([(235, 47), (47, 487)], {'bandwidth': 12}), (4, 2): ([(74, 0), (0, 358)], {'bandwidth': 28}), (4, 5): ([(74, 235)], {'bandwidth': 7}), (1, 5): ([(45, 47), (47, 235)], {'bandwidth': 18})}",361,537,464,0.8640595903165735,5,0
5,arrival,2,5,True,True,"{2: (57, {'cpu': 9, 'gpu': 7, 'storage': 16}), 0: (136, {'cpu': 2, 'gpu': 3, 'storage': 1}), 1: (348, {'cpu': 2, 'gpu': 15, 'storage': 19})}","{(1, 0): ([(136, 348)], {'bandwidth': 9}), (1, 2): ([(57, 348)], {'bandwidth': 9})}",253,92,92,1.0,6,0
6,arrival,3,6,True,True,"{0: (57, {'cpu': 12, 'gpu': 14, 'storage': 19}), 1: (452, {'cpu': 4, 'gpu': 6, 'storage': 4})}","{(1, 0): ([(57, 452)], {'bandwidth': 28})}",198,87,87,1.0,7,0
7,arrival,4,7,True,True,"{1: (304, {'cpu': 20, 'gpu': 1, 'storage': 20}), 0: (162, {'cpu': 9, 'gpu': 11, 'storage': 12})}","{(0, 1): ([(162, 304)], {'bandwidth': 2})}",150,75,75,1.0,8,0
8,arrival,4,8,True,True,"{4: (344, {'cpu': 17, 'gpu': 10, 'storage': 1}), 6: (156, {'cpu': 19, 'gpu': 5, 'storage': 5}), 0: (150, {'cpu': 9, 'gpu': 8, 'storage': 12}), 2: (28, {'cpu': 1, 'gpu': 4, 'storage': 20}), 7: (295, {'cpu': 5, 'gpu': 9, 'storage': 2}), 5: (443, {'cpu': 12, 'gpu': 10, 'storage': 14}), 1: (378, {'cpu': 15, 'gpu': 12, 'storage': 16}), 3: (308, {'cpu': 17, 'gpu': 9, 'storage': 6})}","{(6, 4): ([(156, 344)], {'bandwidth': 38}), (0, 4): ([(150, 344)], {'bandwidth': 41}), (0, 6): ([(150, 156)], {'bandwidth': 14}), (2, 4): ([(28, 150), (150, 344)], {'bandwidth': 13}), (7, 4): ([(295, 344)], {'bandwidth': 32}), (7, 6): ([(156, 28), (28, 295)], {'bandwidth': 15}), (7, 0): ([(150, 295)], {'bandwidth': 7}), (5, 0): ([(150, 28), (28, 443)], {'bandwidth': 27}), (5, 7): ([(295, 28), (28, 443)], {'bandwidth': 7}), (1, 2): ([(28, 45), (45, 378)], {'bandwidth': 49}), (1, 6): ([(156, 378)], {'bandwidth': 34}), (3, 0): ([(150, 308)], {'bandwidth': 38}), (3, 2): ([(28, 44), (44, 308)], {'bandwidth': 30})}",145,724,583,0.8052486187845304,9,0
9,arrival,4,9,True,True,"{3: (95, {'cpu': 9, 'gpu': 1, 'storage': 19}), 1: (12, {'cpu': 1, 'gpu': 17, 'storage': 1}), 0: (86, {'cpu': 11, 'gpu': 16, 'storage': 1}), 2: (60, {'cpu': 6, 'gpu': 18, 'storage': 0})}","{(0, 1): ([(12, 86)], {'bandwidth': 40}), (2, 3): ([(60, 95)], {'bandwidth': 36}), (2, 0): ([(60, 86)], {'bandwidth': 13}), (2, 1): ([(12, 60)], {'bandwidth': 7})}",161,196,196,1.0,10,0
