epoch,num_p_nodes,arrival_rate,v_net_count,success_count,place_failure,route_failure,avg_r2c_ratio,avg_reward,max_running_requests,elapsed_time
70,263,0.517,1000,1000,0,0,1.5979238339329942,2.5979238339329873,245,161.34663605690002
71,422,1.600,1000,864,136,0,1.3756046983867565,2.127372856231503,470,231.76831245422363
72,63,0.030,1000,939,0,61,1.773359204647209,2.645183499512908,21,132.3150577545166
73,145,0.159,1000,1000,0,0,1.713996907151924,2.7139969071519237,93,140.79587721824646
74,72,0.041,1000,971,0,29,1.736786081917534,2.6762228569704947,29,131.19297337532043
75,495,2.434,1000,848,152,0,1.338983772834288,2.068443953649141,567,251.8766791820526
76,122,0.116,1000,995,0,5,1.6109488203919933,2.6012385207344337,73,139.23683977127075
77,100,0.081,1000,998,0,2,1.6608629842418448,2.656763480495557,51,135.23962116241455
78,404,1.431,1000,851,149,0,1.3669769828403553,2.10276566636535,458,224.91443610191345
79,231,0.392,1000,1000,0,0,1.5634824849326754,2.5634824849326465,206,156.54087471961975
80,54,0.018,1000,980,0,20,1.8228091069180425,2.78040609938285,15,155.79297184944153
81,400,1.395,1000,890,110,0,1.4295528321568751,2.227646465064009,440,247.44806146621704
82,109,0.095,1000,973,0,27,1.6529484416946383,2.5935878813879034,58,136.97100615501404
83,181,0.241,1000,1000,0,0,1.6185227036720116,2.6185227036720193,141,147.37169933319092
84,95,0.073,1000,994,0,6,1.711393009295066,2.699080206794815,49,134.82754349708557
85,368,1.132,1000,900,100,0,1.4407534625055625,2.252085655937515,400,201.68827152252197
86,227,0.378,1000,999,0,1,1.4203206507017427,2.418122552273248,209,161.5779528617859
87,81,0.053,1000,950,0,50,1.7120089469205126,2.5990390551300147,37,129.95675420761108
88,372,1.163,1000,911,89,0,1.4056773437347356,2.2457712664915035,414,212.03837490081787
89,68,0.036,1000,983,0,17,1.6627678940687083,2.627222268440956,28,133.0963261127472
90,390,1.309,1000,851,149,0,1.3535331258278898,2.0879336742064676,450,221.02910447120667
91,204,0.304,1000,999,0,1,1.4957481711720322,2.4937524230008408,159,153.3785810470581
92,268,0.539,1000,1000,0,0,1.4703933835881382,2.470393383588108,245,171.06760811805725
93,363,1.095,1000,910,90,0,1.284835826685286,2.1321875070454688,390,215.24272513389587
94,331,0.875,1000,956,44,0,1.2883752853091195,2.2130125664062783,363,193.38074922561646
95,140,0.149,1000,998,0,2,1.668880362341465,2.6645426016167537,90,139.96213221549988
96,272,0.557,1000,995,5,0,1.3934141952028918,2.3849221242268364,268,176.87182450294495
97,409,1.477,1000,904,96,0,1.3883958189428727,2.2116788679433643,458,219.39087510108948
98,195,0.278,1000,992,0,8,1.5563997603087334,2.538656895559592,152,150.8064262866974
99,450,1.891,1000,867,133,0,1.4797219053480033,2.222343891936677,498,228.93685746192932
